subject_nr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
14,Mneu01_.bmp,12,2741621,2748983
14,cs23.bmp,15,2749798,2758208
14,cs17.bmp,15,2758819,2762865
14,Mneu05_.bmp,13,2763479,2769654
14,nw7.bmp,9,2770267,2773851
14,cs28.bmp,11,2774468,2778272
14,Wneu03_.bmp,16,2778890,2782010
14,cs11.bmp,9,2782631,2785482
14,cs1.bmp,9,2786102,2788017
14,Mneu18_.bmp,6,2788634,2791031
14,nw13.bmp,9,2791644,2793756
14,nw3.bmp,9,2794372,2796030
14,W17.bmp,13,2796643,2799005
14,cs19.bmp,9,2799622,2801792
14,cs5.bmp,13,2802409,2804590
14,nw27.bmp,9,2805210,2806773
14,Wneu02_.bmp,14,2807384,2809445
14,nw12.bmp,9,2810058,2811928
14,W03.bmp,7,2812550,2815794
14,nw19.bmp,9,2816409,2818157
14,cs10.bmp,6,2818774,2822004
14,M16_.bmp,7,2822634,2824886
14,M13.bmp,7,2825503,2828365
14,cs30.bmp,15,2828985,2831176
14,W19.bmp,13,2831797,2833589
14,cs24.bmp,9,2834211,2836112
14,nw26.bmp,9,2836727,2838318
14,W20.bmp,11,2838939,2840576
14,M18.bmp,10,2841187,2844180
14,nw4.bmp,9,2844800,2846187
14,cs3.bmp,7,2846798,2848573
14,cs18.bmp,9,2849186,2851383
14,cs16.bmp,9,2851998,2854493
14,M02_.bmp,8,2855107,2858072
14,W07.bmp,11,2858693,2860511
14,cs7.bmp,9,2861128,2862514
14,Mneu11_.bmp,16,2863127,2865885
14,nw10.bmp,9,2866506,2868571
14,cs13.bmp,14,2869187,2872836
14,nw8.bmp,9,2873446,2874872
14,Wneu01_.bmp,13,2875492,2877638
14,cs4.bmp,9,2878261,2882198
14,nw28.bmp,9,2882811,2886479
14,nw25.bmp,9,2887093,2889023
14,M07.bmp,7,2889635,2891660
14,cs21.bmp,11,2892272,2894871
14,nw22.bmp,9,2895482,2897420
14,nw9.bmp,9,2898036,2899541
14,cs15.bmp,7,2900152,2905462
14,nw21.bmp,9,2906085,2907520
14,nw29.bmp,9,2908141,2909614
14,Mneu25_.bmp,8,2910236,2912626
14,nw18.bmp,9,2913246,2914659
14,PM04.bmp,3,2915274,2917573
14,nw14.bmp,9,2918188,2919926
14,cs25.bmp,7,2920542,2923154
14,cs2.bmp,5,2923765,2926016
14,nw11.bmp,9,2926638,2928108
14,cs29.bmp,6,2928717,2930374
14,cs12.bmp,6,2930989,2933024
14,nw20.bmp,9,2933636,2935324
14,cs26.bmp,10,2935944,2938627
14,cs9.bmp,7,2939251,2941822
14,M12.bmp,6,2942436,2944605
14,cs22.bmp,9,2945225,2947831
14,Mneu04_.bmp,11,2948450,2950603
14,cs27.bmp,13,2951225,2955896
14,nw30.bmp,9,2956509,2957964
14,W16.bmp,11,2958578,2961049
14,nw1.bmp,9,2961672,2962691
14,nw17.bmp,9,2963308,2964690
14,nw15.bmp,9,2965308,2966726
14,Mneu24_.bmp,14,2967343,2969319
14,nw5.bmp,9,2969934,2971276
14,cs6.bmp,9,2971896,2973190
14,cs20.bmp,9,2973800,2975175
14,M14.bmp,8,2975790,2977739
14,cs8.bmp,9,2978356,2980808
14,nw16.bmp,9,2981426,2988674
14,Wneu05_.bmp,13,2989285,2993605
14,W04.bmp,11,2994226,2996176
14,cs14.bmp,9,2996793,2999322
14,nw24.bmp,9,2999944,3001358
14,nw23.bmp,9,3001979,3003374
14,nw2.bmp,9,3003991,3007772
14,W15.bmp,8,3008392,3010689
14,nw6.bmp,9,3011309,3012915
14,Mneu20_.bmp,14,3013533,3015538
14,W02.bmp,11,3016156,3019493
14,W12.bmp,12,3020111,3022744
