subject_nr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
49,nw19.bmp,9,5320006,5329776
49,nw10.bmp,9,5330622,5334624
49,nw24.bmp,9,5335279,5338897
49,cs12.bmp,9,5339551,5343432
49,cs27.bmp,9,5344079,5347704
49,Mneu05_.bmp,14,5348359,5351808
49,cs28.bmp,9,5352460,5355233
49,Mneu25_.bmp,6,5355879,5365408
49,nw20.bmp,9,5366060,5367760
49,nw3.bmp,9,5368410,5370032
49,W04.bmp,13,5370677,5374169
49,Mneu01_.bmp,12,5374820,5379576
49,nw8.bmp,9,5380227,5381760
49,cs25.bmp,9,5382410,5386584
49,nw13.bmp,9,5387237,5388905
49,Wneu02_.bmp,14,5389559,5391625
49,nw2.bmp,9,5392279,5393857
49,W17.bmp,13,5394510,5396416
49,M07.bmp,13,5397070,5400016
49,cs4.bmp,9,5400669,5402136
49,cs2.bmp,9,5402787,5404232
49,cs17.bmp,9,5404889,5406841
49,Mneu18_.bmp,9,5407488,5412049
49,W07.bmp,9,5412699,5414528
49,cs1.bmp,9,5415177,5416848
49,nw30.bmp,9,5417499,5418856
49,nw17.bmp,9,5419507,5421136
49,cs9.bmp,9,5421787,5425265
49,nw5.bmp,9,5425919,5427553
49,nw9.bmp,9,5428210,5429457
49,M14.bmp,13,5430108,5432984
49,nw27.bmp,9,5433638,5435304
49,cs8.bmp,9,5435957,5437480
49,cs30.bmp,11,5438130,5442169
49,nw12.bmp,9,5442819,5444057
49,W12.bmp,11,5444716,5446849
49,Mneu24_.bmp,14,5447497,5451344
49,cs26.bmp,9,5452000,5453504
49,nw16.bmp,9,5454157,5455680
49,cs16.bmp,9,5456326,5457888
49,M12.bmp,11,5458536,5460633
49,cs5.bmp,9,5461289,5462553
49,cs15.bmp,9,5463207,5464681
49,nw4.bmp,9,5465338,5466424
49,cs29.bmp,9,5467092,5468496
49,nw26.bmp,9,5469149,5470312
49,W19.bmp,9,5470966,5474128
49,nw7.bmp,9,5474776,5476065
49,cs6.bmp,9,5476717,5478217
49,nw23.bmp,9,5478868,5480201
49,nw11.bmp,9,5480858,5482233
49,cs13.bmp,9,5482886,5484328
49,cs14.bmp,9,5484976,5486496
49,M16_.bmp,11,5487159,5489392
49,W20.bmp,12,5490047,5492160
49,W03.bmp,12,5492815,5494681
49,cs23.bmp,9,5495335,5497209
49,cs20.bmp,9,5497858,5499089
49,M13.bmp,9,5499737,5503168
49,Mneu04_.bmp,11,5503815,5509464
49,cs11.bmp,9,5510115,5511529
49,nw1.bmp,9,5512178,5516665
49,M02_.bmp,9,5517314,5520096
49,nw28.bmp,9,5520745,5522056
49,nw29.bmp,9,5522705,5523904
49,cs18.bmp,9,5524557,5525864
49,PM04.bmp,9,5526515,5528817
49,M18.bmp,11,5529465,5532793
49,cs24.bmp,9,5533445,5534641
49,W16.bmp,9,5535298,5536672
49,Wneu01_.bmp,16,5537325,5539712
49,nw21.bmp,9,5540365,5542016
49,nw14.bmp,9,5542664,5543824
49,cs22.bmp,9,5544477,5546337
49,W02.bmp,12,5546985,5548913
49,W15.bmp,11,5549566,5551073
49,nw15.bmp,9,5551725,5552945
49,Mneu11_.bmp,13,5553596,5556336
49,nw22.bmp,9,5556984,5558208
49,cs3.bmp,9,5558854,5559960
49,Mneu20_.bmp,10,5560614,5562832
49,Wneu03_.bmp,12,5563486,5565361
49,cs10.bmp,9,5566015,5567401
49,nw25.bmp,9,5568060,5569217
49,cs21.bmp,9,5569863,5571088
49,cs7.bmp,9,5571746,5573360
49,nw6.bmp,9,5574014,5575304
49,Wneu05_.bmp,13,5575953,5578144
49,nw18.bmp,9,5578795,5579904
49,cs19.bmp,9,5580555,5581697
