subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,correct_opt,correct_type,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_dk,time_idmem_form,time_idmem_blank
112,EC_only,pokemon,d,0,cs_40_neg_none,40_mittel.png,neg,critical,40,none,6020.png,picture,2710.png,3160.png,6020.png,Angst,Unglück,Ekel,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2283626,2287165
112,EC_only,pokemon,d,1,filler_40_neu_none,25_mittel.png,neu,filler,40,none,neu1616.png,picture,neu1616.png,neu2487.png,neu7000.png,Lampe,Sessel,Kreis,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2288542,2290541
112,EC_only,pokemon,d,2,control_1000_pos_none_2,16_mittel.png,pos,control,1000,none,2550.png,picture,2550.png,8200.png,7470.png,Lob,Natur,Kuss,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2291931,2293467
112,EC_only,pokemon,d,3,cs_50_neg_task,39_mittel.png,neg,critical,50,none,Angst,word,2375.1.png,7380.png,9220.png,Pest,Angst,Sucht,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2294861,2299845
112,EC_only,pokemon,d,4,control_1000_neg_none,7_mittel.png,neg,control,1000,none,Hass,word,9500.png,9560.png,6555.png,Tyrann,Hass,Tod,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2301216,2302940
112,EC_only,pokemon,d,5,cs_50_neg_none,15_mittel.png,neg,critical,50,none,8485.png,picture,8485.png,9340.png,2053.png,Kälte,Eiter,Waffe,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2304336,2309355
112,EC_only,pokemon,d,6,cs_50_pos_task,24_mittel.png,pos,critical,50,none,1440.png,picture,2209.png,1440.png,8470.png,Blume,Musik,Wärme,picture,picture,picture,word,word,word,no,no,no,no,yes,no,no,2310738,2313535
112,EC_only,pokemon,d,7,control_1000_neg_none_2,11_mittel.png,neg,control,1000,none,9006.png,picture,9330.png,9180.png,9006.png,Betrug,Unglück,Gift,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2314947,2316276
112,EC_only,pokemon,d,8,filler_1000_neu_none_1,22_mittel.png,neu,filler,1000,none,Linie,word,neu7640.png,neu1616.png,neu7004.png,Knopf,Hand,Linie,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2317656,2319868
112,EC_only,pokemon,d,9,cs_50_pos_none,5_mittel.png,pos,critical,50,none,Rose,word,8540.png,2080.png,2050.png,Brief,Fete,Rose,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2321263,2326572
112,EC_only,pokemon,d,10,control_1000_pos_none,17_mittel.png,pos,control,1000,none,5910.png,picture,7230.png,1999.png,5910.png,Geburt,Kuss,Lachen,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2327970,2329460
112,EC_only,pokemon,d,11,filler_40_neu_task,9_mittel.png,neu,filler,40,none,Lampe,word,neu5395.png,neu7820.png,neu7187.png,Kreis,Wand,Lampe,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2330838,2331565
112,EC_only,pokemon,d,12,filler_50_neu_task,23_mittel.png,neu,filler,50,none,Knopf,word,neu7090.png,neu7233.png,neu7550.png,Tuch,Schrank,Knopf,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2332958,2334781
112,EC_only,pokemon,d,13,filler_1000_neu_none_2,37_mittel.png,neu,filler,1000,none,Kreis,word,neu7490.png,neu1616.png,neu5395.png,Kreis,Lampe,Hand,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2336177,2337155
112,EC_only,pokemon,d,14,cs_40_pos_none,10_mittel.png,pos,critical,40,none,7470.png,picture,1463.png,7470.png,7330.png,Licht,Urlaub,Scherz,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2338560,2342693
112,EC_only,pokemon,d,15,cs_40_neg_task,2_mittel.png,neg,critical,40,none,9280.png,picture,2141.png,9830.png,9280.png,Unglück,Waffe,Betrug,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2344089,2345139
112,EC_only,pokemon,d,16,cs_40_pos_task,18_mittel.png,pos,critical,40,none,Fete,word,8501.png,8190.png,8170.png,Sommer,Fete,Scherz,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2346538,2348244
112,EC_only,pokemon,d,17,filler_50_neu_none,4_mittel.png,neu,filler,50,none,Hand,word,neu7090.png,neu2575.png,neu7820.png,Tuch,Hand,Klinke,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2349629,2350708
