subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
76,EC_only,nonword,c,0,cs_50_neg_none,zillie,neg,critical,50,none,no,no,no,yes,2123380,2127206
76,EC_only,nonword,c,1,cs_40_pos_none,roosle,pos,critical,40,none,no,no,no,yes,2128228,2132113
76,EC_only,nonword,c,2,control_1000_neg_none_2,minair,neg,control,1000,none,no,no,yes,no,2133135,2142731
76,EC_only,nonword,c,3,filler_50_neu_none,naptor,neu,filler,50,none,no,no,no,yes,2143754,2145490
76,EC_only,nonword,c,4,control_1000_neg_none,tavoo,neg,control,1000,none,no,yes,no,no,2146515,2148715
76,EC_only,nonword,c,5,cs_50_pos_none,babit,pos,critical,50,none,no,no,no,yes,2149737,2154355
76,EC_only,nonword,c,6,filler_1000_neu_none_1,parlic,neu,filler,1000,none,yes,no,no,no,2155377,2158227
76,EC_only,nonword,c,7,cs_40_neg_none,lobee,neg,critical,40,none,no,no,no,yes,2159249,2161762
76,EC_only,nonword,c,8,cs_40_pos_task,seloom,pos,critical,40,none,no,no,no,yes,2162784,2163871
76,EC_only,nonword,c,9,control_1000_pos_none_2,teutos,pos,control,1000,none,no,yes,no,no,2164893,2171146
76,EC_only,nonword,c,10,filler_50_neu_task,avouco,neu,filler,50,none,no,no,no,yes,2172168,2175962
76,EC_only,nonword,c,11,filler_40_neu_task,makan,neu,filler,40,none,no,no,no,yes,2176984,2183185
76,EC_only,nonword,c,12,cs_40_neg_task,tafta,neg,critical,40,none,no,no,no,yes,2184212,2185087
76,EC_only,nonword,c,13,control_1000_pos_none,pubio,pos,control,1000,none,yes,no,no,no,2186109,2190134
76,EC_only,nonword,c,14,filler_1000_neu_none_2,hesire,neu,filler,1000,none,no,no,yes,no,2191156,2194551
76,EC_only,nonword,c,15,cs_50_pos_task,trelle,pos,critical,50,none,no,no,no,yes,2195573,2197750
76,EC_only,nonword,c,16,filler_40_neu_none,coskie,neu,filler,40,none,no,no,no,yes,2198772,2201329
76,EC_only,nonword,c,17,cs_50_neg_task,altine,neg,critical,50,none,no,no,no,yes,2202351,2204151
