subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
123,EC_only,pokemon,d,0,cs_50_pos_task,5_mittel.png,pos,critical,50,none,3,2030835,2033843
123,EC_only,pokemon,d,1,cs_40_neg_none,24_mittel.png,neg,critical,40,none,4,2036136,2038696
123,EC_only,pokemon,d,2,control_1000_neg_none,11_mittel.png,neg,control,1000,none,13,2040992,2043028
123,EC_only,pokemon,d,3,filler_1000_neu_none_2,18_mittel.png,neu,filler,1000,none,17,2045320,2047220
123,EC_only,pokemon,d,4,control_1000_pos_none,16_mittel.png,pos,control,1000,none,12,2049598,2051445
123,EC_only,pokemon,d,5,filler_40_neu_none,23_mittel.png,neu,filler,40,none,8,2053738,2055685
123,EC_only,pokemon,d,6,filler_40_neu_task,25_mittel.png,neu,filler,40,none,15,2057979,2060541
123,EC_only,pokemon,d,7,cs_50_pos_none,39_mittel.png,pos,critical,50,none,17,2062835,2064274
123,EC_only,pokemon,d,8,filler_1000_neu_none_1,37_mittel.png,neu,filler,1000,none,16,2066573,2068668
123,EC_only,pokemon,d,9,cs_50_neg_task,15_mittel.png,neg,critical,50,none,12,2070960,2072715
123,EC_only,pokemon,d,10,cs_40_pos_none,2_mittel.png,pos,critical,40,none,17,2075008,2076739
123,EC_only,pokemon,d,11,cs_40_pos_task,10_mittel.png,pos,critical,40,none,12,2079033,2081515
123,EC_only,pokemon,d,12,filler_50_neu_task,4_mittel.png,neu,filler,50,none,6,2083807,2086205
123,EC_only,pokemon,d,13,cs_50_neg_none,17_mittel.png,neg,critical,50,none,9,2088502,2090299
123,EC_only,pokemon,d,14,control_1000_neg_none_2,9_mittel.png,neg,control,1000,none,6,2092593,2096670
123,EC_only,pokemon,d,15,control_1000_pos_none_2,7_mittel.png,pos,control,1000,none,18,2098962,2100858
123,EC_only,pokemon,d,16,cs_40_neg_task,40_mittel.png,neg,critical,40,none,4,2103151,2105460
123,EC_only,pokemon,d,17,filler_50_neu_none,22_mittel.png,neu,filler,50,none,6,2107754,2109602
