subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
119,EC_only,nonword,c,0,cs_50_pos_none,tafta,pos,critical,50,none,12,2057078,2064563
119,EC_only,nonword,c,1,control_1000_pos_none,babit,pos,control,1000,none,18,2066868,2070724
119,EC_only,nonword,c,2,cs_40_neg_task,hesire,neg,critical,40,none,17,2073027,2075987
119,EC_only,nonword,c,3,cs_40_pos_task,naptor,pos,critical,40,none,16,2078293,2081101
119,EC_only,nonword,c,4,filler_40_neu_none,tavoo,neu,filler,40,none,17,2083407,2086844
119,EC_only,nonword,c,5,cs_50_neg_task,lobee,neg,critical,50,none,17,2089147,2093430
119,EC_only,nonword,c,6,filler_40_neu_task,teutos,neu,filler,40,none,13,2095732,2099694
119,EC_only,nonword,c,7,control_1000_neg_none_2,pubio,neg,control,1000,none,18,2102005,2104662
119,EC_only,nonword,c,8,filler_1000_neu_none_1,coskie,neu,filler,1000,none,11,2106967,2110573
119,EC_only,nonword,c,9,filler_50_neu_task,minair,neu,filler,50,none,5,2112879,2116325
119,EC_only,nonword,c,10,filler_1000_neu_none_2,avouco,neu,filler,1000,none,16,2118632,2120902
119,EC_only,nonword,c,11,cs_50_neg_none,trelle,neg,critical,50,none,18,2123206,2126573
119,EC_only,nonword,c,12,filler_50_neu_none,makan,neu,filler,50,none,15,2128877,2131534
119,EC_only,nonword,c,13,control_1000_pos_none_2,altine,pos,control,1000,none,14,2133842,2136271
119,EC_only,nonword,c,14,cs_40_neg_none,seloom,neg,critical,40,none,10,2138578,2141533
119,EC_only,nonword,c,15,cs_50_pos_task,roosle,pos,critical,50,none,12,2143837,2146164
119,EC_only,nonword,c,16,cs_40_pos_none,parlic,pos,critical,40,none,7,2148471,2150404
119,EC_only,nonword,c,17,control_1000_neg_none,zillie,neg,control,1000,none,17,2152712,2155005
