subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,correct_opt,correct_type,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_dk,time_idmem_form,time_idmem_blank
74,EC_subj,pokemon,d,0,cs_40_neg_none,7_mittel.png,neg,critical,40,none,6570.1.png,picture,6570.1.png,9050.png,9280.png,Unfall,Tyrann,Krieg,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2609435,2645279
74,EC_subj,pokemon,d,1,cs_40_neg_task,16_mittel.png,neg,critical,40,subjective,Absturz,word,2900.png,9331.png,9102.png,Pech,Kälte,Absturz,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2646427,2665400
74,EC_subj,pokemon,d,2,control_1000_neg_none,37_mittel.png,neg,control,1000,none,Angst,word,9520.png,9331.png,6831.png,Tod,Angst,Mord,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2666517,2672666
74,EC_subj,pokemon,d,3,filler_40_neu_task,10_mittel.png,neu,filler,40,subjective,Dach,word,neu7233.png,neu5731.png,neu5740.png,Schrank,Knopf,Dach,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2673773,2708039
74,EC_subj,pokemon,d,4,cs_50_pos_none,9_mittel.png,pos,critical,50,none,Glück,word,2311.png,8200.png,5830.png,Glück,Meer,Geburt,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2709150,2728133
74,EC_subj,pokemon,d,5,control_1000_pos_none,4_mittel.png,pos,control,1000,none,8470.png,picture,2050.png,5629.png,8470.png,Mutter,Licht,Urlaub,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2729290,2739359
74,EC_subj,pokemon,d,6,cs_40_pos_none,17_mittel.png,pos,critical,40,none,Leben,word,2070.png,8540.png,2150.png,Leben,Mutter,Wiese,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2740490,2757404
74,EC_subj,pokemon,d,7,filler_50_neu_task,40_mittel.png,neu,filler,50,subjective,neu2580.png,picture,neu7640.png,neu2487.png,neu2580.png,Kreis,Klinke,Linie,picture,picture,picture,word,word,word,no,no,no,no,yes,no,no,2758518,2765682
74,EC_subj,pokemon,d,8,control_1000_pos_none_2,22_mittel.png,pos,control,1000,none,Scherz,word,8501.png,2311.png,5460.png,Bücher,Scherz,Blume,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2766791,2772362
74,EC_subj,pokemon,d,9,filler_1000_neu_none_1,5_mittel.png,neu,filler,1000,none,neu5731.png,picture,neu7233.png,neu7080.png,neu5731.png,Bein,Klinke,Schrank,picture,picture,picture,word,word,word,no,no,no,no,no,yes,no,2773463,2787394
74,EC_subj,pokemon,d,10,cs_50_pos_task,11_mittel.png,pos,critical,50,subjective,5594.png,picture,5830.png,2071.png,5594.png,Urlaub,Rose,Sonne,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2788506,2797491
74,EC_subj,pokemon,d,11,filler_50_neu_none,24_mittel.png,neu,filler,50,none,Klinke,word,neu2635.png,neu5731.png,neu7640.png,Klinke,Schrank,Kreis,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2798602,2805507
74,EC_subj,pokemon,d,12,cs_40_pos_task,15_mittel.png,pos,critical,40,subjective,Meer,word,1710.png,8496.png,1650.png,Spiel,Liebe,Meer,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2806607,2815637
74,EC_subj,pokemon,d,13,control_1000_neg_none_2,18_mittel.png,neg,control,1000,none,6831.png,picture,2710.png,6831.png,6838.png,Gewalt,Finsternis,Waffe,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2816755,2834495
74,EC_subj,pokemon,d,14,filler_1000_neu_none_2,39_mittel.png,neu,filler,1000,none,neu2372.png,picture,neu2372.png,neu5510.png,neu5740.png,Linie,Tuch,Lampe,picture,picture,picture,word,word,word,no,no,no,no,no,yes,no,2835645,2845133
74,EC_subj,pokemon,d,15,cs_50_neg_none,23_mittel.png,neg,critical,50,none,9430.png,picture,9280.png,9000.png,9430.png,Geschwür,Folter,Mühe,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2846246,2856220
74,EC_subj,pokemon,d,16,cs_50_neg_task,25_mittel.png,neg,critical,50,subjective,9331.png,picture,9330.png,6530.png,9331.png,Tyrann,Pest,Unfall,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2857349,2864337
74,EC_subj,pokemon,d,17,filler_40_neu_none,2_mittel.png,neu,filler,40,none,neu2220.png,picture,neu7550.png,neu2620.png,neu2220.png,Wand,Schrank,Dach,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2865455,2871858
