subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
108,EC_only,nonword,c,0,cs_40_pos_task,hesire,pos,critical,40,none,no,yes,no,no,1988921,1991134
108,EC_only,nonword,c,1,cs_50_pos_task,lobee,pos,critical,50,none,no,yes,no,no,1992467,1993191
108,EC_only,nonword,c,2,control_1000_neg_none_2,tavoo,neg,control,1000,none,no,yes,no,no,1994526,1994967
108,EC_only,nonword,c,3,control_1000_neg_none,teutos,neg,control,1000,none,no,yes,no,no,1996300,1996718
108,EC_only,nonword,c,4,filler_1000_neu_none_2,parlic,neu,filler,1000,none,no,yes,no,no,1998053,1998359
108,EC_only,nonword,c,5,control_1000_pos_none,zillie,pos,control,1000,none,no,yes,no,no,1999694,1999855
108,EC_only,nonword,c,6,filler_40_neu_none,makan,neu,filler,40,none,no,yes,no,no,2001190,2001407
108,EC_only,nonword,c,7,filler_40_neu_task,minair,neu,filler,40,none,no,yes,no,no,2002741,2003135
108,EC_only,nonword,c,8,filler_50_neu_none,avouco,neu,filler,50,none,no,yes,no,no,2004469,2004902
108,EC_only,nonword,c,9,filler_1000_neu_none_1,naptor,neu,filler,1000,none,no,yes,no,no,2006236,2006462
108,EC_only,nonword,c,10,control_1000_pos_none_2,pubio,pos,control,1000,none,no,yes,no,no,2007797,2008015
108,EC_only,nonword,c,11,cs_50_neg_none,altine,neg,critical,50,none,no,yes,no,no,2009351,2009478
108,EC_only,nonword,c,12,cs_40_pos_none,seloom,pos,critical,40,none,no,no,no,yes,2010814,2010958
108,EC_only,nonword,c,13,filler_50_neu_task,coskie,neu,filler,50,none,no,yes,no,no,2012294,2012535
108,EC_only,nonword,c,14,cs_50_pos_none,trelle,pos,critical,50,none,no,yes,no,no,2013871,2014095
108,EC_only,nonword,c,15,cs_40_neg_task,roosle,neg,critical,40,none,no,yes,no,no,2015429,2015663
108,EC_only,nonword,c,16,cs_50_neg_task,babit,neg,critical,50,none,no,yes,no,no,2016997,2017199
108,EC_only,nonword,c,17,cs_40_neg_none,tafta,neg,critical,40,none,no,yes,no,no,2018534,2018719
