subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
122,EC_subj,nonword,c,0,filler_1000_neu_none_2,tafta,neu,filler,1000,none,no,no,yes,no,2556300,2562018
122,EC_subj,nonword,c,1,filler_40_neu_none,parlic,neu,filler,40,none,no,no,no,yes,2563328,2565216
122,EC_subj,nonword,c,2,filler_40_neu_task,naptor,neu,filler,40,subjective,no,no,no,yes,2566526,2567601
122,EC_subj,nonword,c,3,cs_40_pos_task,lobee,pos,critical,40,subjective,no,no,no,yes,2568911,2569873
122,EC_subj,nonword,c,4,filler_50_neu_task,hesire,neu,filler,50,subjective,no,no,no,yes,2571183,2572265
122,EC_subj,nonword,c,5,control_1000_neg_none_2,avouco,neg,control,1000,none,yes,no,no,no,2573576,2575300
122,EC_subj,nonword,c,6,filler_50_neu_none,seloom,neu,filler,50,none,no,no,no,yes,2576609,2577697
122,EC_subj,nonword,c,7,control_1000_neg_none,coskie,neg,control,1000,none,no,yes,no,no,2579007,2580227
122,EC_subj,nonword,c,8,cs_50_neg_none,tavoo,neg,critical,50,none,no,no,no,yes,2581537,2583373
122,EC_subj,nonword,c,9,cs_40_neg_none,altine,neg,critical,40,none,no,no,no,yes,2584684,2585839
122,EC_subj,nonword,c,10,control_1000_pos_none,minair,pos,control,1000,none,yes,no,no,no,2587150,2589108
122,EC_subj,nonword,c,11,cs_50_pos_task,zillie,pos,critical,50,subjective,no,no,no,yes,2590418,2591434
122,EC_subj,nonword,c,12,cs_50_pos_none,pubio,pos,critical,50,none,no,no,no,yes,2592743,2593943
122,EC_subj,nonword,c,13,cs_40_neg_task,babit,neg,critical,40,subjective,no,no,no,yes,2595255,2596090
122,EC_subj,nonword,c,14,filler_1000_neu_none_1,roosle,neu,filler,1000,none,no,yes,no,no,2597399,2599114
122,EC_subj,nonword,c,15,control_1000_pos_none_2,makan,pos,control,1000,none,yes,no,no,no,2600424,2601894
122,EC_subj,nonword,c,16,cs_50_neg_task,teutos,neg,critical,50,subjective,no,no,no,yes,2603203,2604418
122,EC_subj,nonword,c,17,cs_40_pos_none,trelle,pos,critical,40,none,no,no,no,yes,2605727,2606773
