subject_nr,trial_nr,block_nr,learning_condition,cs_set,combination,trial_type,cs_duration,us_valence,task,cs_us_order,cs_position,us_position,masking,cs_code,paired_code,left_stimulus,right_stimulus,left_type,right_type,left_role,right_role,n_color,rest_duration,pre_mask,post_mask,possible_target_trial_short,possible_target_trial_long,target_trial,inter_trial,response_target_response,time_target_clear,time_empty_masking_noyes,time_target_response,time_us_alone_pre,time_us_fixdot,time_us_premask,time_us_cs,time_us_postmask,time_us_alone_post,time_subjective_rating,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,time_blank_end
99,0,1,EC_subj,pokemon,d,cs_w_us,50,neutral,none,csfirst,left,right,yes,o_filler_50_neu_none,some us,roosle,Sessel,word,word,maskedcs,us,#969696,1500,maske_9.png,maske_11.png,no,no,no,1000,NA,NA,NA,NA,NA,3005416,3006317,3006420,3006472,3006524,NA,NA,NA,NA,NA,NA,NA,3008026
99,1,1,EC_subj,pokemon,d,cswcs,50,none,none,csfirst,right,left,yes,o_filler_50_neu_none,filler_1000_neu_none_2,2_mittel.png,roosle,picture,word,controlcs,maskedcs,#969696,1500,maske_9.png,maske_2.png,no,yes_left,no,1000,NA,NA,NA,NA,NA,3008953,3009854,3009957,3010009,3010061,NA,NA,NA,NA,NA,NA,NA,3011563
99,2,1,EC_subj,pokemon,d,control,1000,neg,none,usfirst,right,left,no,control_1000_neg_none_2,some us,Teufel,23_mittel.png,word,picture,us,controlcs,#000000,0,fmaske_8.png,fmaske_5.png,no,no,no,250,NA,NA,NA,NA,3012457,NA,NA,3013459,NA,NA,NA,NA,NA,NA,NA,NA,NA,3014462
99,3,1,EC_subj,pokemon,d,control,1000,neg,none,usfirst,right,left,no,control_1000_neg_none_2,some us,2900.png,23_mittel.png,picture,picture,us,controlcs,#000000,0,fmaske_1.png,fmaske_1.png,no,no,no,250,NA,NA,NA,NA,3015419,NA,NA,3016421,NA,NA,NA,NA,NA,NA,NA,NA,NA,3017424
99,4,1,EC_subj,pokemon,d,critical,50,pos,objective,csfirst,right,left,yes,cs_50_pos_task,some us,2209.png,15_mittel.png,picture,picture,us,maskedcs,#969696,1500,fmaske_1.png,fmaske_1.png,no,no,no,250,NA,NA,NA,NA,NA,3018394,3019296,3019399,3019451,3019503,3021003,yes,no,no,no,no,no,3022951
99,5,1,EC_subj,pokemon,d,cs_w_us,1000,neutral,none,csfirst,left,right,no,o_filler_1000_neu_none_2,some us,minair,Lampe,word,word,controlcs,us,#000000,600,maske_1.png,maske_4.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,3023865,NA,3024868,NA,NA,NA,NA,NA,NA,NA,3025470
99,6,1,EC_subj,pokemon,d,critical,40,neg,objective,usfirst,left,right,yes,cs_40_neg_task,some us,5_mittel.png,Tod,picture,word,maskedcs,us,#969696,0,fmaske_2.png,fmaske_3.png,no,no,no,250,NA,NA,NA,NA,3026395,3027297,3028198,3028301,3028343,NA,3028393,yes,no,no,no,no,no,3030385
99,7,1,EC_subj,pokemon,d,us_w_us,999,neu-neu,none,none,none,both,no,none,none,Lampe,neu5395.png,word,picture,us,us,#000000,999,fmaske_7.png,fmaske_5.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,3031310,NA,NA,NA,NA,NA,NA,NA,NA,NA,3033312
99,8,1,EC_subj,pokemon,d,cs_alone,1000,none,none,none,right,none,no,o_filler_1000_neu_none_2,none,none,minair,none,word,none,controlcs,#000000,999,maske_6.png,maske_10.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,3034166,NA,NA,NA,NA,NA,NA,NA,NA,NA,3035168
99,9,1,EC_subj,pokemon,d,us_alone,999,pos,none,none,none,right,no,none,none,none,Mutter,none,word,none,us,#000000,999,fmaske_11.png,fmaske_9.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,3036035,NA,NA,NA,NA,NA,NA,NA,NA,NA,3038039
99,10,1,EC_subj,pokemon,d,cs_alone,50,none,objective,none,right,none,yes,filler_50_neu_task,none,none,37_mittel.png,none,picture,none,maskedcs,#969696,999,fmaske_2.png,fmaske_11.png,yes_right,no,no,250,NA,NA,NA,NA,NA,3038885,3039786,3039889,3039941,NA,3039991,no,yes,no,no,no,no,3042809
99,11,1,EC_subj,pokemon,d,critical,40,pos,objective,csfirst,right,left,yes,cs_40_pos_task,some us,Ruhe,40_mittel.png,word,picture,us,maskedcs,#969696,1500,fmaske_1.png,fmaske_4.png,no,no,no,250,NA,NA,NA,NA,NA,3043736,3044637,3044740,3044782,3044834,3046334,yes,no,no,no,no,no,3048976
