subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
74,EC_subj,pokemon,d,0,cs_40_neg_task,16_mittel.png,neg,critical,40,subjective,no,no,no,yes,2466742,2475902
74,EC_subj,pokemon,d,1,cs_50_pos_task,11_mittel.png,pos,critical,50,subjective,no,no,no,yes,2476967,2482661
74,EC_subj,pokemon,d,2,control_1000_pos_none,4_mittel.png,pos,control,1000,none,no,no,yes,no,2483705,2490299
74,EC_subj,pokemon,d,3,cs_50_pos_none,9_mittel.png,pos,critical,50,none,no,no,no,yes,2491345,2493382
74,EC_subj,pokemon,d,4,control_1000_pos_none_2,22_mittel.png,pos,control,1000,none,no,no,yes,no,2494428,2502959
74,EC_subj,pokemon,d,5,filler_50_neu_none,24_mittel.png,neu,filler,50,none,no,no,no,yes,2504004,2507746
74,EC_subj,pokemon,d,6,filler_50_neu_task,40_mittel.png,neu,filler,50,subjective,no,no,no,yes,2508788,2511134
74,EC_subj,pokemon,d,7,filler_40_neu_none,2_mittel.png,neu,filler,40,none,no,no,no,yes,2512178,2515428
74,EC_subj,pokemon,d,8,cs_40_neg_none,7_mittel.png,neg,critical,40,none,no,no,no,yes,2516473,2520770
74,EC_subj,pokemon,d,9,filler_1000_neu_none_2,39_mittel.png,neu,filler,1000,none,no,yes,no,no,2521815,2526570
74,EC_subj,pokemon,d,10,filler_1000_neu_none_1,5_mittel.png,neu,filler,1000,none,yes,no,no,no,2527617,2535590
74,EC_subj,pokemon,d,11,cs_50_neg_task,25_mittel.png,neg,critical,50,subjective,no,no,no,yes,2536636,2540710
74,EC_subj,pokemon,d,12,cs_50_neg_none,23_mittel.png,neg,critical,50,none,no,no,no,yes,2541763,2546422
74,EC_subj,pokemon,d,13,control_1000_neg_none_2,18_mittel.png,neg,control,1000,none,no,yes,no,no,2547465,2556980
74,EC_subj,pokemon,d,14,filler_40_neu_task,10_mittel.png,neu,filler,40,subjective,no,no,no,yes,2558028,2560093
74,EC_subj,pokemon,d,15,control_1000_neg_none,37_mittel.png,neg,control,1000,none,no,yes,no,no,2561134,2571997
74,EC_subj,pokemon,d,16,cs_40_pos_none,17_mittel.png,pos,critical,40,none,no,no,no,yes,2573043,2575813
74,EC_subj,pokemon,d,17,cs_40_pos_task,15_mittel.png,pos,critical,40,subjective,no,no,no,yes,2576856,2580383
