subject_nr,trial_nr,block_nr,learning_condition,cs_set,combination,trial_type,cs_duration,us_valence,task,cs_us_order,cs_position,us_position,masking,cs_code,paired_code,left_stimulus,right_stimulus,left_type,right_type,left_role,right_role,n_color,rest_duration,pre_mask,post_mask,possible_target_trial_short,possible_target_trial_long,target_trial,inter_trial,response_target_response,time_target_clear,time_empty_masking_noyes,time_target_response,time_us_alone_pre,time_us_fixdot,time_us_premask,time_us_cs,time_us_postmask,time_us_alone_post,time_subjective_rating,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,time_blank_end
125,0,1,EC_subj,pokemon,d,critical,50,pos,objective,usfirst,left,right,yes,cs_50_pos_task,some us,7_mittel.png,7230.png,picture,picture,maskedcs,us,#969696,0,fmaske_3.png,fmaske_7.png,no,no,no,250,NA,NA,NA,NA,2886423,2887325,2888226,2888329,2888381,NA,2888431,no,yes,no,no,no,no,2891446
125,1,1,EC_subj,pokemon,d,critical,40,neg,objective,usfirst,right,left,yes,cs_40_neg_task,some us,9330.png,17_mittel.png,picture,picture,us,maskedcs,#969696,0,fmaske_5.png,fmaske_11.png,no,no,no,250,NA,NA,NA,NA,2892522,2893425,2894326,2894429,2894471,NA,2894521,no,yes,no,no,no,no,2896286
125,2,1,EC_subj,pokemon,d,control,1000,pos,none,csfirst,right,left,no,control_1000_pos_none_2,some us,Scherz,4_mittel.png,word,picture,us,controlcs,#000000,600,fmaske_9.png,fmaske_5.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2897181,NA,2898183,NA,NA,NA,NA,NA,NA,NA,2898785
125,3,1,EC_subj,pokemon,d,cs_w_us,40,neutral,none,csfirst,right,left,yes,o_filler_40_neu_none,some us,neu5740.png,minair,picture,word,us,maskedcs,#969696,1500,maske_10.png,maske_2.png,no,no,no,1000,NA,NA,NA,NA,NA,2899796,2900697,2900800,2900842,2900894,NA,NA,NA,NA,NA,NA,NA,2902396
125,4,1,EC_subj,pokemon,d,us_alone,999,pos,none,none,none,right,no,none,none,none,Spaß,none,word,none,us,#000000,999,fmaske_10.png,fmaske_5.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,2903222,NA,NA,NA,NA,NA,NA,NA,NA,NA,2905224
125,5,1,EC_subj,pokemon,d,critical,40,neg,objective,csfirst,left,right,yes,cs_40_neg_none,some us,16_mittel.png,Pech,picture,word,maskedcs,us,#969696,1500,fmaske_10.png,fmaske_4.png,no,no,no,250,NA,NA,NA,NA,NA,2906125,2907026,2907129,2907171,2907223,2908723,no,yes,no,no,no,no,2911366
125,6,1,EC_subj,pokemon,d,us_w_us,999,neu-neu,none,none,none,both,no,none,none,Knopf,neu2220.png,word,picture,us,us,#000000,999,fmaske_2.png,fmaske_10.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,2912270,NA,NA,NA,NA,NA,NA,NA,NA,NA,2914272
125,7,1,EC_subj,pokemon,d,cs_w_us,1000,neutral,none,csfirst,right,left,no,filler_1000_neu_none_1,some us,Bein,24_mittel.png,word,picture,us,controlcs,#000000,600,fmaske_5.png,fmaske_4.png,no,yes_right,no,250,NA,NA,NA,NA,NA,NA,NA,2915169,NA,2916171,NA,NA,NA,NA,NA,NA,NA,2916774
125,8,1,EC_subj,pokemon,d,control,1000,pos,none,usfirst,right,left,no,control_1000_pos_none_2,some us,2550.png,4_mittel.png,picture,picture,us,controlcs,#000000,0,fmaske_7.png,fmaske_5.png,no,no,no,250,NA,NA,NA,NA,2917751,NA,NA,2918753,NA,NA,NA,NA,NA,NA,NA,NA,NA,2919756
125,9,1,EC_subj,pokemon,d,cs_w_us,40,neutral,objective,usfirst,right,left,yes,filler_40_neu_none,some us,Hand,10_mittel.png,word,picture,us,maskedcs,#969696,0,fmaske_4.png,fmaske_8.png,no,no,no,1000,NA,NA,NA,NA,2920697,2921599,2922500,2922603,2922645,NA,2922695,no,yes,no,no,no,no,2925135
125,10,1,EC_subj,pokemon,d,cs_alone,1000,none,none,none,left,none,no,o_filler_1000_neu_none_1,none,zillie,none,word,none,controlcs,none,#000000,999,maske_5.png,maske_7.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2925986,NA,NA,NA,NA,NA,NA,NA,NA,NA,2926988
