subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
74,EC_subj,pokemon,d,0,cs_50_neg_task,25_mittel.png,neg,critical,50,subjective,7,2320259,2325892
74,EC_subj,pokemon,d,1,filler_50_neu_task,40_mittel.png,neu,filler,50,subjective,8,2326947,2332295
74,EC_subj,pokemon,d,2,cs_40_neg_task,16_mittel.png,neg,critical,40,subjective,13,2333334,2335418
74,EC_subj,pokemon,d,3,filler_1000_neu_none_1,5_mittel.png,neu,filler,1000,none,9,2336452,2338478
74,EC_subj,pokemon,d,4,control_1000_neg_none_2,18_mittel.png,neg,control,1000,none,8,2339515,2343700
74,EC_subj,pokemon,d,5,control_1000_pos_none_2,22_mittel.png,pos,control,1000,none,10,2344738,2348030
74,EC_subj,pokemon,d,6,control_1000_pos_none,4_mittel.png,pos,control,1000,none,13,2349063,2352844
74,EC_subj,pokemon,d,7,control_1000_neg_none,37_mittel.png,neg,control,1000,none,13,2353880,2355533
74,EC_subj,pokemon,d,8,cs_40_neg_none,7_mittel.png,neg,critical,40,none,14,2356570,2362484
74,EC_subj,pokemon,d,9,cs_40_pos_none,17_mittel.png,pos,critical,40,none,13,2363551,2368195
74,EC_subj,pokemon,d,10,cs_40_pos_task,15_mittel.png,pos,critical,40,subjective,16,2369234,2372802
74,EC_subj,pokemon,d,11,filler_40_neu_none,2_mittel.png,neu,filler,40,none,14,2373837,2378247
74,EC_subj,pokemon,d,12,cs_50_pos_task,11_mittel.png,pos,critical,50,subjective,17,2379362,2383471
74,EC_subj,pokemon,d,13,filler_1000_neu_none_2,39_mittel.png,neu,filler,1000,none,14,2384541,2388329
74,EC_subj,pokemon,d,14,filler_40_neu_task,10_mittel.png,neu,filler,40,subjective,10,2389367,2394082
74,EC_subj,pokemon,d,15,cs_50_pos_none,9_mittel.png,pos,critical,50,none,13,2395119,2397123
74,EC_subj,pokemon,d,16,filler_50_neu_none,24_mittel.png,neu,filler,50,none,8,2398158,2400901
74,EC_subj,pokemon,d,17,cs_50_neg_none,23_mittel.png,neg,critical,50,none,14,2401940,2404238
