subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
92,EC_subj,nonword,c,0,cs_40_neg_none,teutos,neg,critical,40,none,12,2649310,2655114
92,EC_subj,nonword,c,1,cs_40_pos_task,altine,pos,critical,40,subjective,14,2657423,2661242
92,EC_subj,nonword,c,2,filler_40_neu_none,roosle,neu,filler,40,none,15,2663550,2666387
92,EC_subj,nonword,c,3,cs_50_neg_task,makan,neg,critical,50,subjective,19,2668695,2671443
92,EC_subj,nonword,c,4,cs_40_neg_task,pubio,neg,critical,40,subjective,16,2673752,2678281
92,EC_subj,nonword,c,5,filler_40_neu_task,seloom,neu,filler,40,subjective,12,2680587,2683651
92,EC_subj,nonword,c,6,filler_1000_neu_none_2,babit,neu,filler,1000,none,16,2685958,2688761
92,EC_subj,nonword,c,7,cs_50_pos_none,minair,pos,critical,50,none,10,2691070,2694613
92,EC_subj,nonword,c,8,control_1000_pos_none,avouco,pos,control,1000,none,5,2696921,2699176
92,EC_subj,nonword,c,9,cs_50_pos_task,tavoo,pos,critical,50,subjective,14,2701484,2703821
92,EC_subj,nonword,c,10,cs_50_neg_none,coskie,neg,critical,50,none,5,2706132,2709087
92,EC_subj,nonword,c,11,control_1000_neg_none,parlic,neg,control,1000,none,16,2711395,2714254
92,EC_subj,nonword,c,12,cs_40_pos_none,zillie,pos,critical,40,none,19,2716562,2718795
92,EC_subj,nonword,c,13,filler_1000_neu_none_1,trelle,neu,filler,1000,none,5,2721105,2723164
92,EC_subj,nonword,c,14,control_1000_pos_none_2,naptor,pos,control,1000,none,12,2725472,2728172
92,EC_subj,nonword,c,15,control_1000_neg_none_2,hesire,neg,control,1000,none,3,2730478,2733825
92,EC_subj,nonword,c,16,filler_50_neu_none,lobee,neu,filler,50,none,9,2736133,2738291
92,EC_subj,nonword,c,17,filler_50_neu_task,tafta,neu,filler,50,subjective,3,2740597,2743195
