subject_nr,trial_nr,block,block_nr,learning_condition,cs_set,combination,trial_type,cs_duration,us_valence,task,cs_us_order,cs_position,us_position,masking,cs_code,paired_code,left_stimulus,right_stimulus,left_type,right_type,left_role,right_role,n_color,rest_duration,pre_mask,post_mask,possible_target_trial_short,possible_target_trial_long,target_trial,inter_trial,response_target_response,time_target_clear,time_empty_masking_noyes,time_target_response,time_us_alone_pre,time_us_fixdot,time_us_premask,time_us_cs,time_us_postmask,time_us_alone_post,time_subjective_rating,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,time_blank_end
74,0,1,1,EC_subj,pokemon,d,cswcs,70,none,none,csfirst,left,right,yes,filler_50_neu_none,filler_1000_neu_none_1,27_dunkel.png,5_mittel.png,picture,picture,maskedcs,controlcs,#969696,1500,fmaske_2.png,fmaske_9.png,yes_left,no,yes,0,space,299891,302525,304425,NA,299894,300796,300898,300970,301022,NA,NA,NA,NA,NA,NA,NA,304428
74,1,1,1,EC_subj,pokemon,d,control,1000,pos,none,csfirst,left,right,no,control_1000_pos_none,some us,4_mittel.png,1999.png,picture,picture,controlcs,us,#000000,600,fmaske_9.png,fmaske_7.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,305097,NA,306101,NA,NA,NA,NA,NA,NA,NA,306704
74,2,1,1,EC_subj,pokemon,d,us_alone,999,neutral,none,none,none,left,no,none,none,Bein,none,word,none,us,none,#000000,999,fmaske_12.png,fmaske_4.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,307157,NA,NA,NA,NA,NA,NA,NA,NA,NA,309160
74,3,1,1,EC_subj,pokemon,d,cs_w_us,1000,neutral,none,csfirst,right,left,no,o_filler_1000_neu_none_1,some us,Bein,avouco,word,word,us,controlcs,#000000,600,maske_1.png,maske_8.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,309625,NA,310627,NA,NA,NA,NA,NA,NA,NA,311231
74,4,1,1,EC_subj,pokemon,d,critical,50,pos,subjective,usfirst,right,left,yes,cs_50_pos_task,some us,2050.png,11_mittel.png,picture,picture,us,maskedcs,#969696,0,fmaske_2.png,fmaske_11.png,no,no,no,250,NA,NA,NA,NA,311956,312858,313760,313862,313915,NA,313965,no,yes,no,no,no,no,323956
74,5,1,1,EC_subj,pokemon,d,us_alone,999,neutral,none,none,none,left,no,none,none,neu2635.png,none,picture,none,us,none,#000000,999,fmaske_7.png,fmaske_3.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,324495,NA,NA,NA,NA,NA,NA,NA,NA,NA,326498
74,6,1,1,EC_subj,pokemon,d,critical,40,neg,subjective,csfirst,right,left,yes,cs_40_neg_task,some us,6311.png,16_mittel.png,picture,picture,us,maskedcs,#969696,1500,fmaske_7.png,fmaske_2.png,no,no,no,250,NA,NA,NA,NA,NA,327179,328082,328184,328226,328278,329779,no,yes,no,no,no,no,337663
74,7,1,1,EC_subj,pokemon,d,cswcs,40,none,none,csfirst,left,right,yes,o_filler_40_neu_none,filler_1000_neu_none_1,pubio,27_dunkel.png,word,picture,maskedcs,controlcs,#969696,1500,maske_6.png,maske_12.png,no,yes_right,yes,0,space,338249,340854,342754,NA,338253,339155,339257,339299,339351,NA,NA,NA,NA,NA,NA,NA,342757
74,8,1,1,EC_subj,pokemon,d,cs_alone,1000,none,none,none,right,none,no,o_filler_1000_neu_none_2,none,none,babit,none,word,none,controlcs,#000000,999,maske_11.png,maske_1.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,343209,NA,NA,NA,NA,NA,NA,NA,NA,NA,344212
74,9,1,1,EC_subj,pokemon,d,cs_w_us,50,neutral,none,usfirst,left,right,yes,filler_50_neu_none,some us,24_mittel.png,Klinke,picture,word,maskedcs,us,#969696,0,fmaske_3.png,fmaske_4.png,yes_left,no,no,250,NA,NA,NA,NA,344763,345665,346567,346669,346721,NA,NA,NA,NA,NA,NA,NA,NA,346773
74,10,1,1,EC_subj,pokemon,d,cs_w_us,50,neutral,subjective,usfirst,left,right,yes,filler_50_neu_task,some us,40_mittel.png,neu7490.png,picture,picture,maskedcs,us,#969696,0,fmaske_10.png,fmaske_4.png,yes_left,no,no,250,NA,NA,NA,NA,347553,348455,349357,349459,349511,NA,349561,no,yes,no,no,no,no,361418
74,11,1,1,EC_subj,pokemon,d,critical,50,neg,subjective,usfirst,right,left,yes,cs_50_neg_task,some us,Ärger,25_mittel.png,word,picture,us,maskedcs,#969696,0,fmaske_2.png,fmaske_7.png,no,no,no,250,NA,NA,NA,NA,362028,362930,363832,363934,363986,NA,364036,yes,no,no,no,no,no,367125
74,12,1,1,EC_subj,pokemon,d,cswcs,40,none,none,csfirst,left,right,yes,o_filler_40_neu_none,o_filler_1000_neu_none_1,pubio,avouco,word,word,maskedcs,controlcs,#969696,1500,maske_9.png,maske_6.png,no,no,no,250,NA,NA,NA,NA,NA,367638,368540,368642,368684,368736,NA,NA,NA,NA,NA,NA,NA,370239
74,13,1,1,EC_subj,pokemon,d,critical,50,neg,subjective,csfirst,right,left,yes,cs_50_neg_task,some us,Not,25_mittel.png,word,picture,us,maskedcs,#969696,1500,fmaske_11.png,fmaske_10.png,no,no,no,250,NA,NA,NA,NA,NA,370757,371659,371761,371813,371865,373366,yes,no,no,no,no,no,377285
74,14,1,1,EC_subj,pokemon,d,cs_w_us,70,neutral,none,usfirst,left,right,yes,filler_50_neu_none,some us,27_dunkel.png,Knopf,picture,word,maskedcs,us,#969696,0,fmaske_3.png,fmaske_4.png,yes_left,no,yes,0,space,377812,379846,381746,377815,378717,379619,379721,379794,NA,NA,NA,NA,NA,NA,NA,NA,381749
74,15,1,1,EC_subj,pokemon,d,control,1000,neg,none,usfirst,left,right,no,control_1000_neg_none,some us,37_mittel.png,8485.png,picture,picture,controlcs,us,#000000,0,fmaske_1.png,fmaske_12.png,no,no,no,250,NA,NA,NA,NA,382421,NA,NA,383424,NA,NA,NA,NA,NA,NA,NA,NA,NA,384427
74,16,1,1,EC_subj,pokemon,d,critical,50,pos,subjective,csfirst,right,left,yes,cs_50_pos_task,some us,2091.png,11_mittel.png,picture,picture,us,maskedcs,#969696,1500,fmaske_1.png,fmaske_10.png,no,no,no,250,NA,NA,NA,NA,NA,385107,386010,386112,386164,386216,387717,no,no,no,no,yes,no,395245
74,17,1,1,EC_subj,pokemon,d,critical,50,neg,subjective,csfirst,left,right,yes,cs_50_neg_task,some us,25_mittel.png,Gewalt,picture,word,maskedcs,us,#969696,1500,fmaske_11.png,fmaske_11.png,no,no,no,250,NA,NA,NA,NA,NA,395768,396670,396772,396824,396876,398377,yes,no,no,no,no,no,400493
