subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,correct_opt,correct_type,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_dk,time_idmem_form,time_idmem_blank
85,EC_only,nonword,c,0,cs_40_neg_task,teutos,neg,critical,40,none,Ekel,word,9630.png,2276.png,9330.png,Henker,Ekel,Geschwür,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2634024,2660295
85,EC_only,nonword,c,1,cs_50_pos_none,makan,pos,critical,50,none,Glück,word,7330.png,1650.png,2150.png,Glück,Blume,Kunst,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2661697,2675741
85,EC_only,nonword,c,2,control_1000_pos_none_2,parlic,pos,control,1000,none,4220.png,picture,8170.png,2071.png,4220.png,Geburt,Kuss,Wärme,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2677135,2684024
85,EC_only,nonword,c,3,control_1000_pos_none,naptor,pos,control,1000,none,2091.png,picture,2091.png,1650.png,4220.png,Mutter,Kuss,Musik,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2685420,2698815
85,EC_only,nonword,c,4,filler_1000_neu_none_1,babit,neu,filler,1000,none,neu2620.png,picture,neu7187.png,neu7233.png,neu2620.png,Bein,Dach,Tuch,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2700200,2705527
85,EC_only,nonword,c,5,cs_50_pos_task,minair,pos,critical,50,none,2150.png,picture,8080.png,5910.png,2150.png,Freizeit,Geburt,Paradies,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2706954,2711495
85,EC_only,nonword,c,6,cs_40_pos_task,zillie,pos,critical,40,none,2150.png,picture,8501.png,2160.png,2150.png,Scherz,Kunst,Fete,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2712908,2717445
85,EC_only,nonword,c,7,cs_50_neg_none,avouco,neg,critical,50,none,9041.png,picture,6831.png,9041.png,9280.png,Teufel,Folter,Finsternis,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2718824,2722479
85,EC_only,nonword,c,8,filler_50_neu_task,lobee,neu,filler,50,none,neu7080.png,picture,neu5510.png,neu7080.png,neu2580.png,Hand,Knopf,Klinke,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2723851,2737215
85,EC_only,nonword,c,9,control_1000_neg_none,hesire,neg,control,1000,none,Gewalt,word,9421.png,9180.png,9000.png,Gewalt,Frust,Hass,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2738611,2749976
85,EC_only,nonword,c,10,cs_40_pos_none,pubio,pos,critical,40,none,8370.png,picture,8370.png,2040.png,1999.png,Natur,Wiese,Wärme,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2751379,2757327
85,EC_only,nonword,c,11,control_1000_neg_none_2,seloom,neg,control,1000,none,9430.png,picture,9280.png,9430.png,9630.png,Ekel,Sucht,Horror,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2758690,2765800
85,EC_only,nonword,c,12,filler_50_neu_none,trelle,neu,filler,50,none,neu5510.png,picture,neu5510.png,neu7830.png,neu7640.png,Schrank,Hand,Sessel,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2767194,2775429
85,EC_only,nonword,c,13,filler_40_neu_none,tafta,neu,filler,40,none,neu5510.png,picture,neu2487.png,neu7490.png,neu5510.png,Knopf,Tuch,Schrank,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2776813,2788053
85,EC_only,nonword,c,14,filler_1000_neu_none_2,altine,neu,filler,1000,none,neu2487.png,picture,neu2487.png,neu5510.png,neu5395.png,Hand,Lampe,Klinke,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2789438,2794711
85,EC_only,nonword,c,15,cs_40_neg_none,tavoo,neg,critical,40,none,9920.png,picture,9920.png,9400.png,9830.png,Gemeinheit,Gewalt,Horror,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2796115,2808150
85,EC_only,nonword,c,16,cs_50_neg_task,coskie,neg,critical,50,none,9265.png,picture,9265.png,9830.png,7380.png,Betrug,Tyrann,Henker,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2809557,2814439
85,EC_only,nonword,c,17,filler_40_neu_task,roosle,neu,filler,40,none,Dach,word,neu2372.png,neu7000.png,neu5510.png,Knopf,Dach,Schrank,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2815824,2823472
