subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
115,EC_only,nonword,c,0,control_1000_pos_none_2,seloom,pos,control,1000,none,12,2046440,2052121
115,EC_only,nonword,c,1,cs_50_neg_task,naptor,neg,critical,50,none,1,2054416,2056583
115,EC_only,nonword,c,2,control_1000_neg_none_2,tafta,neg,control,1000,none,0,2058875,2060975
115,EC_only,nonword,c,3,filler_1000_neu_none_1,zillie,neu,filler,1000,none,11,2063269,2066070
115,EC_only,nonword,c,4,cs_40_neg_none,makan,neg,critical,40,none,4,2068367,2070822
115,EC_only,nonword,c,5,filler_40_neu_task,lobee,neu,filler,40,none,12,2073116,2075445
115,EC_only,nonword,c,6,cs_50_pos_none,avouco,pos,critical,50,none,8,2077740,2080006
115,EC_only,nonword,c,7,filler_50_neu_task,babit,neu,filler,50,none,6,2082302,2084859
115,EC_only,nonword,c,8,cs_40_pos_task,teutos,pos,critical,40,none,7,2087154,2089102
115,EC_only,nonword,c,9,filler_50_neu_none,altine,neu,filler,50,none,10,2091397,2093400
115,EC_only,nonword,c,10,control_1000_pos_none,hesire,pos,control,1000,none,19,2095696,2097512
115,EC_only,nonword,c,11,filler_1000_neu_none_2,pubio,neu,filler,1000,none,16,2099808,2101707
115,EC_only,nonword,c,12,cs_40_neg_task,minair,neg,critical,40,none,5,2104005,2106487
115,EC_only,nonword,c,13,cs_50_pos_task,coskie,pos,critical,50,none,9,2108782,2110606
115,EC_only,nonword,c,14,cs_40_pos_none,tavoo,pos,critical,40,none,3,2112902,2114699
115,EC_only,nonword,c,15,control_1000_neg_none,roosle,neg,control,1000,none,2,2116994,2119401
115,EC_only,nonword,c,16,filler_40_neu_none,trelle,neu,filler,40,none,7,2121698,2123685
115,EC_only,nonword,c,17,cs_50_neg_none,parlic,neg,critical,50,none,10,2125981,2127701
