ECOPD1 [2012-03]
106   0   1
 24   1   1   1 PSSYCHOLOGIE
Liste
Liste[i].wort, Liste[i].istbild,  Liste[i].uspositiv
 dann 5x: Liste[i].us[j], Liste[i].usdist[j][0], Liste[i].usdist[j][1], Liste[i].usdist[j][2], Liste[i].usdist[j][3], Liste[i].usdist[j][4], Liste[i].usdist[j][5]
 dann: Liste[i].schonangezeigt, Liste[i].testcounter,  Liste[i].liking,  Liste[i].USVALerinnert, Liste[i].USIDerinnert
cs3_.bmp   1   1
 14 -   6  13  19   4  14  21
 17 -  15  13  17  21   4   5
 24 -   7  12   3  20  24  13
  1 -  15  22  13   5  10   1
  0 -  15  11   7   5   0  21
  0   0  -1  -1 1443134331
cs0_.bmp   1   0
  9 -  18   9  20  11  22   2
  3 -   3  10   5  18  24  11
 13 -  13  20   0   8  23  11
  6 -  23  15  17  11   6  21
  7 -  24   1   7  22   4   5
  0   0  -1  -1 1443134331
cs8_.bmp   1   0
  5 -  13   8   7   5   2  22
  1 -   1  10   4   8   9  11
 18 -  15   9   8  10   6  18
 12 -  13   9  15   4  12  11
 20 -   8   0  15  20  13  16
  0   0  -1  -1 1443134331
cs1_.bmp   1   0
 10 -   4  23  21  12  20  10
 17 -  11   3  17   4  23   0
 24 -  24   7   0  14  15  21
  2 -  22  21   4  13   1   2
 16 -  16  11  14  23   1   9
  0   0  -1  -1 1443134331
cs6_.bmp   1   1
 19 -  18   1  20  23  10  19
  2 -  24  11  22   2  16   8
  4 -   9  18  12   4  22  20
 21 -   0   6  21  18   8  10
  7 -   8   7  22  15  16  24
  0   0  -1  -1 1443134331
cs9_.bmp   1   1
 11 -   2  10  11   1  13  23
 22 -  24  13  17  22   0   7
  6 -   6   5   4   3  20   8
 12 -   1   5  12  15   0  16
 18 -  18  21   1   5  13   2
  0   0  -1  -1 1443134331
cs4_.bmp   1   0
  8 -   2  17   8   5  23  19
 14 -  14  10  19  23   3   6
  0 -   1  16   9   5  10   0
 11 -  11   3   2  19  24  15
 21 -  22  19   6  12  17  21
  0   0  -1  -1 1443134331
cs7_.bmp   1   1
 10 -   7  10  23  18  21   1
 20 -   8  22  18   9  23  20
  3 -  17  22   3  19  16  24
 13 -   7  21  19  13  16   2
  5 -   8  18  11  23   7   5
  0   0  -1  -1 1443134331
cs2_.bmp   1   1
 23 -  12  23  17  13  10  18
 15 -   4  13  15  10  12  20
 16 -  21  14  16   5  19   2
  9 -   3   6   1  12  24   9
  8 -  20   5   1  12   8   7
  0   0  -1  -1 1443134331
cs5_.bmp   1   0
 15 -   1  18  11   3  16  15
 23 -   0  17  23   8   5   9
 22 -  22   5   6  17  18   2
  4 -   4  11   1   9   7   5
 19 -   0   5  19   6  11  20
  0   0  -1  -1 1443134331
 pimuide   0   0
  5 -  11   8  12   9  20   5
 15 -  23  21   0  15  12  24
  3 -  20  10   9   3   8   4
 22 -  11  20  10   0  14  22
  1 -   0  18   8  10   9   1
  0   0  -1  -1 1443134331
  uwimor   0   0
 12 -   6  17  12  24   3  15
  9 -  16   9   2   5  15  19
 14 -  14   6   4  16  15   0
 13 -   6  23  21  13  18   1
  8 -   1  10  11   6  21   8
  0   0  -1  -1 1443134331
   yosud   0   1
 19 -   9   6  22   8   7  19
  5 -  14  17   7   1   0   5
 13 -  13  23   3  15   6  22
 24 -   2   7   6   1   3  24
 16 -   7  17  18  16  12  15
  0   0  -1  -1 1443134331
   obacu   0   1
 11 -  23  22  14   9  15  11
  7 -  23  10   3   7   2  24
 20 -  21  20  14  15  16   6
  8 -  15   8   6  17   5   2
  0 -  23   5  21   1  22   0
  0   0  -1  -1 1443134331
  jaciyn   0   1
 10 -  16  11   7  10   9   0
  2 -   0  13   8   9   2   6
 21 -   6   0   5  11  21  19
 15 -  14   4  15  20  11   6
  3 -   4   6   3  16  14  19
  0   0  -1  -1 1443134331
  hiwawa   0   0
  6 -  14  23   6  12  20  13
 19 -   1  19   5  20  16  10
 18 -  24  10  22  16   8  18
  0 -  14   0  15  22  10   8
  2 -  17  13   5   2  22  20
  0   0  -1  -1 1443134331
  botuyn   0   0
 21 -   5   8  11  21  14  19
 16 -   6   0   4  20   9  16
 23 -   5  15  23   9   1  12
  7 -   7   2   5  13  15   0
 17 -  15   5  17  13   9  22
  0   0  -1  -1 1443134331
 furasti   0   1
 18 -  10   1   9  24  18  21
  4 -  23   4  13  24  21  19
  6 -   0  24   8   6  13  15
 14 -   5  20  19  14  10   1
 12 -   1  23   5  12  13  11
  0   0  -1  -1 1443134331
   tewok   0   0
 20 -  20  19   9  15  21  22
 24 -   5  23   1   6   8  24
  4 -  17   4  12  16  18  15
 10 -   3   2  23  21  14  10
 11 -  16   7   3  11  18  21
  0   0  -1  -1 1443134331
 hilejin   0   1
  1 -   1   8  19   6  11  18
 17 -  12  16  10  17  21   6
 22 -   5  16  11  19  24  22
  9 -   4   9  15  12  20   6
 23 -  12   7  20  24  23   2
  0   0  -1  -1 1443134331
US-Bilder
uspositiv, cs, us, Liste[cs].us[us], Liste[cs].wort, fn
  0   1   0  14 cs3_.bmp l:\stim\ecopd1\bild/pos (15)s (Large).bmp
  0   1   1  17 cs3_.bmp l:\stim\ecopd1\bild/pos (18)s (Large).bmp
  0   1   2  24 cs3_.bmp l:\stim\ecopd1\bild/pos (25)s (Large).bmp
  0   1   3   1 cs3_.bmp l:\stim\ecopd1\bild/pos (2)s (Large).bmp
  0   1   4   0 cs3_.bmp l:\stim\ecopd1\bild/pos (1)s (Large).bmp
  1   0   0   9 cs0_.bmp l:\stim\ecopd1\bild/neg (10)s (Large).bmp
  1   0   1   3 cs0_.bmp l:\stim\ecopd1\bild/neg (4)s (Large).bmp
  1   0   2  13 cs0_.bmp l:\stim\ecopd1\bild/neg (14)s (Large).bmp
  1   0   3   6 cs0_.bmp l:\stim\ecopd1\bild/neg (7)s (Large).bmp
  1   0   4   7 cs0_.bmp l:\stim\ecopd1\bild/neg (8)s (Large).bmp
  2   0   0   5 cs8_.bmp l:\stim\ecopd1\bild/neg (6)s (Large).bmp
  2   0   1   1 cs8_.bmp l:\stim\ecopd1\bild/neg (2)s (Large).bmp
  2   0   2  18 cs8_.bmp l:\stim\ecopd1\bild/neg (19)s (Large).bmp
  2   0   3  12 cs8_.bmp l:\stim\ecopd1\bild/neg (13)s (Large).bmp
  2   0   4  20 cs8_.bmp l:\stim\ecopd1\bild/neg (21)s (Large).bmp
  3   0   0  10 cs1_.bmp l:\stim\ecopd1\bild/neg (11)s (Large).bmp
  3   0   1  17 cs1_.bmp l:\stim\ecopd1\bild/neg (18)s (Large).bmp
