ECOPD1 [2012-03]
  5   2   1
 32   1   1   1 PSYCHOLOGIE
Liste
Liste[i].wort, Liste[i].istbild,  Liste[i].uspositiv
 dann 5x: Liste[i].us[j], Liste[i].usdist[j][0], Liste[i].usdist[j][1], Liste[i].usdist[j][2], Liste[i].usdist[j][3], Liste[i].usdist[j][4], Liste[i].usdist[j][5]
 dann: Liste[i].schonangezeigt, Liste[i].testcounter,  Liste[i].liking,  Liste[i].USVALerinnert, Liste[i].USIDerinnert
cs6_.bmp   1   0
 14 -  11  19  14   5   2   9
  0 -  15   3  10  20  13   0
 17 -  17   2  15  19  11   3
 22 -  23   1  22  20  16   6
 21 -   1   4  21  15  24  19
  0   0  -1  -1 1751942245
cs3_.bmp   1   1
  1 -  19  18   6   1  17  21
  3 -   8  15   9   3  13  18
 24 -  24  17  18  21  15   7
  4 -   5   4  20   9   8  19
  2 -   0   2  12  14  16  21
  0   0  -1  -1 1751942245
cs8_.bmp   1   0
 19 -  21  15  18  14   0  19
 20 -   0  12   7  20  16  11
  4 -  22  24  21   4   9   7
  1 -   1  23  12  24  21  22
  6 -   6   9  12   2   0  17
  0   0  -1  -1 1751942245
cs5_.bmp   1   0
  3 -   9   6   3   5   8  12
 24 -   5  24  16  21  10   1
 13 -   2   5  20  13   9  11
 18 -  16  18  11  15   7   9
 23 -   1  20  15  23   9  12
  0   0  -1  -1 1751942245
cs2_.bmp   1   1
 17 -   7   1  16  20  17   8
  9 -  16  22  11   9   5  13
 18 -  10  24  13  15  18  22
 21 -  23  10  21   6   3  20
  0 -  11   7  13   0   8   2
  0   0  -1  -1 1751942245
cs1_.bmp   1   1
 10 -   2  17  16  10   3  24
 11 -  15   4   0  20  12  11
 23 -  15   7  12   6  23   8
 13 -  13   9   7  12   1   8
 14 -  19  14  21  18   4   1
  0   0  -1  -1 1751942245
cs9_.bmp   1   1
 12 -  12  17  20  10  11  15
  8 -   9   6   8  11  22   2
 16 -   1   3  13   6  24  16
 19 -  22   2  15   9  19   0
  5 -   5   2   4  22   3  15
  0   0  -1  -1 1751942245
cs0_.bmp   1   0
  2 -   1   2   6   0   8  22
  5 -  12   6   8   5  11  13
 10 -  18  10  12   1  15   8
  7 -   7  11   4   1  24  23
  9 -   4   9  19  16  13  20
  0   0  -1  -1 1751942245
cs7_.bmp   1   1
  6 -  10   6  14   2   9  13
  7 -  19   2   4   7  14   1
 15 -  17   3  15  11   2  18
 20 -   3  24  23   0  21  20
 22 -  10  11   0  13  22   4
  0   0  -1  -1 1751942245
cs4_.bmp   1   0
 16 -  16   2   1  17   9  21
 15 -  13  15   0   1  14  23
  8 -  24   1  18   8   0   9
 12 -  24  18   4  22  12   6
 11 -   4  21  20   2  11   0
  0   0  -1  -1 1751942245
  jaciyn   0   0
 19 -   8  19  22  16  21   9
  5 -   2  15  11   5  17  21
 10 -  14  17   6  10  18   3
 20 -  20   7  17   6  21  22
 12 -  21  18  12  22  17   9
  0   0  -1  -1 1751942245
   yosud   0   1
  3 -   2  21  17   3  19  16
  9 -   0  11  20   9  24  17
 13 -  12  15   6  13  20  21
  7 -  17   2   1   7   4  19
 18 -  20  24   8  16   2  18
  0   0  -1  -1 1751942245
   obacu   0   1
 12 -  13   7   0  22  12  20
  6 -   2   4   6   5  16  15
 24 -  22   2  24   3  15   4
 19 -  23  20  19  21   0   2
  8 -  14   7   2   1   8  13
  0   0  -1  -1 1751942245
 pimuide   0   1
 21 -  10  11  21  22   6  18
 15 -  19  24   3  15  12   1
  5 -  13  19  12   5   8  10
 17 -  12   3  17   6  22  18
 23 -  13   1  16   6  14  23
  0   0  -1  -1 1751942245
   tewok   0   0
 17 -  15  17  10  22  21   3
 11 -  24   5  16  10  12  11
  1 -   1  13  12  21  18  22
 23 -   8  23   7  24  16   9
  2 -   7   9   2  18  14  12
  0   0  -1  -1 1751942245
  uwimor   0   0
 21 -   3   8  12  15  21  16
 13 -  15   8  20  23  13  10
  7 -   6  12   7  22   1  23
 18 -   8  19   1  17  24  18
 14 -  16  22  14  15   9   0
  0   0  -1  -1 1751942245
 furasti   0   0
 16 -  20  23  16  11   4  18
 22 -  14  11  20  22  12  19
  9 -   6  19  18  13  17   9
  3 -  15  14   6   3  24   4
  8 -   6  19   0   8   2   4
  0   0  -1  -1 1751942245
  botuyn   0   1
 10 -   9  10  13  19  12   3
 11 -   2  15   8  21   4  11
  0 -  13   0   4  19  14  17
 20 -  24   8   7  20  18  21
 16 -  16   1  24   3  19   8
  0   0  -1  -1 1751942245
  hiwawa   0   1
  2 -  21   9   7  12  15   2
  1 -  18   1   8   6   3  19
 22 -  24   6  16  23  17  22
  4 -  10   5   4   3  23  12
 14 -   3   7  24   0  14  16
  0   0  -1  -1 1751942245
 hilejin   0   0
 24 -  24   2  10  17   9   7
  4 -   4   1  21   3  13   7
 15 -  18  11   5  10  16  15
  6 -   3  11   7  21   6   5
  0 -   3   8  13   1   0  14
  0   0  -1  -1 1751942245
US-Bilder
uspositiv, cs, us, Liste[cs].us[us], Liste[cs].wort, fn
  0   0   0  14 cs6_.bmp l:\stim\ecopd1\bild/neg (15)s (Large).bmp
  0   0   1   0 cs6_.bmp l:\stim\ecopd1\bild/neg (1)s (Large).bmp
  0   0   2  17 cs6_.bmp l:\stim\ecopd1\bild/neg (18)s (Large).bmp
  0   0   3  22 cs6_.bmp l:\stim\ecopd1\bild/neg (23)s (Large).bmp
  0   0   4  21 cs6_.bmp l:\stim\ecopd1\bild/neg (22)s (Large).bmp
  1   1   0   1 cs3_.bmp l:\stim\ecopd1\bild/pos (2)s (Large).bmp
  1   1   1   3 cs3_.bmp l:\stim\ecopd1\bild/pos (4)s (Large).bmp
  1   1   2  24 cs3_.bmp l:\stim\ecopd1\bild/pos (25)s (Large).bmp
  1   1   3   4 cs3_.bmp l:\stim\ecopd1\bild/pos (5)s (Large).bmp
  1   1   4   2 cs3_.bmp l:\stim\ecopd1\bild/pos (3)s (Large).bmp
  2   0   0  19 cs8_.bmp l:\stim\ecopd1\bild/neg (20)s (Large).bmp
  2   0   1  20 cs8_.bmp l:\stim\ecopd1\bild/neg (21)s (Large).bmp
  2   0   2   4 cs8_.bmp l:\stim\ecopd1\bild/neg (5)s (Large).bmp
  2   0   3   1 cs8_.bmp l:\stim\ecopd1\bild/neg (2)s (Large).bmp
  2   0   4   6 cs8_.bmp l:\stim\ecopd1\bild/neg (7)s (Large).bmp
  3   0   0   3 cs5_.bmp l:\stim\ecopd1\bild/neg (4)s (Large).bmp
