ECOPD1 [2012-03]
116   1   1
 22   1   1   1 PSYCHOLGOGIE
Liste
Liste[i].wort, Liste[i].istbild,  Liste[i].uspositiv
 dann 5x: Liste[i].us[j], Liste[i].usdist[j][0], Liste[i].usdist[j][1], Liste[i].usdist[j][2], Liste[i].usdist[j][3], Liste[i].usdist[j][4], Liste[i].usdist[j][5]
 dann: Liste[i].schonangezeigt, Liste[i].testcounter,  Liste[i].liking,  Liste[i].USVALerinnert, Liste[i].USIDerinnert
cs3_.bmp   1   0
  9 -  23  17   0  20   2   9
 13 -  11  13   6  24  15  23
  3 -  10   1  22  15  23   3
 14 -   2   0  21  22  14  10
  8 -  11  23   4   8   1  15
  0   0  -1  -1 945904804
cs1_.bmp   1   1
  3 -  12   3  19  16   5  11
 13 -   5  17  11  20   1  13
 24 -  24  12   4  19   7  22
  6 -  16  17   4  11   5   6
 23 -   8  18   5  19  23  16
  0   0  -1  -1 945904804
cs0_.bmp   1   1
 15 -   1   2  14   8  15   6
 16 -  16  20   7  19   2  12
  4 -   2   7   9  19  10   4
 22 -  20   6  22   2   5   1
 18 -   5   8  17  18  23   7
  0   0  -1  -1 945904804
cs4_.bmp   1   0
  4 -   4  15  14   0   6   7
 16 -  19  10  16  20  13  15
 11 -  23   8   9  18  11   7
  2 -  18  19   2  12   5  10
 21 -   9  21  14   6   3   0
  0   0  -1  -1 945904804
cs7_.bmp   1   1
  1 -   2   7  18  24  20   1
 19 -  19  14   5  15  10  16
  0 -  13   0   9   8   6  22
 12 -  18  20  22   7  12   2
 11 -   3  15   6   5  11   8
  0   0  -1  -1 945904804
cs5_.bmp   1   1
 17 -   6  17  20   2  13  12
  7 -  16   0   1  12   8   7
 14 -  13   2   3  14   0  10
  9 -  21  23  19   9   3   1
  5 -   3   0  24  16   5   4
  0   0  -1  -1 945904804
cs2_.bmp   1   1
  8 -   8  18  13  22   6   4
  2 -   3   2  19  17  22   5
 10 -  16   0  19  23  15  10
 21 -   1  21  23  24   3   5
 20 -   3  20  16   1  14  22
  0   0  -1  -1 945904804
cs8_.bmp   1   0
  1 -  21  16   3  15  18   1
 10 -  10  18  11  20  16   7
 24 -  24   2   6   8   3  23
  5 -  18   7   3   5   9   6
 17 -  12  19   4  17  21  16
  0   0  -1  -1 945904804
cs9_.bmp   1   0
 23 -  12  10  13   5   8  23
  0 -   0   4   5  14  20  16
  7 -   2   7   6   4  21   3
 18 -  15  14   5  18  16   9
 19 -  10  19   6   4   9  13
  0   0  -1  -1 945904804
cs6_.bmp   1   0
 15 -   7  11  15   9  14  18
 20 -  20   5  18   9   3  19
 12 -  21  12   4  19  18  10
  6 -  18   6   5   2  24   0
 22 -   0  21   1  10   2  22
  0   0  -1  -1 945904804
  botuyn   0   0
 14 -   8  17  15  14   0  10
  7 -  19   2  17   4   7   8
 18 -  23  17   5  18   6  16
  1 -  13  23   6   9   8   1
 12 -  20  15  22   0  11  12
  0   0  -1  -1 945904804
  uwimor   0   1
 21 -  13  15   5  21  20   0
  9 -  13  15   2   4  10   9
  1 -   8   6  20   1   7  22
 19 -  19  24   3  16  10  20
 18 -   7   5  18  13  24  23
  0   0  -1  -1 945904804
   tewok   0   0
 19 -   7  18  19   8  11  12
  0 -   0   6  11   8  17  23
  5 -   5  22  20  12  15  18
  2 -   8  12   4  21  14   2
 13 -   9  22  13  14  17   4
  0   0  -1  -1 945904804
  hiwawa   0   1
 20 -  11  23  20   0   6  19
 13 -  23  12  13   1   2   6
 22 -   2   9   0  22  17  11
 24 -   3  24   1  21  23   4
  8 -   4   6   7   1   8  14
  0   0  -1  -1 945904804
 pimuide   0   1
  6 -  17  10   4  24   9   6
 23 -  24  16   4   1  13  23
  2 -  16  19   8  18   2   3
