phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,266,1,1,1,1,negative,acquisition,26.png,9432.JPG,0,None,None,None,None
trials,266,1,2,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,3,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,266,1,4,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,5,1,1,positive,acquisition,8.png,1460.JPG,0,None,None,None,None
trials,266,1,6,1,NA,NA,NA,empty.png,5870.JPG,0,None,None,None,None
trials,266,1,7,1,1,negative,extinction,24.png,empty.png,0,None,None,None,None
trials,266,1,8,1,NA,NA,NA,9000.JPG,5780.JPG,0,None,None,None,None
trials,266,1,9,1,NA,NA,NA,19.png,25.png,0,None,None,None,None
trials,266,1,10,1,NA,NA,NA,5660.JPG,9280.JPG,0,None,None,None,None
trials,266,1,11,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,12,1,2,negative,acquisition,26.png,9432.JPG,0,None,None,None,None
trials,266,1,13,1,NA,NA,NA,empty.png,5870.JPG,0,None,None,None,None
trials,266,1,14,1,NA,NA,NA,9000.JPG,5780.JPG,0,None,None,None,None
trials,266,1,15,1,1,neutral,extinction,9.png,empty.png,0,None,None,None,None
trials,266,1,16,1,1,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,266,1,17,1,1,negative,extinction,4.png,empty.png,0,None,None,None,None
trials,266,1,18,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,19,1,NA,NA,NA,13.png,2.png,0,None,None,None,None
trials,266,1,20,1,NA,NA,NA,19.png,25.png,0,None,None,None,None
trials,266,1,21,1,1,neutral,acquisition,17.png,7090.JPG,0,None,None,None,None
trials,266,1,22,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,23,1,1,negative,extinction,21.png,empty.png,0,None,None,None,None
trials,266,1,24,1,NA,NA,NA,19.png,25.png,0,None,None,None,None
trials,266,1,25,1,1,neutral,extinction,1.png,empty.png,0,None,None,None,None
trials,266,1,26,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,27,1,1,negative,acquisition,14.png,3300.JPG,0,None,None,None,None
trials,266,1,28,1,NA,NA,NA,5870.JPG,empty.png,0,None,None,None,None
trials,266,1,29,1,NA,NA,NA,empty.png,22.png,0,None,None,None,None
trials,266,1,30,1,NA,NA,NA,5660.JPG,9280.JPG,0,None,None,None,None
trials,266,1,31,1,NA,NA,NA,15.png,6.png,0,None,None,None,None
trials,266,1,32,1,NA,NA,NA,27.png,empty.png,0,None,None,None,None
trials,266,1,33,1,1,neutral,extinction,5.png,empty.png,0,None,None,None,None
trials,266,1,34,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,35,1,2,negative,extinction,24.png,empty.png,0,None,None,None,None
trials,266,1,36,1,NA,NA,NA,27.png,empty.png,0,None,None,None,None
trials,266,1,37,1,2,neutral,extinction,1.png,empty.png,0,None,None,None,None
trials,266,1,38,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,39,1,NA,NA,NA,5720.JPG,5970.JPG,0,None,None,None,None
trials,266,1,40,1,2,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,266,1,41,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,42,1,1,negative,acquisition,10.png,9041.JPG,0,None,None,None,None
trials,266,1,43,1,3,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,266,1,44,1,1,positive,acquisition,20.png,1590.JPG,0,None,None,None,None
trials,266,1,45,1,2,negative,extinction,4.png,empty.png,0,None,None,None,None
trials,266,1,46,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,266,1,47,1,2,positive,acquisition,20.png,1590.JPG,0,None,None,None,None
trials,266,1,48,1,1,neutral,acquisition,3.png,7705.JPG,0,None,None,None,None
trials,266,1,49,1,NA,NA,NA,empty.png,5250.JPG,0,None,None,None,None
trials,266,1,50,1,2,neutral,extinction,9.png,empty.png,0,None,None,None,None
trials,266,1,51,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,52,1,NA,NA,NA,13.png,2.png,0,None,None,None,None
trials,266,1,53,1,1,positive,acquisition,23.png,1463.JPG,0,None,None,None,None
trials,266,1,54,1,3,neutral,extinction,1.png,empty.png,0,None,None,None,None
trials,266,1,55,1,NA,NA,NA,empty.png,5611.JPG,0,None,None,None,None
trials,266,1,56,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,57,1,2,neutral,extinction,5.png,empty.png,0,None,None,None,None
trials,266,1,58,1,NA,NA,NA,5720.JPG,5970.JPG,0,None,None,None,None
trials,266,1,59,1,NA,NA,NA,9000.JPG,5780.JPG,0,None,None,None,None
trials,266,1,60,1,1,positive,extinction,7.png,empty.png,0,None,None,None,None
trials,266,1,61,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,266,1,62,1,2,positive,acquisition,8.png,1460.JPG,0,None,None,None,None
trials,266,1,63,1,1,positive,extinction,11.png,empty.png,0,None,None,None,None
trials,266,1,64,1,3,neutral,extinction,9.png,empty.png,0,None,None,None,None
trials,266,1,65,1,1,neutral,acquisition,12.png,7175.JPG,0,None,None,None,None
trials,266,1,66,1,4,neutral,extinction,1.png,empty.png,1,3,1,6,None
trials,266,1,67,1,2,positive,extinction,7.png,empty.png,0,None,None,None,None
trials,266,1,68,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
