phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,301,1,1,2,1,positive,extinction,empty.png,23.png,0,None,None,None,None
trials,301,1,2,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,3,2,1,neutral,acquisition,7006.JPG,12.png,0,None,None,None,None
trials,301,1,4,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,5,2,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,301,1,6,2,1,positive,acquisition,1460.JPG,3.png,0,None,None,None,None
trials,301,1,7,2,1,positive,extinction,empty.png,10.png,0,None,None,None,None
trials,301,1,8,2,1,negative,acquisition,2900.1.JPG,18.png,0,None,None,None,None
trials,301,1,9,2,NA,NA,NA,15.png,6.png,0,None,None,None,None
trials,301,1,10,2,1,neutral,acquisition,7009.JPG,24.png,0,None,None,None,None
trials,301,1,11,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,12,2,NA,NA,NA,5250.JPG,5660.JPG,0,None,None,None,None
trials,301,1,13,2,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,301,1,14,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,15,2,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,301,1,16,2,1,neutral,acquisition,7000.JPG,21.png,0,None,None,None,None
trials,301,1,17,2,1,negative,acquisition,2399.JPG,8.png,0,None,None,None,None
trials,301,1,18,2,NA,NA,NA,22.png,13.png,0,None,None,None,None
trials,301,1,19,2,1,neutral,extinction,empty.png,17.png,0,None,None,None,None
trials,301,1,20,2,1,positive,acquisition,1590.JPG,20.png,0,None,None,None,None
trials,301,1,21,2,1,negative,extinction,empty.png,11.png,0,None,None,None,None
trials,301,1,22,2,NA,NA,NA,9000.JPG,5780.JPG,0,None,None,None,None
trials,301,1,23,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,24,2,NA,NA,NA,5870.JPG,empty.png,0,None,None,None,None
trials,301,1,25,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,26,2,1,negative,extinction,empty.png,4.png,0,None,None,None,None
trials,301,1,27,2,2,negative,acquisition,2900.1.JPG,18.png,0,None,None,None,None
trials,301,1,28,2,2,neutral,acquisition,7009.JPG,24.png,0,None,None,None,None
trials,301,1,29,2,1,neutral,extinction,empty.png,9.png,0,None,None,None,None
trials,301,1,30,2,NA,NA,NA,5250.JPG,5660.JPG,0,None,None,None,None
trials,301,1,31,2,2,neutral,acquisition,7000.JPG,21.png,0,None,None,None,None
trials,301,1,32,2,1,negative,acquisition,9265.JPG,14.png,0,None,None,None,None
trials,301,1,33,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,34,2,2,positive,extinction,empty.png,23.png,0,None,None,None,None
trials,301,1,35,2,NA,NA,NA,9000.JPG,5780.JPG,0,None,None,None,None
trials,301,1,36,2,2,positive,extinction,empty.png,10.png,0,None,None,None,None
trials,301,1,37,2,2,neutral,acquisition,7006.JPG,12.png,0,None,None,None,None
trials,301,1,38,2,2,negative,extinction,empty.png,11.png,0,None,None,None,None
trials,301,1,39,2,NA,NA,NA,15.png,6.png,0,None,None,None,None
trials,301,1,40,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,41,2,NA,NA,NA,5611.JPG,empty.png,0,None,None,None,None
trials,301,1,42,2,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,301,1,43,2,1,positive,acquisition,1540.JPG,26.png,0,None,None,None,None
trials,301,1,44,2,1,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,301,1,45,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,46,2,NA,NA,NA,16.png,empty.png,0,None,None,None,None
trials,301,1,47,2,1,negative,extinction,empty.png,1.png,0,None,None,None,None
trials,301,1,48,2,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,301,1,49,2,2,positive,acquisition,1540.JPG,26.png,0,None,None,None,None
trials,301,1,50,2,2,negative,acquisition,2399.JPG,8.png,0,None,None,None,None
trials,301,1,51,2,NA,NA,NA,empty.png,19.png,0,None,None,None,None
trials,301,1,52,2,2,positive,acquisition,1460.JPG,3.png,0,None,None,None,None
trials,301,1,53,2,3,neutral,acquisition,7009.JPG,24.png,0,None,None,None,None
trials,301,1,54,2,2,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,301,1,55,2,2,positive,acquisition,1590.JPG,20.png,0,None,None,None,None
trials,301,1,56,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,301,1,57,2,2,negative,acquisition,9265.JPG,14.png,0,None,None,None,None
trials,301,1,58,2,2,negative,extinction,empty.png,1.png,0,None,None,None,None
trials,301,1,59,2,2,negative,extinction,empty.png,4.png,0,None,None,None,None
