phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,284,11.png,positive,extinction,15
globalratings,284,5.png,neutral,extinction,11
globalratings,284,21.png,negative,extinction,4
globalratings,284,26.png,negative,extinction,13
globalratings,284,24.png,positive,extinction,12
globalratings,284,23.png,extinction,neutral,17
globalratings,284,17.png,extinction,positive,12
globalratings,284,20.png,neutral,extinction,11
globalratings,284,8.png,extinction,positive,2
globalratings,284,7.png,neutral,extinction,15
globalratings,284,4.png,extinction,negative,1
globalratings,284,10.png,positive,extinction,4
globalratings,284,3.png,extinction,positive,9
globalratings,284,9.png,extinction,neutral,9
globalratings,284,12.png,negative,extinction,7
globalratings,284,1.png,extinction,neutral,2
globalratings,284,14.png,extinction,negative,11
globalratings,284,18.png,extinction,negative,6
c2ratings,284,26.png,negative,extinction,14
c2ratings,284,1.png,extinction,neutral,4
c2ratings,284,14.png,extinction,negative,13
c2ratings,284,20.png,neutral,extinction,13
c2ratings,284,3.png,extinction,positive,8
c2ratings,284,8.png,extinction,positive,2
c2ratings,284,24.png,positive,extinction,13
c2ratings,284,12.png,negative,extinction,9
c2ratings,284,9.png,extinction,neutral,9
c2ratings,284,18.png,extinction,negative,8
c2ratings,284,17.png,extinction,positive,12
c2ratings,284,10.png,positive,extinction,6
c2ratings,284,21.png,negative,extinction,6
c2ratings,284,5.png,neutral,extinction,10
c2ratings,284,23.png,extinction,neutral,16
c2ratings,284,11.png,positive,extinction,14
c2ratings,284,7.png,neutral,extinction,16
c2ratings,284,4.png,extinction,negative,1
c1ratings,284,12.png,negative,extinction,10
c1ratings,284,24.png,positive,extinction,12
c1ratings,284,17.png,extinction,positive,11
c1ratings,284,9.png,extinction,neutral,11
c1ratings,284,8.png,extinction,positive,5
c1ratings,284,7.png,neutral,extinction,16
c1ratings,284,14.png,extinction,negative,11
c1ratings,284,4.png,extinction,negative,3
c1ratings,284,26.png,negative,extinction,14
c1ratings,284,1.png,extinction,neutral,6
c1ratings,284,21.png,negative,extinction,5
c1ratings,284,23.png,extinction,neutral,17
c1ratings,284,3.png,extinction,positive,11
c1ratings,284,18.png,extinction,negative,7
c1ratings,284,11.png,positive,extinction,8
c1ratings,284,10.png,positive,extinction,9
c1ratings,284,20.png,neutral,extinction,14
c1ratings,284,5.png,neutral,extinction,12
