phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,261,7.png,extinction,negative,18
globalratings,261,24.png,extinction,neutral,14
globalratings,261,20.png,neutral,extinction,0
globalratings,261,21.png,extinction,positive,10
globalratings,261,4.png,extinction,positive,6
globalratings,261,11.png,negative,extinction,3
globalratings,261,14.png,positive,extinction,6
globalratings,261,1.png,extinction,neutral,9
globalratings,261,23.png,negative,extinction,15
globalratings,261,5.png,extinction,negative,16
globalratings,261,10.png,neutral,extinction,10
globalratings,261,8.png,negative,extinction,5
globalratings,261,18.png,extinction,positive,0
globalratings,261,9.png,neutral,extinction,11
globalratings,261,17.png,extinction,neutral,18
globalratings,261,26.png,positive,extinction,11
globalratings,261,3.png,positive,extinction,17
globalratings,261,12.png,extinction,negative,18
c2ratings,261,20.png,neutral,extinction,5
c2ratings,261,9.png,neutral,extinction,12
c2ratings,261,23.png,negative,extinction,18
c2ratings,261,10.png,neutral,extinction,10
c2ratings,261,1.png,extinction,neutral,6
c2ratings,261,21.png,extinction,positive,11
c2ratings,261,5.png,extinction,negative,12
c2ratings,261,12.png,extinction,negative,18
c2ratings,261,24.png,extinction,neutral,18
c2ratings,261,17.png,extinction,neutral,18
c2ratings,261,8.png,negative,extinction,1
c2ratings,261,11.png,negative,extinction,0
c2ratings,261,3.png,positive,extinction,17
c2ratings,261,7.png,extinction,negative,11
c2ratings,261,4.png,extinction,positive,0
c2ratings,261,14.png,positive,extinction,2
c2ratings,261,26.png,positive,extinction,10
c2ratings,261,18.png,extinction,positive,0
c1ratings,261,1.png,extinction,neutral,0
c1ratings,261,4.png,extinction,positive,0
c1ratings,261,21.png,extinction,positive,2
c1ratings,261,20.png,neutral,extinction,4
c1ratings,261,24.png,extinction,neutral,18
c1ratings,261,14.png,positive,extinction,10
c1ratings,261,18.png,extinction,positive,5
c1ratings,261,5.png,extinction,negative,13
c1ratings,261,17.png,extinction,neutral,17
c1ratings,261,7.png,extinction,negative,14
c1ratings,261,23.png,negative,extinction,18
c1ratings,261,12.png,extinction,negative,18
c1ratings,261,9.png,neutral,extinction,12
c1ratings,261,10.png,neutral,extinction,6
c1ratings,261,3.png,positive,extinction,16
c1ratings,261,26.png,positive,extinction,5
c1ratings,261,8.png,negative,extinction,3
c1ratings,261,11.png,negative,extinction,4
