phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,250,7.png,neutral,extinction,18
globalratings,250,21.png,neutral,extinction,0
globalratings,250,8.png,negative,extinction,0
globalratings,250,11.png,extinction,positive,9
globalratings,250,20.png,negative,extinction,7
globalratings,250,24.png,extinction,neutral,0
globalratings,250,18.png,neutral,extinction,0
globalratings,250,23.png,extinction,positive,8
globalratings,250,1.png,positive,extinction,5
globalratings,250,14.png,positive,extinction,0
globalratings,250,4.png,extinction,neutral,0
globalratings,250,3.png,extinction,negative,11
globalratings,250,9.png,extinction,positive,5
globalratings,250,10.png,extinction,negative,0
globalratings,250,5.png,positive,extinction,5
globalratings,250,12.png,extinction,neutral,13
globalratings,250,26.png,negative,extinction,0
globalratings,250,17.png,extinction,negative,12
c2ratings,250,20.png,negative,extinction,2
c2ratings,250,8.png,negative,extinction,0
c2ratings,250,11.png,extinction,positive,0
c2ratings,250,24.png,extinction,neutral,3
c2ratings,250,7.png,neutral,extinction,8
c2ratings,250,14.png,positive,extinction,2
c2ratings,250,5.png,positive,extinction,5
c2ratings,250,18.png,neutral,extinction,2
c2ratings,250,3.png,extinction,negative,0
c2ratings,250,9.png,extinction,positive,0
c2ratings,250,26.png,negative,extinction,0
c2ratings,250,23.png,extinction,positive,6
c2ratings,250,12.png,extinction,neutral,6
c2ratings,250,21.png,neutral,extinction,0
c2ratings,250,17.png,extinction,negative,11
c2ratings,250,4.png,extinction,neutral,0
c2ratings,250,10.png,extinction,negative,0
c2ratings,250,1.png,positive,extinction,0
c1ratings,250,9.png,extinction,positive,0
c1ratings,250,3.png,extinction,negative,10
c1ratings,250,23.png,extinction,positive,9
c1ratings,250,21.png,neutral,extinction,0
c1ratings,250,17.png,extinction,negative,11
c1ratings,250,5.png,positive,extinction,5
c1ratings,250,10.png,extinction,negative,0
c1ratings,250,8.png,negative,extinction,0
c1ratings,250,26.png,negative,extinction,0
c1ratings,250,14.png,positive,extinction,0
c1ratings,250,20.png,negative,extinction,0
c1ratings,250,1.png,positive,extinction,4
c1ratings,250,12.png,extinction,neutral,3
c1ratings,250,11.png,extinction,positive,0
c1ratings,250,7.png,neutral,extinction,6
c1ratings,250,24.png,extinction,neutral,0
c1ratings,250,18.png,neutral,extinction,3
c1ratings,250,4.png,extinction,neutral,0
