21 23.06.2014 15:22:14 1282 722 1 

COORDINATES
341 338 319 805 319 
142 376 158 370 378 
858 411 338 967 388 
472 242 262 492 198 
300 1004 290 292 338 
220 508 154 112 188 
470 889 426 486 866 
198 174 472 214 202 
180 927 255 935 228 
260 188 336 222 304 
467 510 408 1000 398 
468 508 190 290 218 
166 217 300 215 922 
264 312 300 284 430 
396 340 286 572 691 
204 192 234 322 314 
348 914 332 894 335 
228 498 206 476 204 
346 345 596 619 588 
190 226 388 398 362 
268 632 506 278 298 
192 236 236 518 466 
317 864 314 262 839 
252 536 208 186 512 
832 371 440 462 508 
220 232 214 514 518 
402 392 386 966 376 
196 272 322 230 230 
542 523 332 515 356 
548 518 214 500 188 
894 361 646 508 438 
242 188 562 544 202 
602 390 642 304 320 
310 458 262 426 382 
333 122 777 820 800 
136 252 346 330 304 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 
