ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
12	Water4.jpg	1	j	4.684164	labor2	2015-01-20_10.30.29.453000
12	Water1.jpg	1	j	0.988454	labor2	2015-01-20_10.30.29.453000
12	Water7.jpg	1	j	0.900154	labor2	2015-01-20_10.30.29.453000
12	Water3.jpg	1	j	0.747942	labor2	2015-01-20_10.30.29.453000
12	Water5.jpg	1	n	5.465471	labor2	2015-01-20_10.30.29.453000
12	Water6.jpg	1	n	1.972058	labor2	2015-01-20_10.30.29.453000
12	Water2.jpg	1	n	0.642856	labor2	2015-01-20_10.30.29.453000
12	Water8.jpg	1	j	1.518619	labor2	2015-01-20_10.30.29.453000
12	Aero08.jpg	2	n	1.766823	labor2	2015-01-20_10.30.29.453000
12	Aero02.jpg	2	n	0.372185	labor2	2015-01-20_10.30.29.453000
12	Aero05.jpg	2	n	0.331128	labor2	2015-01-20_10.30.29.453000
12	Aero03.jpg	2	n	0.265623	labor2	2015-01-20_10.30.29.453000
12	Aero01.jpg	2	n	0.222833	labor2	2015-01-20_10.30.29.453000
12	Aero07.jpg	2	n	0.275767	labor2	2015-01-20_10.30.29.453000
12	Aero04.jpg	2	n	0.514706	labor2	2015-01-20_10.30.29.453000
12	Aero06.jpg	2	n	0.483151	labor2	2015-01-20_10.30.29.453000
