ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
39	Water1.jpg	1	j	5.696783	labor2	2015-01-22_14.14.47.438000
39	Water5.jpg	1	n	1.852205	labor2	2015-01-22_14.14.47.438000
39	Water6.jpg	1	n	1.703642	labor2	2015-01-22_14.14.47.438000
39	Water7.jpg	1	n	2.127567	labor2	2015-01-22_14.14.47.438000
39	Water3.jpg	1	j	1.668875	labor2	2015-01-22_14.14.47.438000
39	Water8.jpg	1	n	1.898040	labor2	2015-01-22_14.14.47.438000
39	Water4.jpg	1	n	3.172020	labor2	2015-01-22_14.14.47.438000
39	Water2.jpg	1	n	1.329272	labor2	2015-01-22_14.14.47.438000
39	Aero06.jpg	2	n	2.502668	labor2	2015-01-22_14.14.47.438000
39	Aero01.jpg	2	n	1.121300	labor2	2015-01-22_14.14.47.438000
39	Aero07.jpg	2	j	1.630730	labor2	2015-01-22_14.14.47.438000
39	Aero08.jpg	2	n	0.845098	labor2	2015-01-22_14.14.47.438000
39	Aero02.jpg	2	n	0.868739	labor2	2015-01-22_14.14.47.438000
39	Aero04.jpg	2	n	1.045070	labor2	2015-01-22_14.14.47.438000
39	Aero05.jpg	2	n	0.758442	labor2	2015-01-22_14.14.47.438000
39	Aero03.jpg	2	n	1.331020	labor2	2015-01-22_14.14.47.438000
