ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
105	Water6.jpg	1	n	4.683125	labor1	2015-01-29_15.46.47.846000
105	Water3.jpg	1	n	1.000032	labor1	2015-01-29_15.46.47.846000
105	Water8.jpg	1	n	1.148656	labor1	2015-01-29_15.46.47.846000
105	Water7.jpg	1	n	0.735072	labor1	2015-01-29_15.46.47.846000
105	Water5.jpg	1	n	0.800501	labor1	2015-01-29_15.46.47.846000
105	Water4.jpg	1	n	0.737870	labor1	2015-01-29_15.46.47.846000
105	Water1.jpg	1	n	0.924605	labor1	2015-01-29_15.46.47.846000
105	Water2.jpg	1	n	1.027361	labor1	2015-01-29_15.46.47.846000
105	Aero06.jpg	2	n	1.174388	labor1	2015-01-29_15.46.47.846000
105	Aero02.jpg	2	n	1.266380	labor1	2015-01-29_15.46.47.846000
105	Aero05.jpg	2	n	0.767739	labor1	2015-01-29_15.46.47.846000
105	Aero08.jpg	2	n	0.581590	labor1	2015-01-29_15.46.47.846000
105	Aero07.jpg	2	n	0.660979	labor1	2015-01-29_15.46.47.846000
105	Aero03.jpg	2	n	0.620221	labor1	2015-01-29_15.46.47.846000
105	Aero01.jpg	2	n	1.082918	labor1	2015-01-29_15.46.47.846000
105	Aero04.jpg	2	n	0.876974	labor1	2015-01-29_15.46.47.846000
