ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
88	Water2.jpg	1	n	3.203011	labor4	2015-01-29_11.27.47.381000
88	Water5.jpg	1	n	0.800691	labor4	2015-01-29_11.27.47.381000
88	Water8.jpg	1	n	0.908934	labor4	2015-01-29_11.27.47.381000
88	Water7.jpg	1	n	0.563651	labor4	2015-01-29_11.27.47.381000
88	Water3.jpg	1	n	0.824723	labor4	2015-01-29_11.27.47.381000
88	Water6.jpg	1	n	0.709607	labor4	2015-01-29_11.27.47.381000
88	Water4.jpg	1	n	0.533275	labor4	2015-01-29_11.27.47.381000
88	Water1.jpg	1	n	0.817678	labor4	2015-01-29_11.27.47.381000
88	Aero08.jpg	2	n	1.406019	labor4	2015-01-29_11.27.47.381000
88	Aero03.jpg	2	n	0.430882	labor4	2015-01-29_11.27.47.381000
88	Aero07.jpg	2	n	0.467334	labor4	2015-01-29_11.27.47.381000
88	Aero04.jpg	2	n	0.492650	labor4	2015-01-29_11.27.47.381000
88	Aero02.jpg	2	n	0.613281	labor4	2015-01-29_11.27.47.381000
88	Aero01.jpg	2	n	0.501883	labor4	2015-01-29_11.27.47.381000
88	Aero05.jpg	2	n	0.488977	labor4	2015-01-29_11.27.47.381000
88	Aero06.jpg	2	n	0.645263	labor4	2015-01-29_11.27.47.381000
