ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
135	Water6.jpg	1	j	9.966001	labor4	2015-02-05_12.45.42.635000
135	Water5.jpg	1	n	2.202772	labor4	2015-02-05_12.45.42.635000
135	Water8.jpg	1	n	1.465340	labor4	2015-02-05_12.45.42.635000
135	Water4.jpg	1	n	1.581440	labor4	2015-02-05_12.45.42.635000
135	Water7.jpg	1	n	3.788104	labor4	2015-02-05_12.45.42.635000
135	Water3.jpg	1	j	1.032678	labor4	2015-02-05_12.45.42.635000
135	Water2.jpg	1	j	3.802145	labor4	2015-02-05_12.45.42.635000
135	Water1.jpg	1	n	0.914165	labor4	2015-02-05_12.45.42.635000
135	Aero01.jpg	2	n	1.981620	labor4	2015-02-05_12.45.42.635000
135	Aero08.jpg	2	j	2.225252	labor4	2015-02-05_12.45.42.635000
135	Aero07.jpg	2	j	1.581217	labor4	2015-02-05_12.45.42.635000
135	Aero03.jpg	2	n	1.478435	labor4	2015-02-05_12.45.42.635000
135	Aero06.jpg	2	n	1.067086	labor4	2015-02-05_12.45.42.635000
135	Aero04.jpg	2	n	2.305794	labor4	2015-02-05_12.45.42.635000
135	Aero05.jpg	2	n	1.475451	labor4	2015-02-05_12.45.42.635000
135	Aero02.jpg	2	n	1.615142	labor4	2015-02-05_12.45.42.635000
