ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
8	Water4.jpg	1	n	4.068636	labor2	2015-01-19_10.46.33.088000
8	Water5.jpg	1	n	1.466962	labor2	2015-01-19_10.46.33.088000
8	Water1.jpg	1	n	1.026913	labor2	2015-01-19_10.46.33.088000
8	Water7.jpg	1	n	2.025882	labor2	2015-01-19_10.46.33.088000
8	Water2.jpg	1	n	1.737525	labor2	2015-01-19_10.46.33.088000
8	Water3.jpg	1	n	2.575693	labor2	2015-01-19_10.46.33.088000
8	Water8.jpg	1	n	1.606890	labor2	2015-01-19_10.46.33.088000
8	Water6.jpg	1	n	2.228900	labor2	2015-01-19_10.46.33.088000
8	Aero03.jpg	2	n	0.963873	labor2	2015-01-19_10.46.33.088000
8	Aero08.jpg	2	n	0.978161	labor2	2015-01-19_10.46.33.088000
8	Aero04.jpg	2	n	1.100878	labor2	2015-01-19_10.46.33.088000
8	Aero07.jpg	2	n	1.073000	labor2	2015-01-19_10.46.33.088000
8	Aero02.jpg	2	n	0.840011	labor2	2015-01-19_10.46.33.088000
8	Aero06.jpg	2	n	0.801695	labor2	2015-01-19_10.46.33.088000
8	Aero01.jpg	2	n	0.703006	labor2	2015-01-19_10.46.33.088000
8	Aero05.jpg	2	n	0.677443	labor2	2015-01-19_10.46.33.088000
