ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
18	Water1.jpg	1	n	4.369937	labor2	2015-01-20_12.44.21.065000
18	Water3.jpg	1	n	0.567392	labor2	2015-01-20_12.44.21.065000
18	Water7.jpg	1	n	0.601795	labor2	2015-01-20_12.44.21.065000
18	Water8.jpg	1	n	0.708581	labor2	2015-01-20_12.44.21.065000
18	Water4.jpg	1	n	0.817097	labor2	2015-01-20_12.44.21.065000
18	Water5.jpg	1	n	0.600843	labor2	2015-01-20_12.44.21.065000
18	Water6.jpg	1	n	0.949023	labor2	2015-01-20_12.44.21.065000
18	Water2.jpg	1	n	0.963166	labor2	2015-01-20_12.44.21.065000
18	Aero03.jpg	2	n	2.220747	labor2	2015-01-20_12.44.21.065000
18	Aero08.jpg	2	n	0.660462	labor2	2015-01-20_12.44.21.065000
18	Aero01.jpg	2	n	0.606626	labor2	2015-01-20_12.44.21.065000
18	Aero07.jpg	2	n	0.730992	labor2	2015-01-20_12.44.21.065000
18	Aero05.jpg	2	n	0.753897	labor2	2015-01-20_12.44.21.065000
18	Aero06.jpg	2	n	0.876995	labor2	2015-01-20_12.44.21.065000
18	Aero02.jpg	2	n	0.573956	labor2	2015-01-20_12.44.21.065000
18	Aero04.jpg	2	n	1.329509	labor2	2015-01-20_12.44.21.065000
