ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
1	Water2.jpg	1	n	3.433284	labor5	2015-01-15_15.34.18.150000
1	Water7.jpg	1	n	0.616723	labor5	2015-01-15_15.34.18.150000
1	Water4.jpg	1	n	0.504023	labor5	2015-01-15_15.34.18.150000
1	Water1.jpg	1	n	0.250392	labor5	2015-01-15_15.34.18.150000
1	Water8.jpg	1	n	0.275809	labor5	2015-01-15_15.34.18.150000
1	Water3.jpg	1	n	0.261361	labor5	2015-01-15_15.34.18.150000
1	Water5.jpg	1	n	0.367896	labor5	2015-01-15_15.34.18.150000
1	Water6.jpg	1	n	0.316973	labor5	2015-01-15_15.34.18.150000
1	Aero08.jpg	2	n	0.448716	labor5	2015-01-15_15.34.18.150000
1	Aero03.jpg	2	n	0.237142	labor5	2015-01-15_15.34.18.150000
1	Aero02.jpg	2	n	0.274971	labor5	2015-01-15_15.34.18.150000
1	Aero04.jpg	2	n	0.228778	labor5	2015-01-15_15.34.18.150000
1	Aero06.jpg	2	n	0.255902	labor5	2015-01-15_15.34.18.150000
1	Aero05.jpg	2	n	0.297177	labor5	2015-01-15_15.34.18.150000
1	Aero07.jpg	2	n	0.271322	labor5	2015-01-15_15.34.18.150000
1	Aero01.jpg	2	n	0.271136	labor5	2015-01-15_15.34.18.150000
