ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
111	Water2.jpg	1	n	4.531370	labor8	2015-01-30_10.55.24.778000
111	Water7.jpg	1	n	1.138349	labor8	2015-01-30_10.55.24.778000
111	Water3.jpg	1	n	1.256958	labor8	2015-01-30_10.55.24.778000
111	Water8.jpg	1	n	0.870706	labor8	2015-01-30_10.55.24.778000
111	Water5.jpg	1	n	0.822673	labor8	2015-01-30_10.55.24.778000
111	Water6.jpg	1	n	0.666991	labor8	2015-01-30_10.55.24.778000
111	Water4.jpg	1	n	0.645743	labor8	2015-01-30_10.55.24.778000
111	Water1.jpg	1	n	0.718664	labor8	2015-01-30_10.55.24.778000
111	Aero06.jpg	2	n	1.773396	labor8	2015-01-30_10.55.24.778000
111	Aero07.jpg	2	n	0.349523	labor8	2015-01-30_10.55.24.778000
111	Aero04.jpg	2	n	0.252402	labor8	2015-01-30_10.55.24.778000
111	Aero08.jpg	2	n	0.229695	labor8	2015-01-30_10.55.24.778000
111	Aero02.jpg	2	n	0.313987	labor8	2015-01-30_10.55.24.778000
111	Aero05.jpg	2	n	0.391924	labor8	2015-01-30_10.55.24.778000
111	Aero01.jpg	2	n	0.352596	labor8	2015-01-30_10.55.24.778000
111	Aero03.jpg	2	n	0.351144	labor8	2015-01-30_10.55.24.778000
