ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
116	Water7.jpg	1	n	5.109822	labor8	2015-01-30_13.00.30.450000
116	Water6.jpg	1	n	3.549496	labor8	2015-01-30_13.00.30.450000
116	Water2.jpg	1	n	1.126989	labor8	2015-01-30_13.00.30.450000
116	Water1.jpg	1	n	0.884464	labor8	2015-01-30_13.00.30.450000
116	Water5.jpg	1	n	0.905688	labor8	2015-01-30_13.00.30.450000
116	Water3.jpg	1	j	3.190715	labor8	2015-01-30_13.00.30.450000
116	Water4.jpg	1	n	0.881737	labor8	2015-01-30_13.00.30.450000
116	Water8.jpg	1	n	0.989023	labor8	2015-01-30_13.00.30.450000
116	Aero01.jpg	2	n	1.634392	labor8	2015-01-30_13.00.30.450000
116	Aero02.jpg	2	n	0.378809	labor8	2015-01-30_13.00.30.450000
116	Aero04.jpg	2	n	0.416949	labor8	2015-01-30_13.00.30.450000
116	Aero03.jpg	2	n	0.563142	labor8	2015-01-30_13.00.30.450000
116	Aero07.jpg	2	n	0.607911	labor8	2015-01-30_13.00.30.450000
116	Aero06.jpg	2	n	0.483504	labor8	2015-01-30_13.00.30.450000
116	Aero05.jpg	2	n	0.455563	labor8	2015-01-30_13.00.30.450000
116	Aero08.jpg	2	n	0.507559	labor8	2015-01-30_13.00.30.450000
