ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
127	Water7.jpg	1	n	4.651613	labor5	2015-02-03_12.58.58.578000
127	Water8.jpg	1	n	0.854324	labor5	2015-02-03_12.58.58.578000
127	Water4.jpg	1	n	0.618378	labor5	2015-02-03_12.58.58.578000
127	Water1.jpg	1	n	0.799866	labor5	2015-02-03_12.58.58.578000
127	Water3.jpg	1	n	0.571833	labor5	2015-02-03_12.58.58.578000
127	Water2.jpg	1	n	0.689764	labor5	2015-02-03_12.58.58.578000
127	Water5.jpg	1	n	0.652735	labor5	2015-02-03_12.58.58.578000
127	Water6.jpg	1	n	0.610119	labor5	2015-02-03_12.58.58.578000
127	Aero05.jpg	2	n	0.617869	labor5	2015-02-03_12.58.58.578000
127	Aero01.jpg	2	n	0.653790	labor5	2015-02-03_12.58.58.578000
127	Aero08.jpg	2	n	0.238808	labor5	2015-02-03_12.58.58.578000
127	Aero07.jpg	2	n	0.234875	labor5	2015-02-03_12.58.58.578000
127	Aero06.jpg	2	n	0.019681	labor5	2015-02-03_12.58.58.578000
127	Aero04.jpg	2	n	0.233782	labor5	2015-02-03_12.58.58.578000
127	Aero02.jpg	2	n	0.285350	labor5	2015-02-03_12.58.58.578000
127	Aero03.jpg	2	n	0.319445	labor5	2015-02-03_12.58.58.578000
