ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
74	Water6.jpg	1	n	6.737036	labor2	2015-01-28_13.00.00.929000
74	Water3.jpg	1	n	3.765237	labor2	2015-01-28_13.00.00.929000
74	Water4.jpg	1	n	1.129048	labor2	2015-01-28_13.00.00.929000
74	Water1.jpg	1	n	1.055951	labor2	2015-01-28_13.00.00.929000
74	Water2.jpg	1	n	0.632813	labor2	2015-01-28_13.00.00.929000
74	Water5.jpg	1	n	0.649539	labor2	2015-01-28_13.00.00.929000
74	Water7.jpg	1	n	0.564032	labor2	2015-01-28_13.00.00.929000
74	Water8.jpg	1	n	0.727382	labor2	2015-01-28_13.00.00.929000
74	Aero04.jpg	2	n	2.643327	labor2	2015-01-28_13.00.00.929000
74	Aero07.jpg	2	n	1.247472	labor2	2015-01-28_13.00.00.929000
74	Aero01.jpg	2	n	0.744220	labor2	2015-01-28_13.00.00.929000
74	Aero06.jpg	2	n	0.870378	labor2	2015-01-28_13.00.00.929000
74	Aero02.jpg	2	n	0.933685	labor2	2015-01-28_13.00.00.929000
74	Aero08.jpg	2	n	0.635280	labor2	2015-01-28_13.00.00.929000
74	Aero03.jpg	2	n	0.897842	labor2	2015-01-28_13.00.00.929000
74	Aero05.jpg	2	n	0.671740	labor2	2015-01-28_13.00.00.929000
