ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
124	Water4.jpg	1	j	7.089293	labor8	2015-02-02_14.03.46.829000
124	Water5.jpg	1	n	1.680742	labor8	2015-02-02_14.03.46.829000
124	Water1.jpg	1	n	1.223200	labor8	2015-02-02_14.03.46.829000
124	Water2.jpg	1	j	1.202216	labor8	2015-02-02_14.03.46.829000
124	Water7.jpg	1	n	0.948682	labor8	2015-02-02_14.03.46.829000
124	Water8.jpg	1	n	0.780326	labor8	2015-02-02_14.03.46.829000
124	Water3.jpg	1	n	1.682646	labor8	2015-02-02_14.03.46.829000
124	Water6.jpg	1	n	1.232307	labor8	2015-02-02_14.03.46.829000
124	Aero01.jpg	2	n	1.225663	labor8	2015-02-02_14.03.46.829000
124	Aero05.jpg	2	n	1.235269	labor8	2015-02-02_14.03.46.829000
124	Aero03.jpg	2	n	0.302592	labor8	2015-02-02_14.03.46.829000
124	Aero06.jpg	2	n	1.162776	labor8	2015-02-02_14.03.46.829000
124	Aero04.jpg	2	n	0.719997	labor8	2015-02-02_14.03.46.829000
124	Aero02.jpg	2	n	0.702296	labor8	2015-02-02_14.03.46.829000
124	Aero07.jpg	2	j	1.445088	labor8	2015-02-02_14.03.46.829000
124	Aero08.jpg	2	n	1.172241	labor8	2015-02-02_14.03.46.829000
