ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
49	Water1.jpg	1	n	3.770697	labor5	2015-01-26_12.56.21.621000
49	Water5.jpg	1	n	0.739248	labor5	2015-01-26_12.56.21.621000
49	Water4.jpg	1	n	0.410152	labor5	2015-01-26_12.56.21.621000
49	Water6.jpg	1	n	0.331881	labor5	2015-01-26_12.56.21.621000
49	Water7.jpg	1	n	0.309681	labor5	2015-01-26_12.56.21.621000
49	Water2.jpg	1	n	0.456511	labor5	2015-01-26_12.56.21.621000
49	Water8.jpg	1	n	0.355446	labor5	2015-01-26_12.56.21.621000
49	Water3.jpg	1	n	0.325595	labor5	2015-01-26_12.56.21.621000
49	Aero08.jpg	2	n	0.697330	labor5	2015-01-26_12.56.21.621000
49	Aero02.jpg	2	n	0.290510	labor5	2015-01-26_12.56.21.621000
49	Aero05.jpg	2	n	0.147814	labor5	2015-01-26_12.56.21.621000
49	Aero07.jpg	2	n	0.192546	labor5	2015-01-26_12.56.21.621000
49	Aero03.jpg	2	n	0.182268	labor5	2015-01-26_12.56.21.621000
49	Aero06.jpg	2	n	0.211314	labor5	2015-01-26_12.56.21.621000
49	Aero01.jpg	2	n	0.290077	labor5	2015-01-26_12.56.21.621000
49	Aero04.jpg	2	n	0.346846	labor5	2015-01-26_12.56.21.621000
