ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
27	Water7.jpg	1	n	4.012689	labor5	2015-01-21_11.35.11.988000
27	Water2.jpg	1	n	2.260665	labor5	2015-01-21_11.35.11.988000
27	Water3.jpg	1	j	5.074484	labor5	2015-01-21_11.35.11.988000
27	Water6.jpg	1	n	3.540507	labor5	2015-01-21_11.35.11.988000
27	Water4.jpg	1	n	1.786249	labor5	2015-01-21_11.35.11.988000
27	Water1.jpg	1	n	1.269498	labor5	2015-01-21_11.35.11.988000
27	Water8.jpg	1	j	6.102375	labor5	2015-01-21_11.35.11.988000
27	Water5.jpg	1	n	1.527042	labor5	2015-01-21_11.35.11.988000
27	Aero06.jpg	2	n	2.258833	labor5	2015-01-21_11.35.11.988000
27	Aero08.jpg	2	n	0.536270	labor5	2015-01-21_11.35.11.988000
27	Aero02.jpg	2	n	0.630582	labor5	2015-01-21_11.35.11.988000
27	Aero01.jpg	2	n	0.801590	labor5	2015-01-21_11.35.11.988000
27	Aero04.jpg	2	n	0.942232	labor5	2015-01-21_11.35.11.988000
27	Aero07.jpg	2	n	1.887440	labor5	2015-01-21_11.35.11.988000
27	Aero05.jpg	2	n	0.755855	labor5	2015-01-21_11.35.11.988000
27	Aero03.jpg	2	n	1.814318	labor5	2015-01-21_11.35.11.988000
