ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
58	Water4.jpg	1	n	3.431032	labor1	2015-01-27_13.14.30.583000
58	Water3.jpg	1	n	0.647582	labor1	2015-01-27_13.14.30.583000
58	Water1.jpg	1	n	0.519126	labor1	2015-01-27_13.14.30.583000
58	Water7.jpg	1	n	0.432336	labor1	2015-01-27_13.14.30.583000
58	Water5.jpg	1	n	0.364701	labor1	2015-01-27_13.14.30.583000
58	Water6.jpg	1	n	0.321507	labor1	2015-01-27_13.14.30.583000
58	Water8.jpg	1	n	0.397796	labor1	2015-01-27_13.14.30.583000
58	Water2.jpg	1	n	0.596847	labor1	2015-01-27_13.14.30.583000
58	Aero03.jpg	2	n	2.697859	labor1	2015-01-27_13.14.30.583000
58	Aero07.jpg	2	n	0.355263	labor1	2015-01-27_13.14.30.583000
58	Aero01.jpg	2	n	0.470256	labor1	2015-01-27_13.14.30.583000
58	Aero04.jpg	2	n	0.367571	labor1	2015-01-27_13.14.30.583000
58	Aero02.jpg	2	n	0.422652	labor1	2015-01-27_13.14.30.583000
58	Aero08.jpg	2	n	0.257724	labor1	2015-01-27_13.14.30.583000
58	Aero05.jpg	2	n	0.266743	labor1	2015-01-27_13.14.30.583000
58	Aero06.jpg	2	n	0.351707	labor1	2015-01-27_13.14.30.583000
