ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
64	Water3.jpg	1	n	3.504480	labor4	2015-01-28_10.43.19.567000
64	Water6.jpg	1	n	2.092648	labor4	2015-01-28_10.43.19.567000
64	Water8.jpg	1	n	0.878468	labor4	2015-01-28_10.43.19.567000
64	Water7.jpg	1	n	1.426440	labor4	2015-01-28_10.43.19.567000
64	Water5.jpg	1	n	1.010655	labor4	2015-01-28_10.43.19.567000
64	Water4.jpg	1	n	1.278866	labor4	2015-01-28_10.43.19.567000
64	Water2.jpg	1	n	1.283350	labor4	2015-01-28_10.43.19.567000
64	Water1.jpg	1	n	0.746539	labor4	2015-01-28_10.43.19.567000
64	Aero05.jpg	2	n	1.739192	labor4	2015-01-28_10.43.19.567000
64	Aero06.jpg	2	n	0.515664	labor4	2015-01-28_10.43.19.567000
64	Aero08.jpg	2	n	0.634927	labor4	2015-01-28_10.43.19.567000
64	Aero02.jpg	2	n	0.511243	labor4	2015-01-28_10.43.19.567000
64	Aero04.jpg	2	n	0.576095	labor4	2015-01-28_10.43.19.567000
64	Aero03.jpg	2	n	0.560782	labor4	2015-01-28_10.43.19.567000
64	Aero01.jpg	2	n	0.727856	labor4	2015-01-28_10.43.19.567000
64	Aero07.jpg	2	n	0.544331	labor4	2015-01-28_10.43.19.567000
