ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
63	Water5.jpg	1	n	3.265480	labor5	2015-01-28_10.02.28.295000
63	Water2.jpg	1	n	1.103497	labor5	2015-01-28_10.02.28.295000
63	Water7.jpg	1	n	0.696569	labor5	2015-01-28_10.02.28.295000
63	Water1.jpg	1	n	0.751284	labor5	2015-01-28_10.02.28.295000
63	Water6.jpg	1	n	0.704056	labor5	2015-01-28_10.02.28.295000
63	Water4.jpg	1	n	0.520868	labor5	2015-01-28_10.02.28.295000
63	Water8.jpg	1	n	0.630376	labor5	2015-01-28_10.02.28.295000
63	Water3.jpg	1	n	0.582452	labor5	2015-01-28_10.02.28.295000
63	Aero03.jpg	2	n	1.352694	labor5	2015-01-28_10.02.28.295000
63	Aero01.jpg	2	n	0.422193	labor5	2015-01-28_10.02.28.295000
63	Aero02.jpg	2	n	1.957730	labor5	2015-01-28_10.02.28.295000
63	Aero05.jpg	2	n	0.837819	labor5	2015-01-28_10.02.28.295000
63	Aero08.jpg	2	n	0.421668	labor5	2015-01-28_10.02.28.295000
63	Aero06.jpg	2	n	0.972629	labor5	2015-01-28_10.02.28.295000
63	Aero04.jpg	2	n	0.934096	labor5	2015-01-28_10.02.28.295000
63	Aero07.jpg	2	n	0.767582	labor5	2015-01-28_10.02.28.295000
