US	CS	Time	PC_Nummer	PCName	timeStamp
DisIAPS2	Aero08	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS1	Water5	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD5	Aero02	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD5	Aero07	177	3	WJames-PC	2014-12-02_16.17.51.399000
FeaRaFD3	Aero07	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD4	Aero06	177	3	WJames-PC	2014-12-02_16.17.51.399000
FeaRaFD5	Water2	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD5	Aero08	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD2	Aero02	177	3	WJames-PC	2014-12-02_16.17.51.399000
FeaRaFD1	Aero06	177	3	WJames-PC	2014-12-02_16.17.51.399000
MereExpo	Water3	172	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD3	Aero03	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS3	Water6	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS5	Aero07	172	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD3	Aero01	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD4	Aero07	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD3	Water8	173	3	WJames-PC	2014-12-02_16.17.51.399000
FeaRaFD2	Aero01	172	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS1	Water4	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD5	Water7	172	3	WJames-PC	2014-12-02_16.17.51.399000
FeaRaFD2	Aero06	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD1	Water1	172	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD4	Water8	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS2	Water2	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD2	Water7	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD2	Water2	172	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD4	Water4	172	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS3	Water3	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS5	Water3	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS1	Water1	173	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD1	Aero01	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD3	Water4	172	3	WJames-PC	2014-12-02_16.17.51.399000
MereExpo	Water8	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS5	Aero02	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS2	Water7	177	3	WJames-PC	2014-12-02_16.17.51.399000
DisRaFD3	Aero06	177	3	WJames-PC	2014-12-02_16.17.51.399000
FeaRaFD1	Water7	172	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS2	Aero04	172	3	WJames-PC	2014-12-02_16.17.51.399000
DisIAPS5	Water5	173	3	WJames-PC	2014-12-02_16.17.51.399000
FeaRaFD4	Water1	177	3	WJames-PC	2014-12-02_16.17.51.399000
