ParticipantNumber	NumFramesCS	US	CS	AnswerNumber	Correct	PC_Nummer	PCName	timeStamp	
5	177	DisIAPS4.jpg	Water6.jpg	5	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD1.jpg	Aero08.jpg	8	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD5.jpg	Water7.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD3.jpg	Aero06.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD3.jpg	Aero07.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD1.jpg	Aero01.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS5.jpg	Water4.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	177	MereExpo.jpg	Aero03.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD3.jpg	Water5.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD5.jpg	Aero04.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS2.jpg	Water5.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS1.jpg	Aero05.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD3.jpg	Aero01.jpg	5	0	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD2.jpg	Aero02.jpg	4	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS2.jpg	Water6.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD5.jpg	Water3.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS4.jpg	Water8.jpg	8	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD4.jpg	Aero06.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD4.jpg	Water1.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD3.jpg	Aero05.jpg	4	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS1.jpg	Water3.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS1.jpg	Water1.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD4.jpg	Aero01.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS5.jpg	Water6.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD4.jpg	Aero08.jpg	8	1	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD3.jpg	Aero08.jpg	3	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS4.jpg	Aero01.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS4.jpg	Water5.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD1.jpg	Aero02.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD3.jpg	Water7.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS3.jpg	Aero08.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD1.jpg	Water2.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS5.jpg	Aero02.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	172	MereExpo.jpg	Water4.jpg	4	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD2.jpg	Water5.jpg	4	0	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD3.jpg	Aero02.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS5.jpg	Water7.jpg	7	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD1.jpg	Water7.jpg	3	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD2.jpg	Aero04.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD1.jpg	Aero02.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD1.jpg	Water1.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD3.jpg	Water2.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD5.jpg	Aero03.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	171	MereExpo.jpg	Water3.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD5.jpg	Aero06.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD2.jpg	Aero02.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD4.jpg	Water4.jpg	5	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD3.jpg	Aero03.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD1.jpg	Water6.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD2.jpg	Aero05.jpg	5	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD1.jpg	Water6.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD1.jpg	Aero06.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD5.jpg	Aero05.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD5.jpg	Aero06.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD4.jpg	Aero03.jpg	1	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS1.jpg	Aero04.jpg	4	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD5.jpg	Aero08.jpg	8	1	2	labor6	2014-12-04_13.57.16.399000
5	177	MereExpo.jpg	Water8.jpg	8	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS2.jpg	Water3.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD3.jpg	Water8.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD5.jpg	Water5.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD2.jpg	Aero05.jpg	5	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD2.jpg	Aero01.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD1.jpg	Water8.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD2.jpg	Water8.jpg	1	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS2.jpg	Aero06.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS4.jpg	Water4.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD4.jpg	Aero07.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS4.jpg	Water2.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS4.jpg	Water1.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD1.jpg	Water3.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD5.jpg	Water2.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	177	MereExpo.jpg	Aero02.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD2.jpg	Aero03.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	171	MereExpo.jpg	Water1.jpg	4	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD3.jpg	Aero04.jpg	4	1	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD4.jpg	Aero05.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD5.jpg	Water4.jpg	5	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS1.jpg	Aero08.jpg	5	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS2.jpg	Water4.jpg	5	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD5.jpg	Aero07.jpg	7	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS5.jpg	Water8.jpg	1	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD2.jpg	Aero03.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD2.jpg	Aero08.jpg	8	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS3.jpg	Water5.jpg	5	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS1.jpg	Water6.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD5.jpg	Aero08.jpg	8	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS1.jpg	Water5.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD5.jpg	Aero01.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD5.jpg	Water5.jpg	1	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS4.jpg	Aero06.jpg	1	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS3.jpg	Aero05.jpg	5	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD4.jpg	Water4.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	171	MereExpo.jpg	Aero08.jpg	3	0	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD4.jpg	Aero02.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS3.jpg	Water4.jpg	4	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD1.jpg	Aero03.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD5.jpg	Aero03.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD3.jpg	Water8.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD1.jpg	Water4.jpg	4	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD1.jpg	Water5.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD2.jpg	Water1.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD2.jpg	Water7.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD3.jpg	Water6.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD2.jpg	Water6.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD3.jpg	Aero01.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD5.jpg	Aero02.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD4.jpg	Aero04.jpg	4	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS2.jpg	Aero08.jpg	3	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD4.jpg	Aero06.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS2.jpg	Aero05.jpg	5	1	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD2.jpg	Aero07.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS1.jpg	Aero03.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD1.jpg	Aero05.jpg	1	0	2	labor6	2014-12-04_13.57.16.399000
5	177	MereExpo.jpg	Aero01.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS3.jpg	Water8.jpg	5	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD4.jpg	Water8.jpg	4	0	2	labor6	2014-12-04_13.57.16.399000
5	172	MereExpo.jpg	Water7.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD1.jpg	Water8.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD2.jpg	Aero04.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD4.jpg	Water6.jpg	3	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS5.jpg	Water2.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS3.jpg	Aero06.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD2.jpg	Water2.jpg	2	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisIAPS1.jpg	Water4.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD1.jpg	Aero07.jpg	7	1	2	labor6	2014-12-04_13.57.16.399000
5	171	FeaRaFD2.jpg	Water7.jpg	4	0	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD3.jpg	Aero05.jpg	5	1	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS5.jpg	Water3.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD5.jpg	Water8.jpg	5	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS3.jpg	Water1.jpg	2	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS4.jpg	Aero07.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS5.jpg	Water1.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisIAPS5.jpg	Water5.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD3.jpg	Water3.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	172	FeaRaFD3.jpg	Aero04.jpg	8	0	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS1.jpg	Aero06.jpg	6	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD4.jpg	Water5.jpg	5	1	2	labor6	2014-12-04_13.57.16.399000
5	177	DisRaFD5.jpg	Aero05.jpg	5	1	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD1.jpg	Water1.jpg	1	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS2.jpg	Aero07.jpg	6	0	2	labor6	2014-12-04_13.57.16.399000
5	172	DisRaFD3.jpg	Aero02.jpg	3	0	2	labor6	2014-12-04_13.57.16.399000
5	177	FeaRaFD4.jpg	Water3.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisRaFD3.jpg	Water3.jpg	3	1	2	labor6	2014-12-04_13.57.16.399000
5	171	DisIAPS2.jpg	Aero04.jpg	7	0	2	labor6	2014-12-04_13.57.16.399000
