sid,tid,tix,bid,task,prime_identity,prime_color,prime_valence,target_identity,target_color,target_valence,response,response_time,error,target_onset,response_window_start,response_window_end
61,1,1,1,color_matching,munter,blue,positive,jähzornig,brown,negative,nonmatch,23.7972,0,0.0715,0.5333,0.6667
61,2,2,1,color_matching,falsch,blue,negative,lebhaft,blue,positive,nonmatch,2.2941,1,0.0715,0.5333,0.6667
61,3,3,1,color_matching,sensibel,brown,positive,optimal,brown,positive,match,1.2101,0,0.0715,0.5333,0.6667
61,4,4,1,color_matching,begabt,blue,positive,freudig,blue,positive,match,1.06,0,0.0715,0.5333,0.6667
61,5,5,1,color_matching,widerlich,brown,negative,böswillig,brown,negative,match,1.2936,0,0.0715,0.5333,0.6667
61,6,6,1,color_matching,brutal,brown,negative,witzig,blue,positive,nonmatch,1.0421,0,0.0715,0.5333,0.6667
61,7,7,1,color_matching,unehrlich,brown,negative,begabt,brown,positive,match,0.8346,0,0.0715,0.5333,0.6667
61,8,8,1,color_matching,bösartig,blue,negative,verlogen,brown,negative,nonmatch,0.8489,0,0.0715,0.5333,0.6667
61,9,9,1,color_matching,gutherzig,brown,positive,falsch,blue,negative,nonmatch,0.8345,0,0.0715,0.5333,0.6667
61,10,10,1,color_matching,verlogen,brown,negative,gefühllos,blue,negative,nonmatch,0.8585,0,0.0715,0.5333,0.6667
61,11,11,1,color_matching,böswillig,blue,negative,gehässig,blue,negative,match,0.8022,0,0.0715,0.5333,0.6667
61,12,12,1,color_matching,kritisch,blue,positive,sensibel,brown,positive,nonmatch,0.602,0,0.0715,0.5333,0.6667
61,13,13,1,color_matching,gehässig,brown,negative,grausam,blue,negative,nonmatch,0.9075,0,0.0715,0.5333,0.6667
61,14,14,1,color_matching,freudig,blue,positive,wahr,blue,positive,match,0.8346,0,0.0715,0.5333,0.6667
61,15,15,1,color_matching,herzlos,blue,negative,kritisch,brown,positive,nonmatch,0.9142,0,0.0715,0.5333,0.6667
61,16,16,1,color_matching,gebildet,brown,positive,denkfähig,blue,positive,nonmatch,1.5136,0,0.0715,0.5333,0.6667
61,17,17,1,color_matching,autoritär,blue,negative,herzlos,blue,negative,match,0.9429,0,0.0715,0.5333,0.6667
61,18,18,1,color_matching,gefühllos,brown,negative,fleißig,brown,positive,match,0.9599,0,0.0715,0.5333,0.6667
61,19,19,1,color_matching,denkfähig,brown,positive,gutherzig,blue,positive,nonmatch,0.7689,0,0.0715,0.5333,0.6667
61,20,20,1,color_matching,beständig,brown,positive,autoritär,blue,negative,nonmatch,0.8346,0,0.0715,0.5333,0.6667
61,21,21,1,color_matching,jähzornig,brown,negative,weich,blue,positive,nonmatch,0.9142,0,0.0715,0.5333,0.6667
61,22,22,1,color_matching,ungerecht,brown,negative,unehrlich,brown,negative,match,0.839,0,0.0715,0.5333,0.6667
61,23,23,1,color_matching,habgierig,blue,negative,munter,blue,positive,match,0.8708,0,0.0715,0.5333,0.6667
61,24,24,1,color_matching,optimal,blue,positive,ungerecht,brown,negative,nonmatch,0.7354,0,0.0715,0.5333,0.6667
61,25,25,1,color_matching,fleißig,brown,positive,brutal,brown,negative,match,0.8685,0,0.0715,0.5333,0.6667
61,26,26,1,color_matching,lebhaft,blue,positive,widerlich,blue,negative,match,0.9402,0,0.0715,0.5333,0.6667
61,27,27,1,color_matching,boshaft,blue,negative,gebildet,brown,positive,nonmatch,0.9007,0,0.0715,0.5333,0.6667
61,28,28,1,color_matching,wahr,brown,positive,beständig,brown,positive,match,0.8841,0,0.0715,0.5333,0.6667
61,29,29,1,color_matching,grausam,blue,negative,boshaft,brown,negative,nonmatch,0.8713,0,0.0715,0.5333,0.6667
61,30,30,1,color_matching,weich,blue,positive,sicher,brown,positive,nonmatch,0.8586,0,0.0715,0.5333,0.6667
61,31,31,1,color_matching,witzig,brown,positive,habgierig,brown,negative,match,0.7188,0,0.0715,0.5333,0.6667
61,32,32,1,color_matching,sicher,blue,positive,bösartig,blue,negative,match,0.702,0,0.0715,0.5333,0.6667
61,33,1,2,color_matching,gebildet,blue,positive,fleißig,blue,positive,match,2.3988,0,0.0715,0.5333,0.6667
61,34,2,2,color_matching,autoritär,brown,negative,wahr,brown,positive,match,1.2995,0,0.0715,0.5333,0.6667
61,35,3,2,color_matching,jähzornig,brown,negative,gehässig,brown,negative,match,0.987,0,0.0715,0.5333,0.6667
61,36,4,2,color_matching,boshaft,brown,negative,gebildet,brown,positive,match,0.8588,0,0.0715,0.5333,0.6667
61,37,5,2,color_matching,witzig,blue,positive,bösartig,brown,negative,nonmatch,0.8189,0,0.0715,0.5333,0.6667
61,38,6,2,color_matching,fleißig,blue,positive,weich,brown,positive,nonmatch,0.8188,0,0.0715,0.5333,0.6667
61,39,7,2,color_matching,denkfähig,brown,positive,sicher,blue,positive,nonmatch,0.9023,0,0.0715,0.5333,0.6667
61,40,8,2,color_matching,falsch,brown,negative,autoritär,blue,negative,nonmatch,0.8559,0,0.0715,0.5333,0.6667
61,41,9,2,color_matching,verlogen,brown,negative,unehrlich,blue,negative,nonmatch,0.9293,0,0.0715,0.5333,0.6667
61,42,10,2,color_matching,optimal,brown,positive,witzig,blue,positive,nonmatch,0.8412,0,0.0715,0.5333,0.6667
61,43,11,2,color_matching,sicher,brown,positive,verlogen,blue,negative,nonmatch,0.8873,0,0.0715,0.5333,0.6667
61,44,12,2,color_matching,böswillig,blue,negative,ungerecht,brown,negative,nonmatch,0.8997,0,0.0715,0.5333,0.6667
61,45,13,2,color_matching,gutherzig,brown,positive,optimal,brown,positive,match,1.6716,0,0.0715,0.5333,0.6667
61,46,14,2,color_matching,weich,blue,positive,jähzornig,brown,negative,nonmatch,0.8021,0,0.0715,0.5333,0.6667
61,47,15,2,color_matching,wahr,blue,positive,gefühllos,blue,negative,match,0.8345,0,0.0715,0.5333,0.6667
61,48,16,2,color_matching,munter,blue,positive,gutherzig,blue,positive,match,0.752,0,0.0715,0.5333,0.6667
61,49,17,2,color_matching,beständig,blue,positive,denkfähig,brown,positive,nonmatch,0.7857,0,0.0715,0.5333,0.6667
61,50,18,2,color_matching,begabt,brown,positive,grausam,brown,negative,match,0.7522,0,0.0715,0.5333,0.6667
61,51,19,2,color_matching,widerlich,brown,negative,kritisch,blue,positive,nonmatch,0.7187,0,0.0715,0.5333,0.6667
61,52,20,2,color_matching,brutal,brown,negative,widerlich,brown,negative,match,0.6688,0,0.0715,0.5333,0.6667
61,53,21,2,color_matching,bösartig,blue,negative,falsch,blue,negative,match,0.7353,0,0.0715,0.5333,0.6667
61,54,22,2,color_matching,habgierig,blue,negative,böswillig,blue,negative,match,0.7687,0,0.0715,0.5333,0.6667
61,55,23,2,color_matching,gehässig,blue,negative,boshaft,brown,negative,nonmatch,0.7189,0,0.0715,0.5333,0.6667
61,56,24,2,color_matching,herzlos,blue,negative,sensibel,brown,positive,nonmatch,0.7854,0,0.0715,0.5333,0.6667
61,57,25,2,color_matching,lebhaft,blue,positive,brutal,blue,negative,match,0.7187,0,0.0716,0.5333,0.6667
61,58,26,2,color_matching,ungerecht,blue,negative,begabt,brown,positive,nonmatch,1.37,0,0.0715,0.5333,0.6667
61,59,27,2,color_matching,freudig,brown,positive,herzlos,blue,negative,nonmatch,0.8459,0,0.0715,0.5333,0.6667
61,60,28,2,color_matching,sensibel,brown,positive,munter,brown,positive,match,0.752,0,0.0715,0.5333,0.6667
61,61,29,2,color_matching,grausam,blue,negative,lebhaft,blue,positive,match,0.7689,0,0.0715,0.5333,0.6667
61,62,30,2,color_matching,unehrlich,blue,negative,beständig,blue,positive,match,0.8189,0,0.0715,0.5333,0.6667
61,63,31,2,color_matching,kritisch,brown,positive,habgierig,brown,negative,match,0.7188,0,0.0715,0.5333,0.6667
61,64,32,2,color_matching,gefühllos,brown,negative,freudig,blue,positive,nonmatch,0.7355,0,0.0715,0.5333,0.6667
61,65,1,3,color_matching,sicher,brown,positive,kritisch,brown,positive,,,,0.0715,0.5333,0.6667
61,66,2,3,color_matching,freudig,brown,positive,beständig,brown,positive,match,0.7858,0,0.0715,0.5333,0.6667
61,67,3,3,color_matching,bösartig,brown,negative,witzig,blue,positive,,,,0.0715,0.5333,0.6667
61,68,4,3,color_matching,ungerecht,blue,negative,böswillig,blue,negative,,,,0.0715,0.5333,0.6667
61,69,5,3,color_matching,verlogen,blue,negative,gutherzig,brown,positive,nonmatch,0.7522,0,0.0715,0.5333,0.6667
61,70,6,3,color_matching,autoritär,brown,negative,gehässig,blue,negative,nonmatch,0.7023,0,0.0715,0.5333,0.6667
61,71,7,3,color_matching,habgierig,brown,negative,fleißig,brown,positive,match,0.6339,0,0.0715,0.5333,0.6667
61,72,8,3,color_matching,lebhaft,brown,positive,falsch,brown,negative,match,0.7356,0,0.0715,0.5333,0.6667
61,73,9,3,color_matching,widerlich,blue,negative,gebildet,blue,positive,match,0.7024,0,0.0715,0.5333,0.6667
61,74,10,3,color_matching,denkfähig,blue,positive,jähzornig,blue,negative,match,0.7355,0,0.0715,0.5333,0.6667
61,75,11,3,color_matching,kritisch,brown,positive,verlogen,brown,negative,match,0.6858,0,0.0715,0.5333,0.6667
61,76,12,3,color_matching,optimal,brown,positive,brutal,blue,negative,nonmatch,0.6102,0,0.0715,0.5333,0.6667
61,77,13,3,color_matching,weich,brown,positive,habgierig,blue,negative,nonmatch,0.7024,0,0.0715,0.5333,0.6667
61,78,14,3,color_matching,grausam,brown,negative,boshaft,brown,negative,match,0.5105,0,0.0715,0.5333,0.6667
61,79,15,3,color_matching,unehrlich,blue,negative,grausam,brown,negative,nonmatch,0.641,0,0.0715,0.5333,0.6667
61,80,16,3,color_matching,gehässig,blue,negative,freudig,blue,positive,nonmatch,0.6065,1,0.0715,0.5333,0.6667
61,81,17,3,color_matching,beständig,blue,positive,herzlos,brown,negative,nonmatch,0.5467,0,0.0715,0.5333,0.6667
61,82,18,3,color_matching,gutherzig,blue,positive,autoritär,blue,negative,match,0.5978,0,0.0715,0.5333,0.6667
61,83,19,3,color_matching,boshaft,blue,negative,optimal,brown,positive,nonmatch,0.6432,0,0.0715,0.5333,0.6667
61,84,20,3,color_matching,herzlos,brown,negative,sicher,brown,positive,match,0.5873,0,0.0715,0.5333,0.6667
61,85,21,3,color_matching,wahr,blue,positive,munter,brown,positive,nonmatch,0.6059,0,0.0715,0.5333,0.6667
61,86,22,3,color_matching,fleißig,blue,positive,denkfähig,brown,positive,nonmatch,0.6182,0,0.0715,0.5333,0.6667
61,87,23,3,color_matching,gebildet,blue,positive,lebhaft,blue,positive,match,0.6215,0,0.0715,0.5333,0.6667
61,88,24,3,color_matching,sensibel,brown,positive,begabt,blue,positive,nonmatch,0.6223,0,0.0715,0.5333,0.6667
61,89,25,3,color_matching,böswillig,blue,negative,bösartig,blue,negative,match,0.669,0,0.0715,0.5333,0.6667
