sid,tid,tix,bid,task,prime_identity,prime_color,prime_valence,target_identity,target_color,target_valence,response,response_time,error,target_onset,response_window_start,response_window_end
48,1,1,1,color_matching,fleißig,brown,positive,witzig,brown,positive,nonmatch,4.2527,1,0.0715,0.5333,0.6667
48,2,2,1,color_matching,wahr,blue,positive,optimal,brown,positive,nonmatch,1.776,0,0.0715,0.5333,0.6667
48,3,3,1,color_matching,gutherzig,blue,positive,grausam,blue,negative,match,1.2311,0,0.0715,0.5333,0.6667
48,4,4,1,color_matching,widerlich,brown,negative,herzlos,blue,negative,nonmatch,1.3977,0,0.0715,0.5333,0.6667
48,5,5,1,color_matching,munter,blue,positive,freudig,blue,positive,match,0.7524,0,0.0715,0.5333,0.6667
48,6,6,1,color_matching,unehrlich,brown,negative,sensibel,brown,positive,match,1.3767,0,0.0715,0.5333,0.6667
48,7,7,1,color_matching,begabt,brown,positive,kritisch,blue,positive,nonmatch,6.3466,0,0.0715,0.5333,0.6667
48,8,8,1,color_matching,gehässig,brown,negative,gutherzig,blue,positive,nonmatch,0.8535,0,0.0715,0.5333,0.6667
48,9,9,1,color_matching,falsch,blue,negative,ungerecht,blue,negative,match,0.7687,0,0.0715,0.5333,0.6667
48,10,10,1,color_matching,herzlos,brown,negative,bösartig,brown,negative,match,0.4829,0,0.0715,0.5333,0.6667
48,11,11,1,color_matching,autoritär,blue,negative,brutal,brown,negative,nonmatch,0.5521,0,0.0715,0.5333,0.6667
48,12,12,1,color_matching,lebhaft,brown,positive,falsch,blue,negative,nonmatch,0.7187,0,0.0715,0.5333,0.6667
48,13,13,1,color_matching,ungerecht,blue,negative,denkfähig,blue,positive,match,0.7189,0,0.0715,0.5333,0.6667
48,14,14,1,color_matching,grausam,blue,negative,fleißig,blue,positive,match,0.8346,0,0.0715,0.5333,0.6667
48,15,15,1,color_matching,sensibel,blue,positive,gebildet,brown,positive,nonmatch,0.7189,0,0.0715,0.5333,0.6667
48,16,16,1,color_matching,verlogen,blue,negative,wahr,brown,positive,nonmatch,0.4417,0,0.0715,0.5333,0.6667
48,17,17,1,color_matching,beständig,blue,positive,böswillig,brown,negative,nonmatch,0.4415,0,0.0715,0.5333,0.6667
48,18,18,1,color_matching,böswillig,blue,negative,boshaft,blue,negative,match,0.7354,0,0.0715,0.5333,0.6667
48,19,19,1,color_matching,kritisch,blue,positive,unehrlich,blue,negative,match,0.4958,0,0.0715,0.5333,0.6667
48,20,20,1,color_matching,bösartig,brown,negative,widerlich,brown,negative,match,0.6856,0,0.0715,0.5333,0.6667
48,21,21,1,color_matching,weich,brown,positive,jähzornig,brown,negative,match,0.4463,0,0.0715,0.5333,0.6667
48,22,22,1,color_matching,gebildet,brown,positive,habgierig,blue,negative,nonmatch,0.4898,0,0.0715,0.5333,0.6667
48,23,23,1,color_matching,freudig,brown,positive,sicher,blue,positive,nonmatch,0.6522,0,0.0715,0.5333,0.6667
48,24,24,1,color_matching,brutal,brown,negative,weich,brown,positive,match,0.7188,0,0.0715,0.5333,0.6667
48,25,25,1,color_matching,optimal,blue,positive,gefühllos,brown,negative,nonmatch,0.8022,0,0.0715,0.5333,0.6667
48,26,26,1,color_matching,jähzornig,brown,negative,begabt,blue,positive,nonmatch,0.6187,0,0.0715,0.5333,0.6667
48,27,27,1,color_matching,habgierig,blue,negative,munter,brown,positive,nonmatch,0.5523,0,0.0715,0.5333,0.6667
48,28,28,1,color_matching,sicher,blue,positive,lebhaft,blue,positive,match,0.7022,0,0.0715,0.5333,0.6667
48,29,29,1,color_matching,gefühllos,blue,negative,verlogen,brown,negative,nonmatch,0.6023,0,0.0715,0.5333,0.6667
48,30,30,1,color_matching,denkfähig,brown,positive,autoritär,brown,negative,match,0.6688,0,0.0715,0.5333,0.6667
48,31,31,1,color_matching,boshaft,brown,negative,gehässig,blue,negative,nonmatch,0.5688,0,0.0715,0.5333,0.6667
48,32,32,1,color_matching,witzig,brown,positive,beständig,brown,positive,match,0.6523,0,0.0715,0.5333,0.6667
48,33,1,2,color_matching,witzig,brown,positive,boshaft,brown,negative,match,2.2104,0,0.0715,0.5333,0.6667
48,34,2,2,color_matching,denkfähig,blue,positive,verlogen,blue,negative,match,0.7355,0,0.0715,0.5333,0.6667
48,35,3,2,color_matching,begabt,brown,positive,gebildet,blue,positive,nonmatch,0.4991,0,0.0715,0.5333,0.6667
48,36,4,2,color_matching,sensibel,blue,positive,begabt,blue,positive,match,0.6521,0,0.0715,0.5333,0.6667
48,37,5,2,color_matching,optimal,brown,positive,freudig,brown,positive,match,0.5522,0,0.0715,0.5333,0.6667
48,38,6,2,color_matching,ungerecht,blue,negative,witzig,blue,positive,nonmatch,0.9286,1,0.0715,0.5333,0.6667
48,39,7,2,color_matching,sicher,brown,positive,kritisch,blue,positive,nonmatch,0.5116,0,0.0715,0.5333,0.6667
48,40,8,2,color_matching,herzlos,blue,negative,beständig,blue,positive,match,0.7689,0,0.0715,0.5333,0.6667
48,41,9,2,color_matching,autoritär,blue,negative,herzlos,brown,negative,nonmatch,0.6354,0,0.0715,0.5333,0.6667
48,42,10,2,color_matching,unehrlich,brown,negative,jähzornig,blue,negative,nonmatch,0.4872,0,0.0715,0.5333,0.6667
48,43,11,2,color_matching,wahr,brown,positive,falsch,brown,negative,match,0.5305,0,0.0715,0.5333,0.6667
48,44,12,2,color_matching,gehässig,blue,negative,widerlich,brown,negative,nonmatch,0.6355,0,0.0715,0.5333,0.6667
48,45,13,2,color_matching,lebhaft,brown,positive,sicher,brown,positive,match,0.489,0,0.0715,0.5333,0.6667
48,46,14,2,color_matching,boshaft,blue,negative,ungerecht,blue,negative,match,0.8346,0,0.0715,0.5333,0.6667
48,47,15,2,color_matching,weich,brown,positive,gefühllos,blue,negative,match,0.6022,1,0.0715,0.5333,0.6667
48,48,16,2,color_matching,fleißig,brown,positive,grausam,blue,negative,nonmatch,1.0837,0,0.0715,0.5333,0.6667
48,49,17,2,color_matching,widerlich,blue,negative,sensibel,brown,positive,nonmatch,0.5854,0,0.0715,0.5333,0.6667
48,50,18,2,color_matching,brutal,brown,negative,lebhaft,blue,positive,nonmatch,0.5248,0,0.0715,0.5333,0.6667
48,51,19,2,color_matching,falsch,brown,negative,bösartig,blue,negative,nonmatch,0.4535,0,0.0715,0.5333,0.6667
48,52,20,2,color_matching,grausam,brown,negative,fleißig,brown,positive,match,0.702,0,0.0715,0.5333,0.6667
48,53,21,2,color_matching,gefühllos,brown,negative,habgierig,brown,negative,match,0.6355,0,0.0715,0.5333,0.6667
48,54,22,2,color_matching,böswillig,blue,negative,autoritär,blue,negative,match,0.9188,0,0.0715,0.5333,0.6667
48,55,23,2,color_matching,bösartig,brown,negative,optimal,blue,positive,nonmatch,0.6689,0,0.0715,0.5333,0.6667
48,56,24,2,color_matching,freudig,blue,positive,gehässig,brown,negative,nonmatch,1.0614,0,0.0715,0.5333,0.6667
48,57,25,2,color_matching,verlogen,brown,negative,unehrlich,brown,negative,match,0.6021,0,0.0715,0.5333,0.6667
48,58,26,2,color_matching,beständig,blue,positive,munter,brown,positive,nonmatch,0.6354,0,0.0715,0.5333,0.6667
48,59,27,2,color_matching,munter,blue,positive,weich,blue,positive,match,0.6188,0,0.0715,0.5333,0.6667
48,60,28,2,color_matching,gutherzig,blue,positive,wahr,brown,positive,nonmatch,0.5855,0,0.0715,0.5333,0.6667
48,61,29,2,color_matching,kritisch,blue,positive,böswillig,brown,negative,nonmatch,0.5161,0,0.0715,0.5333,0.6667
48,62,30,2,color_matching,habgierig,brown,negative,gutherzig,brown,positive,match,0.6022,0,0.0715,0.5333,0.6667
48,63,31,2,color_matching,gebildet,blue,positive,brutal,blue,negative,nonmatch,0.5521,1,0.0715,0.5333,0.6667
48,64,32,2,color_matching,jähzornig,blue,negative,denkfähig,brown,positive,nonmatch,0.5854,0,0.0715,0.5333,0.6667
48,65,1,3,color_matching,herzlos,brown,negative,lebhaft,blue,positive,,,,0.0715,0.5333,0.6667
48,66,2,3,color_matching,unehrlich,blue,negative,gutherzig,blue,positive,,,,0.0715,0.5333,0.6667
48,67,3,3,color_matching,falsch,blue,negative,habgierig,brown,negative,,,,0.0715,0.5333,0.6667
48,68,4,3,color_matching,weich,brown,positive,fleißig,brown,positive,,,,0.0715,0.5333,0.6667
48,69,5,3,color_matching,optimal,brown,positive,widerlich,brown,negative,,,,0.0715,0.5333,0.6667
48,70,6,3,color_matching,freudig,brown,positive,begabt,brown,positive,,,,0.0715,0.5333,0.6667
48,71,7,3,color_matching,sensibel,blue,positive,denkfähig,brown,positive,nonmatch,0.5563,0,0.0715,0.5333,0.6667
48,72,8,3,color_matching,verlogen,brown,negative,bösartig,blue,negative,nonmatch,0.392,0,0.0715,0.5333,0.6667
48,73,9,3,color_matching,gutherzig,brown,positive,freudig,blue,positive,nonmatch,0.7359,0,0.0715,0.5333,0.6667
48,74,10,3,color_matching,brutal,brown,negative,optimal,brown,positive,nonmatch,0.541,1,0.0715,0.5333,0.6667
48,75,11,3,color_matching,böswillig,brown,negative,munter,brown,positive,match,0.5648,0,0.0715,0.5333,0.6667
48,76,12,3,color_matching,gebildet,brown,positive,falsch,blue,negative,match,0.5104,1,0.0715,0.5333,0.6667
48,77,13,3,color_matching,boshaft,brown,negative,kritisch,blue,positive,nonmatch,0.5348,0,0.0715,0.5333,0.6667
48,78,14,3,color_matching,witzig,blue,positive,gehässig,brown,negative,nonmatch,0.4134,0,0.0715,0.5333,0.6667
48,79,15,3,color_matching,grausam,blue,negative,wahr,blue,positive,nonmatch,0.5139,1,0.0715,0.5333,0.6667
48,80,16,3,color_matching,gefühllos,blue,negative,herzlos,brown,negative,nonmatch,0.533,0,0.0715,0.5333,0.6667
48,81,17,3,color_matching,jähzornig,brown,negative,unehrlich,brown,negative,nonmatch,0.7023,1,0.0715,0.5333,0.6667
48,82,18,3,color_matching,gehässig,brown,negative,verlogen,brown,negative,,,,0.0715,0.5333,0.6667
48,83,19,3,color_matching,ungerecht,blue,negative,gebildet,brown,positive,nonmatch,0.7191,0,0.0715,0.5333,0.6667
48,84,20,3,color_matching,habgierig,blue,negative,beständig,brown,positive,nonmatch,0.7524,0,0.0715,0.5333,0.6667
48,85,21,3,color_matching,begabt,blue,positive,sicher,blue,positive,match,0.7857,0,0.0715,0.5333,0.6667
48,86,22,3,color_matching,sicher,blue,positive,boshaft,brown,negative,nonmatch,0.6168,0,0.0715,0.5333,0.6667
48,87,23,3,color_matching,kritisch,brown,positive,gefühllos,blue,negative,nonmatch,0.8024,0,0.0715,0.5333,0.6667
48,88,24,3,color_matching,bösartig,blue,negative,brutal,blue,negative,nonmatch,0.7022,1,0.0715,0.5333,0.6667
48,89,25,3,color_matching,beständig,blue,positive,autoritär,blue,negative,nonmatch,0.7023,1,0.0715,0.5333,0.6667
48,90,26,3,color_matching,autoritär,blue,negative,böswillig,blue,negative,nonmatch,0.6205,1,0.0715,0.5333,0.6667
48,91,27,3,color_matching,widerlich,brown,negative,ungerecht,blue,negative,,,,0.0715,0.5333,0.6667
48,92,28,3,color_matching,wahr,blue,positive,grausam,blue,negative,match,0.496,0,0.0715,0.5333,0.6667
48,93,29,3,color_matching,fleißig,brown,positive,jähzornig,brown,negative,nonmatch,0.6858,1,0.0715,0.5333,0.6667
48,94,30,3,color_matching,denkfähig,blue,positive,sensibel,brown,positive,nonmatch,0.769,0,0.0715,0.5333,0.6667
48,95,31,3,color_matching,munter,blue,positive,weich,blue,positive,match,0.8024,0,0.0715,0.5333,0.6667
48,96,32,3,color_matching,lebhaft,brown,positive,witzig,blue,positive,nonmatch,0.5624,0,0.0715,0.5333,0.6667
48,97,1,4,color_matching,witzig,brown,positive,falsch,brown,negative,,,,0.0715,0.5,0.6333
48,98,2,4,color_matching,gehässig,blue,negative,ungerecht,brown,negative,,,,0.0715,0.5,0.6333
48,99,3,4,color_matching,herzlos,brown,negative,denkfähig,brown,positive,,,,0.0715,0.5,0.6333
48,100,4,4,color_matching,gutherzig,blue,positive,autoritär,blue,negative,,,,0.0715,0.5,0.6333
48,101,5,4,color_matching,autoritär,brown,negative,herzlos,blue,negative,,,,0.0715,0.5,0.6333
48,102,6,4,color_matching,bösartig,brown,negative,verlogen,brown,negative,,,,0.0715,0.5,0.6333
48,103,7,4,color_matching,optimal,blue,positive,unehrlich,brown,negative,nonmatch,0.364,0,0.0715,0.5,0.6333
48,104,8,4,color_matching,sensibel,brown,positive,jähzornig,blue,negative,nonmatch,0.7024,0,0.0715,0.5,0.6333
48,105,9,4,color_matching,freudig,brown,positive,kritisch,blue,positive,nonmatch,0.669,0,0.0715,0.5,0.6333
48,106,10,4,color_matching,munter,blue,positive,freudig,blue,positive,match,0.7524,0,0.0715,0.5,0.6333
48,107,11,4,color_matching,fleißig,blue,positive,böswillig,brown,negative,nonmatch,0.4826,0,0.0715,0.5,0.6333
48,108,12,4,color_matching,gefühllos,brown,negative,gebildet,blue,positive,nonmatch,0.7025,0,0.0715,0.5,0.6333
48,109,13,4,color_matching,wahr,blue,positive,fleißig,brown,positive,nonmatch,0.5945,0,0.0715,0.5,0.6333
48,110,14,4,color_matching,jähzornig,blue,negative,optimal,blue,positive,nonmatch,0.6524,1,0.0715,0.5,0.6333
48,111,15,4,color_matching,grausam,brown,negative,brutal,blue,negative,nonmatch,0.6691,0,0.0715,0.5,0.6333
