ParticipantNumber	NumFramesCS	US	CS	AnswerNumber	Correct	PC_Nummer	PCName	timeStamp	
54	171	DisIAPS5.jpg	Water6.jpg	2	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	172	FeaRaFD3.jpg	Aero08.jpg	8	1	1	WJames-PC	2014-11-27_13.42.58.761000
54	171	DisIAPS3.jpg	Water2.jpg	5	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	171	FeaRaFD4.jpg	Aero05.jpg	4	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	177	DisIAPS5.jpg	Aero06.jpg	3	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	172	FeaRaFD2.jpg	Aero07.jpg	6	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	172	DisIAPS2.jpg	Water6.jpg	4	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	171	MereExpo.jpg	Water5.jpg	3	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	171	MereExpo.jpg	Water7.jpg	3	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	177	MereExpo.jpg	Aero07.jpg	7	1	1	WJames-PC	2014-11-27_13.42.58.761000
54	172	FeaRaFD3.jpg	Water2.jpg	8	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	172	MereExpo.jpg	Water8.jpg	1	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	177	DisRaFD5.jpg	Water4.jpg	6	0	1	WJames-PC	2014-11-27_13.42.58.761000
54	177	DisIAPS1.jpg	Water8.jpg	8	1	1	WJames-PC	2014-11-27_13.42.58.761000
