Sequenz
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position" "Shape" 
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   2   2
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   6   2
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   5   2
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   3   2
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   4   2
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   1   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   1   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   1   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   1   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   1   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   1   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   2   2   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   2   2   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   2   2   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   2   2   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   2   2   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   2   2   0
---
Lernphase
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   1   1   6 856   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   2   1   2 998   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   3   1   5 969   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   4   1   1 915   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   5   1   3 1262   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   6   1   6 836   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   7   1   1 828   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   8   1   3 985   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1   9   1   4 883   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  10   1   2 831   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  11   1   4 848   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  12   1   5 1013   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  13   1   1 868   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  14   1   3 1076   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  15   1   2 899   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  16   1   4 1099   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  17   1   5 839   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  18   1   1 796   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  19   1   4 1122   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  20   1   5 823   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  21   1   1 912   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  22   1   3 878   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  23   1   6 818   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  24   1   4 985   5   0
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  25   1   1 3077   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  26   1   4 1042   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  27   1   5 877   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  28   1   1 839   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  29   1   3 931   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  30   1   2 920   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  31   1   5 1016   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  32   1   4 1010   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  33   1   5 1054   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  34   1   1 842   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  35   1   3 1021   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  36   1   6 1582   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  37   1   1 923   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  38   1   3 1097   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  39   1   6 931   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  40   1   2 921   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  41   1   3 958   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  42   1   6 955   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  43   1   2 920   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  44   1   3 911   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  45   1   6 850   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  46   1   1 840   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  47   1   3 849   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  48   1   6 832   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  49   1   1 858   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  50   1   4 941   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  51   1   5 831   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  52   1   4 943   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  53   1   1 766   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  54   1   3 938   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  55   1   2 865   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  56   1   4 840   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  57   1   5 820   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  58   1   1 916   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  59   1   3 1117   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  60   1   6 908   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  61   1   2 860   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  62   1   4 850   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  63   1   5 834   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  64   1   1 833   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  65   1   3 859   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  66   1   1 824   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  67   1   6 792   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  68   1   2 798   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  69   1   6 811   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  70   1   5 902   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  71   1   1 780   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  72   1   3 780   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  73   1   5 879   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  74   1   3 1070   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  75   1   6 887   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  76   1   2 2479   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  77   1   4 1277   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  78   1   5 846   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  79   1   1 1134   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  80   1   3 953   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  81   1   6 893   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  82   1   2 872   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  83   1   3 925   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  84   1   6 821   6   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  85   1   2 902   2   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  86   1   4 872   4   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  87   1   5 876   5   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  88   1   1 849   1   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  89   1   3 852   3   1
Pudel8   9   2   1   1  51   1   1   1   1 PSYCHOLOGIEB   1  90   1   4 802   4   1
