ParticipantNumber	NumFramesCS	US	CS	AnswerNumber	Correct
1	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
1	171	DisRaFD4.jpg	Water8.jpg	3	0
1	171	DisRaFD3.jpg	Water8.jpg	6	0
1	177	USMotivation.jpg	WaterMotivation.jpg	1	0
1	171	DisIAPS5.jpg	Water3.jpg	5	0
1	171	FeaRaFD4.jpg	Aero06.jpg	6	1
1	260	FeaRaFD5.jpg	Water6.jpg	6	1
1	260	FeaRaFD4.jpg	Water6.jpg	6	1
1	260	FeaRaFD5.jpg	Aero02.jpg	2	1
1	260	DisRaFD1.jpg	Water2.jpg	2	1
1	260	DisIAPS5.jpg	Water5.jpg	5	1
1	171	DisIAPS1.jpg	Aero05.jpg	1	0
1	171	FeaRaFD3.jpg	Aero06.jpg	5	0
1	171	MereExpo.jpg	Aero07.jpg	2	0
1	260	FeaRaFD4.jpg	Aero02.jpg	2	1
1	260	FeaRaFD1.jpg	Water6.jpg	6	1
1	260	DisIAPS2.jpg	Water5.jpg	5	1
1	171	MereExpo.jpg	Aero07.jpg	7	1
1	260	DisIAPS3.jpg	Water5.jpg	5	1
1	171	DisRaFD1.jpg	Aero08.jpg	6	0
1	260	DisRaFD2.jpg	Aero01.jpg	1	1
1	171	DisRaFD5.jpg	Water8.jpg	3	0
1	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
1	171	MereExpo.jpg	Aero07.jpg	7	1
1	177	USMotivation.jpg	WaterMotivation.jpg	99	1
1	260	DisIAPS1.jpg	Aero04.jpg	4	1
1	260	MereExpo.jpg	Aero03.jpg	3	1
1	171	MereExpo.jpg	Aero07.jpg	4	0
1	260	MereExpo.jpg	Water1.jpg	1	1
1	260	DisRaFD3.jpg	Aero01.jpg	1	1
1	260	MereExpo.jpg	Water1.jpg	1	1
1	260	DisRaFD5.jpg	Aero01.jpg	1	1
1	171	MereExpo.jpg	Aero07.jpg	7	1
1	171	MereExpo.jpg	Water7.jpg	5	0
1	260	DisRaFD1.jpg	Aero01.jpg	1	1
1	260	FeaRaFD2.jpg	Aero02.jpg	2	1
1	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
1	171	FeaRaFD5.jpg	Water4.jpg	7	0
1	260	MereExpo.jpg	Aero03.jpg	3	1
1	171	FeaRaFD5.jpg	Aero06.jpg	5	0
1	171	MereExpo.jpg	Water7.jpg	5	0
1	171	FeaRaFD3.jpg	Water4.jpg	2	0
1	260	DisIAPS4.jpg	Aero04.jpg	4	1
1	260	MereExpo.jpg	Aero03.jpg	3	1
1	260	MereExpo.jpg	Aero03.jpg	3	1
1	260	DisRaFD2.jpg	Water2.jpg	2	1
1	171	MereExpo.jpg	Water7.jpg	3	0
1	171	FeaRaFD1.jpg	Water4.jpg	3	0
1	260	FeaRaFD2.jpg	Water6.jpg	6	1
1	177	USMotivation.jpg	WaterMotivation.jpg	99	1
1	260	DisIAPS4.jpg	Water5.jpg	5	1
1	171	DisIAPS2.jpg	Aero05.jpg	6	0
1	260	DisIAPS1.jpg	Water5.jpg	5	1
1	260	DisIAPS5.jpg	Aero04.jpg	4	1
1	177	USMotivation.jpg	WaterMotivation.jpg	99	1
1	171	DisIAPS3.jpg	Aero05.jpg	4	0
1	171	DisIAPS2.jpg	Water3.jpg	6	0
1	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
1	171	DisIAPS4.jpg	Water3.jpg	1	0
1	260	DisRaFD4.jpg	Water2.jpg	2	1
1	260	MereExpo.jpg	Aero03.jpg	3	1
1	260	DisIAPS2.jpg	Aero04.jpg	4	1
1	171	MereExpo.jpg	Water7.jpg	6	0
1	171	FeaRaFD2.jpg	Aero06.jpg	4	0
1	260	DisRaFD3.jpg	Water2.jpg	2	1
1	171	DisRaFD1.jpg	Water8.jpg	8	1
1	171	DisRaFD5.jpg	Aero08.jpg	5	0
1	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
1	171	FeaRaFD2.jpg	Water4.jpg	7	0
1	171	FeaRaFD1.jpg	Aero06.jpg	7	0
1	260	FeaRaFD3.jpg	Aero02.jpg	2	1
1	171	DisRaFD2.jpg	Water8.jpg	5	0
1	260	MereExpo.jpg	Water1.jpg	1	1
1	171	DisIAPS3.jpg	Water3.jpg	3	1
1	171	DisIAPS4.jpg	Aero05.jpg	8	0
1	260	MereExpo.jpg	Water1.jpg	1	1
1	260	MereExpo.jpg	Water1.jpg	1	1
1	177	USMotivation.jpg	WaterMotivation.jpg	99	1
1	171	DisRaFD3.jpg	Aero08.jpg	5	0
1	260	DisRaFD4.jpg	Aero01.jpg	1	1
1	171	DisIAPS5.jpg	Aero05.jpg	4	0
1	260	DisIAPS3.jpg	Aero04.jpg	4	1
1	171	DisIAPS1.jpg	Water3.jpg	8	0
1	171	DisRaFD4.jpg	Aero08.jpg	2	0
1	260	DisRaFD5.jpg	Water2.jpg	2	1
1	171	FeaRaFD4.jpg	Water4.jpg	6	0
1	171	DisRaFD2.jpg	Aero08.jpg	1	0
1	171	MereExpo.jpg	Water7.jpg	8	0
1	260	FeaRaFD3.jpg	Water6.jpg	6	1
1	260	FeaRaFD1.jpg	Aero02.jpg	2	1
