ParticipantNumber	NumFramesCS	US	CS	AnswerNumber	Correct	PCName	timeStamp	
2	171	MereExpo.jpg	Aero04.jpg	7	0	labor1	2014-12-18_14.58.06.052000
2	230	MereExpo.jpg	Water8.jpg	8	1	labor1	2014-12-18_14.58.06.052000
2	171	MereExpo.jpg	Aero04.jpg	7	0	labor1	2014-12-18_14.58.06.052000
2	171	DisIAPS4.jpg	Aero07.jpg	3	0	labor1	2014-12-18_14.58.06.052000
2	171	DisRaFD1.jpg	Water5.jpg	2	0	labor1	2014-12-18_14.58.06.052000
2	171	DisRaFD2.jpg	Water5.jpg	1	0	labor1	2014-12-18_14.58.06.052000
2	230	DisRaFD3.jpg	Aero01.jpg	1	1	labor1	2014-12-18_14.58.06.052000
2	230	MereExpo.jpg	Water8.jpg	8	1	labor1	2014-12-18_14.58.06.052000
2	175	USMotivation.jpg	WaterMotivation.jpg	6	0	labor1	2014-12-18_14.58.06.052000
2	171	DisIAPS1.jpg	Water6.jpg	8	0	labor1	2014-12-18_14.58.06.052000
2	171	DisIAPS5.jpg	Aero07.jpg	3	0	labor1	2014-12-18_14.58.06.052000
2	171	DisIAPS2.jpg	Aero07.jpg	5	0	labor1	2014-12-18_14.58.06.052000
2	230	FeaRaFD5.jpg	Aero05.jpg	5	1	labor1	2014-12-18_14.58.06.052000
2	171	MereExpo.jpg	Water4.jpg	2	0	labor1	2014-12-18_14.58.06.052000
2	171	MereExpo.jpg	Aero04.jpg	3	0	labor1	2014-12-18_14.58.06.052000
2	171	MereExpo.jpg	Aero04.jpg	6	0	labor1	2014-12-18_14.58.06.052000
2	230	MereExpo.jpg	Water8.jpg	8	1	labor1	2014-12-18_14.58.06.052000
2	175	US2Motivation.jpg	Aero0Motivation.jpg	3	0	labor1	2014-12-18_14.58.06.052000
2	230	DisIAPS3.jpg	Water2.jpg	2	1	labor1	2014-12-18_14.58.06.052000
2	171	MereExpo.jpg	Aero04.jpg	4	1	labor1	2014-12-18_14.58.06.052000
2	171	FeaRaFD4.jpg	Aero06.jpg	3	0	labor1	2014-12-18_14.58.06.052000
2	171	DisRaFD5.jpg	Aero03.jpg	2	0	labor1	2014-12-18_14.58.06.052000
2	171	DisRaFD4.jpg	Aero03.jpg	5	0	labor1	2014-12-18_14.58.06.052000
2	171	FeaRaFD5.jpg	Aero06.jpg	7	0	labor1	2014-12-18_14.58.06.052000
2	175	US2Motivation.jpg	Aero0Motivation.jpg	99	1	labor1	2014-12-18_14.58.06.052000
2	230	DisIAPS4.jpg	Water2.jpg	2	1	labor1	2014-12-18_14.58.06.052000
2	171	FeaRaFD2.jpg	Aero06.jpg	2	0	labor1	2014-12-18_14.58.06.052000
2	171	DisIAPS4.jpg	Water6.jpg	4	0	labor1	2014-12-18_14.58.06.052000
2	175	US2Motivation.jpg	Aero0Motivation.jpg	3	0	labor1	2014-12-18_14.58.06.052000
2	171	FeaRaFD3.jpg	Water1.jpg	2	0	labor1	2014-12-18_14.58.06.052000
2	230	FeaRaFD4.jpg	Aero05.jpg	5	1	labor1	2014-12-18_14.58.06.052000
2	171	FeaRaFD2.jpg	Water1.jpg	5	0	labor1	2014-12-18_14.58.06.052000
2	171	MereExpo.jpg	Water4.jpg	3	0	labor1	2014-12-18_14.58.06.052000
2	230	DisRaFD5.jpg	Water3.jpg	3	1	labor1	2014-12-18_14.58.06.052000
2	175	US2Motivation.jpg	Aero0Motivation.jpg	99	1	labor1	2014-12-18_14.58.06.052000
2	171	DisIAPS3.jpg	Water6.jpg	7	0	labor1	2014-12-18_14.58.06.052000
2	230	DisIAPS3.jpg	Aero02.jpg	3	0	labor1	2014-12-18_14.58.06.052000
2	230	MereExpo.jpg	Water8.jpg	8	1	labor1	2014-12-18_14.58.06.052000
2	230	FeaRaFD3.jpg	Aero05.jpg	5	1	labor1	2014-12-18_14.58.06.052000
2	171	DisRaFD2.jpg	Aero03.jpg	1	0	labor1	2014-12-18_14.58.06.052000
2	230	MereExpo.jpg	Aero08.jpg	8	1	labor1	2014-12-18_14.58.06.052000
2	230	DisRaFD1.jpg	Aero01.jpg	1	1	labor1	2014-12-18_14.58.06.052000
2	171	DisRaFD3.jpg	Aero03.jpg	7	0	labor1	2014-12-18_14.58.06.052000
