subjnr;adaptation_target;us_valence;eval_rating;cs_filename
5;pas_2;negative;15;K   L   E   H
5;pas_5;negative;4;P   S   A   V
5;pas_2;negative;12;K   E   L   M
5;pas_2;positive;11;G   U   N   T
5;pas_2;negative;9;L   E   M   K
5;pas_2;negative;12;K   E   H   M
5;pas_5;positive;10;J   O   B   F
5;pas_5;positive;7;F   R   O   B
5;pas_2;negative;5;M   E   H   K
5;pas_5;negative;15;W   A   P   S
5;pas_2;negative;9;H   E   M   K
5;pas_5;negative;7;V   A   P   S
5;pas_5;negative;2;S   V   A   W
5;pas_2;positive;7;G   N   U   Z
5;pas_2;positive;9;Z   U   N   T
5;pas_2;positive;10;T   U   N   G
5;pas_2;negative;11;K   L   E   M
5;pas_2;positive;1;N   U   G   Z
5;pas_5;positive;5;J   O   R   B
5;pas_2;positive;7;G   U   T   Z
5;pas_5;negative;8;V   A   S   P
5;pas_5;negative;11;S   P   A   V
5;pas_5;positive;11;F   O   R   B
5;pas_5;positive;7;R   O   B   F
5;pas_2;negative;7;H   E   L   K
5;pas_5;positive;10;J   O   R   F
5;pas_5;negative;13;S   W   A   P
5;pas_2;positive;13;Z   U   N   G
5;pas_5;negative;11;S   A   P   V
5;pas_5;positive;9;B   O   R   F
5;pas_2;positive;2;T   U   G   Z
5;pas_5;positive;5;B   J   O   F
