material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
brady;orifan_14.bmp;40;0;10;4;0;0;0;0;0;0;repeated_related;lure
brady;leatherman_10.bmp;38;0;4;1;0;0;0;0;0;0;repeated;lure
brady;cellphone_12.bmp;13;2;6;4;34;34;0;0;34;34;center;target
brady;rusdoll_1.bmp;50;3;7;4;24;43;43;0;36,666667;43;repeated_related;target
brady;printer_3.bmp;45;0;3;3;0;0;0;0;0;0;related;lure
brady;guitar_14.bmp;28;3;8;4;18;18;35;0;23,666667;35;repeated_related;target
brady;watch_8.bmp;69;0;4;2;0;0;0;0;0;0;center;lure
brady;powerstrip_14.bmp;44;0;3;2;0;0;0;0;0;0;center;lure
brady;parfait_13.bmp;41;4;3;3;16;16;62;62;39;62;repeated;target
brady;trophy_14.bmp;62;0;2;2;0;0;0;0;0;0;control;lure
brady;sofa_9.bmp;59;3;0;0;1;1;38;0;13,333333;38;repeated;target
brady;scooter_10.bmp;53;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;glasses_15.bmp;25;3;6;3;6;63;63;0;44;63;center;target
brady;lawnmower_3.bmp;37;1;11;4;31;0;0;0;31;31;related;target
brady;trumpet_17.bmp;63;0;3;1;0;0;0;0;0;0;control;lure
brady;tricycle_8.bmp;61;3;9;4;23;23;57;0;34,333333;57;repeated_related;target
brady;iceskates_14.bmp;34;0;4;3;0;0;0;0;0;0;related;lure
brady;sink_1.bmp;56;1;9;4;3;0;0;0;3;3;related;target
brady;doorknocker_5.bmp;20;2;6;4;9;40;0;0;24,5;40;center;target
brady;beanbagchair_3.bmp;5;0;8;4;0;0;0;0;0;0;repeated_related;lure
brady;chair_2.bmp;14;1;1;1;45;0;0;0;45;45;control;target
brady;skateboard_14.bmp;57;0;5;2;0;0;0;0;0;0;repeated;lure
brady;cherubstatue_11.bmp;16;0;2;2;0;0;0;0;0;0;control;lure
brady;carriage_12.bmp;11;1;1;1;44;0;0;0;44;44;control;target
brady;watergun_7.bmp;70;0;4;2;0;0;0;0;0;0;center;lure
brady;wig_9.bmp;71;1;9;4;2;0;0;0;2;2;related;target
brady;cheesegrater_14.bmp;15;1;1;1;20;0;0;0;20;20;control;target
brady;shoe_15.bmp;54;0;5;1;0;0;0;0;0;0;repeated;lure
brady;coffee_2.bmp;18;3;1;1;32;46;46;0;41,333333;46;repeated;target
brady;birdhouse_14.bmp;6;0;3;2;0;0;0;0;0;0;related;lure
