material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
migo;Cake16.bmp;8;0;2;1;0;0;0;0;0;0;control;lure
migo;Mushroom14.bmp;30;0;6;2;0;0;0;0;0;0;repeated;lure
migo;Scissors11.bmp;38;3;6;3;5;26;26;0;19;26;repeated_related;target
migo;Bracelet2.bmp;4;1;2;1;11;0;0;0;11;11;control;target
migo;Umbrella6.bmp;49;0;3;2;0;0;0;0;0;0;center;lure
migo;Star19.bmp;42;0;3;3;0;0;0;0;0;0;related;lure
migo;Plug8.bmp;36;0;8;4;0;0;0;0;0;0;repeated_related;lure
migo;Leaf13.bmp;27;0;5;2;0;0;0;0;0;0;repeated;lure
migo;Feather11.bmp;15;0;3;2;0;0;0;0;0;0;related;lure
migo;Daff3.bmp;14;3;3;3;1;33;33;0;22,333333;33;repeated;target
migo;Coins10.bmp;13;3;8;4;18;24;24;0;22;24;repeated_related;target
migo;Ginger10.bmp;19;1;9;4;27;0;0;0;27;27;related;target
migo;Pen17.bmp;35;2;4;3;44;44;0;0;44;44;center;target
migo;Chocolate17.bmp;12;0;3;2;0;0;0;0;0;0;control;lure
migo;Onion14.bmp;32;1;1;1;23;0;0;0;23;23;control;target
migo;Apple24.bmp;1;0;7;4;0;0;0;0;0;0;repeated_related;lure
migo;Toothbrush10.bmp;48;0;3;2;0;0;0;0;0;0;center;lure
migo;Pear16.bmp;34;1;5;4;35;0;0;0;35;35;center;target
migo;Bag25.bmp;2;4;3;3;2;2;25;25;13,5;25;repeated;target
migo;Fork17.bmp;17;1;9;4;38;0;0;0;38;38;related;target
