experiment	subject	trial	order	material	repeated	related	probetype	response	correct	rt	confidence	confidence_rt	probe	category	ndisplayed	nrelated	nrelated_unique	trial1	trial2	trial3	trial4	mean_trial	last_trial	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	128	-1	2	words	2	2	target	1	1	2119	4	2623	jungfrau	39	3	9	4	6	6	52	0	21,000000	52	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	1	lure	1	0	567	2	1924	dollar	47	0	3	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	3	3	lure	2	1	1402	1	1254	lila	49	0	4	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	2	lure	2	1	596	3	1640	hering	12	0	9	4	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	2	lure	1	0	732	3	1868	mumps	22	0	4	3	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	3	3	target	2	0	596	1	1313	erdbeere	3	3	4	3	9	60	60	0	43,000000	60	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	1	target	2	0	445	1	1015	koriander	25	1	2	1	32	0	0	0	32,000000	32	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	1	lure	2	1	819	1	1055	monopoly	57	0	5	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	1	target	2	0	467	2	2495	zeichnen	26	3	3	3	24	54	54	0	44,000000	54	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	3	3	lure	2	1	358	2	1004	drucker	33	0	4	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	2	target	1	1	510	2	1116	fähre	35	1	9	4	47	0	0	0	47,000000	47	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	3	3	target	2	0	434	1	1329	buche	10	2	6	3	19	40	0	0	29,000000	40	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	1	target	1	1	525	1	1003	mücke	13	1	1	1	33	0	0	0	33,000000	33	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	3	3	target	2	0	1521	1	1230	zange	4	2	6	4	28	53	0	0	40,000000	53	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	1	lure	1	0	684	1	879	spinat	2	0	2	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	1	target	2	0	789	1	880	rock	5	3	0	0	21	55	55	0	43,000000	55	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	1	lure	1	0	585	1	1162	brieföffner	32	0	5	1	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	2	lure	2	1	1024	1	1527	berlin	16	0	4	3	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	2	target	1	1	803	2	1134	haschisch	54	1	9	4	64	0	0	0	64,000000	64	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	2	lure	2	1	678	1	1157	eisen	15	0	4	3	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	1	lure	1	0	434	1	801	wasserstoff	48	0	3	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	2	lure	2	1	535	1	1152	tulpe	7	0	10	4	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	2	target	1	1	692	1	3588	gabel	21	1	9	4	14	0	0	0	14,000000	14	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	1	1	target	2	0	756	1	2230	schwalbe	9	1	1	1	63	0	0	0	63,000000	63	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	2	target	1	1	1041	1	1299	fuß	1	3	7	4	5	51	51	0	35,000000	51	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	1	target	2	0	581	1	1043	kanne	31	3	1	1	28	28	43	0	33,000000	43	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	2	target	1	1	362	1	1499	kaiser	53	3	8	4	26	26	43	0	31,000000	43	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	2	lure	2	1	564	1	928	nordamerika	38	0	9	4	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	3	3	lure	1	0	365	1	966	rumba	62	0	3	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	words	2	1	lure	2	1	485	1	1355	thüringen	41	0	5	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	2	lure	1	0	1462	1	821	trophy_4.bmp	62	0	8	4	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	2	target	2	0	548	1	914	ring_11.bmp	47	1	11	4	34	0	0	0	34,000000	34	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	1	target	1	1	429	1	1068	hairdryer_14.bmp	30	1	1	1	6	0	0	0	6,000000	6	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	1	target	2	0	439	1	957	powerstrip_13.bmp	44	3	0	0	23	23	40	0	28,000000	40	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	1	lure	1	0	528	1	888	cellphone_11.bmp	13	0	4	1	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	3	3	lure	2	1	613	1	811	sink_15.bmp	56	0	4	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	3	3	lure	1	0	397	1	984	tricycle_15.bmp	61	0	3	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	1	target	2	0	507	1	1099	remote_3.bmp	46	1	1	1	60	0	0	0	60,000000	60	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	1	target	1	1	341	1	1421	shoe_13.bmp	54	1	1	1	33	0	0	0	33,000000	33	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	3	3	target	2	0	465	1	1256	orifan_7.bmp	40	2	6	4	62	62	0	0	62,000000	62	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	2	lure	1	0	369	1	852	cat_10.bmp	12	0	4	3	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	2	lure	2	1	437	1	923	carriage_12.bmp	11	0	7	4	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	1	target	1	1	392	1	774	bowlingpin_13.bmp	7	3	3	3	20	63	63	0	48,000000	63	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	2	target	2	0	448	1	822	printer_1.bmp	45	1	11	4	61	0	0	0	61,000000	61	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	1	lure	1	0	684	1	1322	tv_16.bmp	66	0	5	1	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	1	lure	2	1	433	1	655	speaker_15.bmp	60	0	6	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	3	3	target	1	1	481	1	1015	sofa_3.bmp	59	2	6	4	25	25	0	0	25,000000	25	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	1	lure	2	1	474	1	1046	guitar_14.bmp	28	0	2	1	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	2	lure	1	0	482	1	921	easteregg_14.bmp	21	0	4	3	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	2	lure	2	1	466	1	985	carabiner_5.bmp	10	0	3	3	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	2	target	1	1	424	1	1403	cherubstatue_11.bmp	16	1	9	4	9	0	0	0	9,000000	9	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	3	3	lure	2	1	288	1	1002	goggle_3.bmp	27	0	4	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	1	1	lure	1	0	1627	1	1298	abacus_2.bmp	1	0	2	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	2	target	2	0	270	1	1045	camera_7.bmp	9	3	7	4	10	10	37	0	19,000000	37	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	1	target	2	0	1254	1	744	backpack_16.bmp	3	3	0	0	20	20	43	0	27,000000	43	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	2	target	1	1	550	1	871	doorknob_10.bmp	19	3	7	3	32	46	46	0	41,000000	46	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	2	lure	2	1	372	1	1338	circuitboard_2.bmp	17	0	11	4	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
FAUST_1[2014-06]	128	-1	2	brady	2	1	lure	1	0	556	1	1204	trunk_1.bmp	64	0	5	2	0	0	0	0	0,000000	0	37	2	1	1	1	MUSIKWISSENSCHAFT
