material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
brady;chair_11.bmp;14;0;5;2;0;0;0;0;0;0;repeated;lure
brady;vase_15.bmp;67;1;10;4;26;0;0;0;26;26;related;target
brady;cat_9.bmp;12;4;0;0;10;10;46;46;28;46;repeated;target
brady;bowlingpin_1.bmp;7;0;8;4;0;0;0;0;0;0;repeated_related;lure
brady;orifan_14.bmp;40;0;5;2;0;0;0;0;0;0;repeated;lure
brady;horseshoe_12.bmp;33;0;3;1;0;0;0;0;0;0;control;lure
brady;hairbrush_12.bmp;29;0;8;4;0;0;0;0;0;0;repeated_related;lure
brady;plant_5.bmp;43;0;3;2;0;0;0;0;0;0;center;lure
brady;fan_15.bmp;22;2;5;4;39;39;0;0;39;39;center;target
brady;glove_8.bmp;26;1;9;4;35;0;0;0;35;35;related;target
brady;glasses_15.bmp;25;1;5;3;24;0;0;0;24;24;center;target
brady;socks_10.bmp;58;0;4;1;0;0;0;0;0;0;repeated;lure
brady;leatherman_2.bmp;38;0;3;3;0;0;0;0;0;0;related;lure
brady;pasta_10.bmp;42;1;1;1;18;0;0;0;18;18;control;target
brady;cheesegrater_8.bmp;15;1;1;1;23;0;0;0;23;23;control;target
brady;parfait_1.bmp;41;0;10;4;0;0;0;0;0;0;repeated_related;lure
brady;jacket_6.bmp;35;4;6;4;31;31;58;58;44,5;58;repeated_related;target
brady;speaker_10.bmp;60;3;8;4;19;38;38;0;31,666667;38;repeated_related;target
brady;coffee_15.bmp;18;1;10;4;16;0;0;0;16;16;related;target
brady;doorknocker_4.bmp;20;3;8;4;3;34;34;0;23,666667;34;repeated_related;target
brady;flashlight_1.bmp;23;3;2;1;21;61;61;0;47,666667;61;repeated;target
brady;cellphone_11.bmp;13;3;3;3;22;22;33;0;25,666667;33;repeated;target
brady;turtle_7.bmp;65;0;4;2;0;0;0;0;0;0;center;lure
brady;abacus_15.bmp;1;0;3;3;0;0;0;0;0;0;related;lure
brady;camera_3.bmp;9;0;3;1;0;0;0;0;0;0;control;lure
brady;carabiner_9.bmp;10;0;4;2;0;0;0;0;0;0;center;lure
brady;guitar_7.bmp;28;2;5;3;12;12;0;0;12;12;center;target
brady;trunk_1.bmp;64;0;2;1;0;0;0;0;0;0;control;lure
brady;beanbagchair_17.bmp;5;0;4;3;0;0;0;0;0;0;related;lure
brady;birdhouse_6.bmp;6;1;1;1;53;0;0;0;53;53;control;target
