material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
migo;Glass12.bmp;20;0;2;1;0;0;0;0;0;0;control;lure
migo;Shell18.bmp;40;0;3;2;0;0;0;0;0;0;center;lure
migo;Lipstick3.bmp;28;0;2;2;0;0;0;0;0;0;related;lure
migo;Key13.bmp;25;0;4;3;0;0;0;0;0;0;related;lure
migo;Daff22.bmp;14;3;8;4;17;17;31;0;21,666667;31;repeated_related;target
migo;Flower3.bmp;16;0;8;4;0;0;0;0;0;0;repeated_related;lure
migo;Hand17.bmp;21;3;3;3;5;24;24;0;17,666667;24;repeated;target
migo;Leaf10.bmp;27;1;1;1;28;0;0;0;28;28;control;target
migo;Biscuit20.bmp;3;0;4;2;0;0;0;0;0;0;repeated;lure
migo;Nut11.bmp;31;0;2;1;0;0;0;0;0;0;control;lure
migo;Varnish11.bmp;50;1;9;4;11;0;0;0;11;11;related;target
migo;Chilli22.bmp;11;0;3;2;0;0;0;0;0;0;center;lure
migo;Bun17.bmp;6;3;4;3;8;43;43;0;31,333333;43;center;target
migo;Apple24.bmp;1;1;1;1;8;0;0;0;8;8;control;target
migo;Car14.bmp;10;3;7;4;22;42;42;0;35,333333;42;repeated_related;target
migo;Pen20.bmp;35;1;9;4;13;0;0;0;13;13;related;target
migo;Swirl13.bmp;46;4;3;3;14;14;32;32;23;32;repeated;target
migo;Umbrella21.bmp;49;0;9;4;0;0;0;0;0;0;repeated_related;lure
migo;Toothbrush12.bmp;48;1;5;3;4;0;0;0;4;4;center;target
migo;Jigsaw10.bmp;24;0;4;1;0;0;0;0;0;0;repeated;lure
