experiment	subject	material	item	category	stm_probe	ndisplayed	nrelated	nrelated_unique	1st_trial	2nd_trial	3rd_trial	4th_trail	mean_trail	last_trial
FAUST_1[2014-06]	 16	words	bein	  1	  0	  1	  6	  3	 41	  0	  0	  0	41,000000	41
FAUST_1[2014-06]	 16	words	arm	  1	  0	  2	  5	  3	 41	 41	  0	  0	41,000000	41
FAUST_1[2014-06]	 16	words	kopf	  1	  0	  1	  6	  3	 41	  0	  0	  0	41,000000	41
FAUST_1[2014-06]	 16	words	hand	  1	  0	  3	  4	  3	 19	 19	 41	  0	26,333333	41
FAUST_1[2014-06]	 16	words	fuß	  1	  0	  0	  7	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	spinat	  2	  0	  1	  6	  3	 44	  0	  0	  0	44,000000	44
FAUST_1[2014-06]	 16	words	bohnen	  2	  1	  4	  3	  3	 25	 25	 25	 44	29,750000	44
FAUST_1[2014-06]	 16	words	tomaten	  2	  0	  0	  7	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	blumenkohl	  2	  0	  1	  6	  3	 44	  0	  0	  0	44,000000	44
FAUST_1[2014-06]	 16	words	karotten	  2	  0	  1	  6	  3	 44	  0	  0	  0	44,000000	44
FAUST_1[2014-06]	 16	words	banane	  3	  0	  0	  3	  1	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	apfel	  3	  0	  0	  3	  1	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	birne	  3	  0	  0	  3	  1	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	pflaume	  3	  0	  0	  3	  1	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	erdbeere	  3	  0	  3	  0	  0	 26	 56	 56	  0	46,000000	56
FAUST_1[2014-06]	 16	words	hammer	  4	  0	  1	  7	  3	 13	  0	  0	  0	13,000000	13
FAUST_1[2014-06]	 16	words	säge	  4	  2	  5	  3	  3	 13	 13	 13	 58	31,000000	58
FAUST_1[2014-06]	 16	words	meißel	  4	  0	  0	  8	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	bohrer	  4	  0	  1	  7	  3	 13	  0	  0	  0	13,000000	13
FAUST_1[2014-06]	 16	words	zange	  4	  0	  1	  7	  3	 13	  0	  0	  0	13,000000	13
FAUST_1[2014-06]	 16	words	hose	  5	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	jacke	  5	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	rock	  5	  1	  1	  1	  1	 24	  0	  0	  0	24,000000	24
FAUST_1[2014-06]	 16	words	hemd	  5	  0	  1	  1	  1	 35	  0	  0	  0	35,000000	35
FAUST_1[2014-06]	 16	words	bluse	  5	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	tisch	  6	  0	  1	  9	  4	 24	  0	  0	  0	24,000000	24
FAUST_1[2014-06]	 16	words	stuhl	  6	  0	  2	  8	  4	 24	 46	  0	  0	35,000000	46
FAUST_1[2014-06]	 16	words	schrank	  6	  0	  4	  6	  4	 24	 24	 46	 46	35,000000	46
FAUST_1[2014-06]	 16	words	sofa	  6	  0	  2	  8	  4	 24	 46	  0	  0	35,000000	46
FAUST_1[2014-06]	 16	words	regal	  6	  0	  1	  9	  4	 46	  0	  0	  0	46,000000	46
FAUST_1[2014-06]	 16	words	rose	  7	  1	  2	  2	  1	 10	 10	  0	  0	10,000000	10
FAUST_1[2014-06]	 16	words	tulpe	  7	  0	  0	  4	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	nelke	  7	  0	  0	  4	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	lilie	  7	  0	  2	  2	  1	 39	 39	  0	  0	39,000000	39
FAUST_1[2014-06]	 16	words	veilchen	  7	  0	  0	  4	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	fußball	  8	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	tennis	  8	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	golf	  8	  1	  1	  2	  1	 16	  0	  0	  0	16,000000	16
FAUST_1[2014-06]	 16	words	schwimmen	  8	  0	  2	  1	  1	 55	 55	  0	  0	55,000000	55
FAUST_1[2014-06]	 16	words	skifahren	  8	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	amsel	  9	  1	  1	  4	  2	 44	  0	  0	  0	44,000000	44
FAUST_1[2014-06]	 16	words	schwalbe	  9	  0	  0	  5	  3	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	fink	  9	  0	  2	  3	  2	 22	 22	  0	  0	22,000000	22
FAUST_1[2014-06]	 16	words	taube	  9	  0	  0	  5	  3	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	meise	  9	  0	  2	  3	  2	 44	 44	  0	  0	44,000000	44
FAUST_1[2014-06]	 16	words	eiche	 10	  1	  3	  2	  2	 57	 57	 57	  0	57,000000	57
FAUST_1[2014-06]	 16	words	birke	 10	  0	  0	  5	  3	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	tanne	 10	  0	  0	  5	  3	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	 16	words	weide	 10	  0	  1	  4	  2	 20	  0	  0	  0	20,000000	20
FAUST_1[2014-06]	 16	words	buche	 10	  1	  1	  4	  2	 20	  0	  0	  0	20,000000	20
