experiment	subject	trial	order	material	repeated	related	probetype	response	correct	rt	confidence	confidence_rt	probe	category	ndisplayed	nrelated	nrelated_unique	trial1	trial2	trial3	trial4	mean_trial	last_trial	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	117	-1	4	migo	2	2	target	1	1	5829	4	2837	Car12.bmp	10	3	8	4	5	30	30	0	21,000000	30	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	1	2	target	1	1	3118	4	1507	Umbrella17.bmp	49	1	9	4	8	0	0	0	8,000000	8	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	3	3	lure	1	0	1221	4	1496	String2.bmp	44	0	4	2	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	1	1	target	2	0	5044	2	1865	Plug8.bmp	36	1	1	1	43	0	0	0	43,000000	43	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	2	1	target	1	1	2704	3	1255	Scissors11.bmp	38	4	0	0	5	5	26	26	15,000000	26	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	2	1	lure	1	0	1006	4	1343	Brocolli14.bmp	5	0	4	2	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	3	3	target	1	1	1370	4	1386	Toothbrush10.bmp	48	1	5	3	36	0	0	0	36,000000	36	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	3	3	lure	1	0	2105	4	974	Keys6.bmp	26	0	4	2	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	3	3	target	1	1	1181	4	1880	Jigsaw11.bmp	24	1	5	3	10	0	0	0	10,000000	10	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	2	2	target	1	1	812	4	1193	Leaf22.bmp	27	3	8	3	4	27	27	0	19,000000	27	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	1	2	target	1	1	817	4	1661	Cake25.bmp	8	1	9	4	25	0	0	0	25,000000	25	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	1	1	lure	1	0	839	4	1234	Bag3.bmp	2	0	3	2	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	1	2	lure	1	0	834	4	1582	Candle17.bmp	9	0	4	3	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	1	1	target	1	1	921	4	1204	Strawberry14.bmp	43	1	1	1	44	0	0	0	44,000000	44	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	2	1	lure	2	1	4413	3	2445	Bracelet1.bmp	4	0	4	2	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	2	2	lure	1	0	1060	4	1551	Biscuit9.bmp	3	0	9	4	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	1	2	lure	2	1	3208	3	1064	Chocolate24.bmp	12	0	3	2	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	2	2	lure	1	0	1102	4	897	Feather2.bmp	15	0	9	4	0	0	0	0	0,000000	0	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
FAUST_1[2014-06]	117	-1	4	migo	2	1	target	1	1	799	4	1345	Screw18.bmp	39	4	1	1	17	17	33	33	25,000000	33	25	1	2	1	1	MASTERREHABUILITATIONSWISSENSCHAFTEN
