material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;teich;67;4;1;1;10;10;33;33;21,5;33;repeated;target
words;windpocken;22;1;1;1;30;0;0;0;30;30;control;target
words;kilometer;72;0;3;2;0;0;0;0;0;0;center;lure
words;blockhaus;23;0;4;2;0;0;0;0;0;0;center;lure
words;posaune;14;0;4;2;0;0;0;0;0;0;repeated;lure
words;diesel;29;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;nebel;61;0;3;2;0;0;0;0;0;0;center;lure
words;dackel;46;0;3;3;0;0;0;0;0;0;related;lure
words;regal;6;2;5;3;40;40;0;0;40;40;center;target
words;locher;32;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;arm;1;4;0;0;13;13;47;47;30;47;repeated;target
words;gymnasium;20;0;4;2;0;0;0;0;0;0;repeated;lure
words;peugeot;30;0;2;2;0;0;0;0;0;0;related;lure
words;gin;69;0;10;4;0;0;0;0;0;0;repeated_related;lure
words;schweiz;18;4;6;4;27;27;36;36;31,5;36;repeated_related;target
words;kupplung;63;0;5;2;0;0;0;0;0;0;repeated;lure
words;pommes;43;1;9;4;35;0;0;0;35;35;related;target
words;haschisch;54;1;1;1;29;0;0;0;29;29;control;target
words;walzer;62;4;6;3;24;24;63;63;43,5;63;repeated_related;target
words;arzt;11;1;8;3;57;0;0;0;57;57;related;target
words;berlin;16;0;2;2;0;0;0;0;0;0;control;lure
words;cent;47;2;5;4;4;4;0;0;4;4;center;target
words;gabel;21;1;2;2;63;0;0;0;63;63;control;target
words;eiche;10;0;2;2;0;0;0;0;0;0;control;lure
words;drucker;33;3;8;4;16;16;60;0;30,666667;60;repeated_related;target
words;banane;3;3;3;3;23;38;38;0;33;38;repeated;target
words;straﬂenbahn;34;2;5;4;31;31;0;0;31;31;center;target
words;baumwolle;24;1;10;4;1;0;0;0;1;1;related;target
words;tag;71;0;3;3;0;0;0;0;0;0;related;lure
words;schach;57;0;3;1;0;0;0;0;0;0;control;lure
