material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
brady;doorknocker_5.bmp;20;2;5;3;7;43;0;0;25;43;center;target
brady;lawnmower_17.bmp;37;0;4;2;0;0;0;0;0;0;center;lure
brady;shredder_15.bmp;55;0;2;1;0;0;0;0;0;0;control;lure
brady;wig_1.bmp;71;0;3;2;0;0;0;0;0;0;center;lure
brady;remote_3.bmp;46;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;pasta_9.bmp;42;3;0;0;10;48;48;0;35,333333;48;repeated;target
brady;beanbagchair_12.bmp;5;0;4;3;0;0;0;0;0;0;related;lure
brady;highchair_15.bmp;32;1;9;4;29;0;0;0;29;29;related;target
brady;hairdryer_7.bmp;30;1;9;4;1;0;0;0;1;1;related;target
brady;powerstrip_10.bmp;44;0;3;2;0;0;0;0;0;0;related;lure
brady;glove_12.bmp;26;0;5;2;0;0;0;0;0;0;repeated;lure
brady;bagel_12.bmp;4;3;8;3;20;20;49;0;29,666667;49;repeated_related;target
brady;sink_10.bmp;56;0;3;3;0;0;0;0;0;0;related;lure
brady;rusdoll_8.bmp;50;1;2;1;15;0;0;0;15;15;control;target
brady;cat_9.bmp;12;1;2;1;55;0;0;0;55;55;control;target
brady;backpack_6.bmp;3;1;8;4;48;0;0;0;48;48;related;target
brady;carabiner_5.bmp;10;2;5;3;47;47;0;0;47;47;center;target
brady;babycrib_9.bmp;2;1;1;1;3;0;0;0;3;3;control;target
brady;sofa_13.bmp;59;0;2;2;0;0;0;0;0;0;control;lure
brady;abacus_6.bmp;1;3;9;4;15;15;39;0;23;39;repeated_related;target
brady;trophy_15.bmp;62;2;6;4;13;33;0;0;23;33;center;target
brady;ring_11.bmp;47;0;5;2;0;0;0;0;0;0;repeated;lure
brady;printer_16.bmp;45;0;2;1;0;0;0;0;0;0;control;lure
brady;mic_2.bmp;39;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;cherubstatue_10.bmp;16;0;5;1;0;0;0;0;0;0;repeated;lure
brady;circuitboard_2.bmp;17;3;0;0;19;19;47;0;28,333333;47;repeated;target
brady;turtle_2.bmp;65;0;3;2;0;0;0;0;0;0;center;lure
brady;flashlight_12.bmp;23;3;3;3;27;27;64;0;39,333333;64;repeated;target
brady;plant_5.bmp;43;0;10;4;0;0;0;0;0;0;repeated_related;lure
brady;carriage_9.bmp;11;3;7;4;17;58;58;0;44,333333;58;repeated_related;target
