material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;lippenstift;37;0;3;2;0;0;0;0;0;0;related;lure
words;eiche;10;1;1;1;38;0;0;0;38;38;control;target
words;hamburger;43;0;5;2;0;0;0;0;0;0;repeated;lure
words;meter;72;0;4;2;0;0;0;0;0;0;center;lure
words;actionfilm;59;3;8;4;29;61;61;0;50,333333;61;repeated_related;target
words;mumps;22;0;3;2;0;0;0;0;0;0;control;lure
words;schwalbe;9;0;4;2;0;0;0;0;0;0;center;lure
words;nelke;7;3;8;4;25;60;60;0;48,333333;60;repeated_related;target
words;sohn;45;1;1;1;41;0;0;0;41;41;control;target
words;messing;15;3;3;3;30;30;53;0;37,666667;53;repeated;target
words;löffel;21;0;3;3;0;0;0;0;0;0;related;lure
words;roggen;64;1;10;4;8;0;0;0;8;8;related;target
words;diesel;29;1;9;4;9;0;0;0;9;9;related;target
words;porsche;30;0;2;1;0;0;0;0;0;0;control;lure
words;zeichnen;26;3;0;0;29;29;63;0;40,333333;63;repeated;target
words;hannover;16;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;hose;5;0;2;2;0;0;0;0;0;0;control;lure
words;backform;68;0;4;3;0;0;0;0;0;0;related;lure
words;physik;19;1;9;4;58;0;0;0;58;58;related;target
words;zug;34;0;7;4;0;0;0;0;0;0;repeated_related;lure
words;whiskey;69;0;4;2;0;0;0;0;0;0;center;lure
words;opium;54;1;5;3;40;0;0;0;40;40;center;target
words;kupplung;63;0;9;4;0;0;0;0;0;0;repeated_related;lure
words;lehrer;11;0;5;2;0;0;0;0;0;0;repeated;lure
words;regal;6;2;5;4;18;18;0;0;18;18;center;target
words;hütte;23;0;5;2;0;0;0;0;0;0;repeated;lure
words;pflaume;3;1;1;1;39;0;0;0;39;39;control;target
words;niere;42;3;8;4;3;3;44;0;16,666667;44;repeated_related;target
words;südamerika;38;2;5;4;48;48;0;0;48;48;center;target
words;säge;4;3;3;3;15;43;43;0;33,666667;43;repeated;target
