material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
brady;carabiner_2.bmp;10;0;5;2;0;0;0;0;0;0;repeated;lure
brady;glove_10.bmp;26;0;2;1;0;0;0;0;0;0;control;lure
brady;ring_7.bmp;47;1;1;1;14;0;0;0;14;14;control;target
brady;bowlingpin_13.bmp;7;0;2;1;0;0;0;0;0;0;control;lure
brady;speaker_4.bmp;60;0;4;3;0;0;0;0;0;0;related;lure
brady;iceskates_14.bmp;34;0;4;2;0;0;0;0;0;0;repeated;lure
brady;rusdoll_3.bmp;50;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;backpack_10.bmp;3;0;2;2;0;0;0;0;0;0;control;lure
brady;orifan_14.bmp;40;4;3;3;30;30;35;35;32,5;35;repeated;target
brady;remote_14.bmp;46;1;1;1;4;0;0;0;4;4;control;target
brady;shredder_1.bmp;55;3;8;4;8;59;59;0;42;59;repeated_related;target
brady;trunk_2.bmp;64;1;9;4;5;0;0;0;5;5;related;target
brady;guitar_10.bmp;28;0;5;2;0;0;0;0;0;0;repeated;lure
brady;tv_7.bmp;66;0;10;4;0;0;0;0;0;0;repeated_related;lure
brady;highchair_3.bmp;32;2;5;3;1;1;0;0;1;1;center;target
brady;jacket_10.bmp;35;0;4;2;0;0;0;0;0;0;center;lure
brady;printer_5.bmp;45;3;0;0;20;20;60;0;33,333333;60;repeated;target
brady;horseshoe_4.bmp;33;3;7;4;3;34;34;0;23,666667;34;repeated_related;target
brady;cheesegrater_11.bmp;15;0;3;2;0;0;0;0;0;0;related;lure
brady;skateboard_3.bmp;57;0;3;2;0;0;0;0;0;0;center;lure
brady;easteregg_9.bmp;21;3;8;4;18;18;56;0;30,666667;56;repeated_related;target
brady;flashlight_1.bmp;23;1;1;1;62;0;0;0;62;62;control;target
brady;powerstrip_14.bmp;44;1;9;4;52;0;0;0;52;52;related;target
brady;plant_2.bmp;43;1;9;4;43;0;0;0;43;43;related;target
brady;glasses_8.bmp;25;0;3;2;0;0;0;0;0;0;center;lure
brady;saltpeppershake_2.bmp;52;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;cellphone_3.bmp;13;0;3;2;0;0;0;0;0;0;related;lure
brady;wig_6.bmp;71;3;5;4;4;43;43;0;30;43;center;target
brady;sink_6.bmp;56;3;5;3;28;28;38;0;31,333333;38;center;target
brady;babycrib_9.bmp;2;3;3;3;7;7;53;0;22,333333;53;repeated;target
